U59;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1110000;Emiliano Zapata ;100647;6;1910;1919;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;MANEUVER_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110001;Hacienda de Atlihuayán;100655;1;1911;1964;general_equipment;munitions;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110003;Morelos Community;100656;3;1910;1964;chemistry;medicine;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110004;Eufemio Zapata;100657;4;1910;1917;management;individual_courage;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110006;Manuel Palafox;100579;3;1910;1930;small_taskforce_tactics;infantry_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110007;Felipe Neri Jiménez;100658;1;1911;1914;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110008;Montaño Sánchez Otilio;100659;3;1910;1917;management;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110009;Ingenio Azucarero 'La Abeja';100660;4;1910;1964;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110010;Ferrocarriles Nacionales de México;100577;4;1964;1964;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110011;Fábrica Nacional de Armas;100572;3;1964;1964;industrial_engineering;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110012;TNCA;T2200;4;1947;1947;aeronautics;avionics;bomber_design;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
