COL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
175001;IFI;T5200;3;1900;2000;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175002;SCADTA;T5201;2;1900;2000;aeronautics;bomber_design;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175003;FNC;T5202;3;1900;2000;general_equipment;mechanics;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175004;Colombia Railways Company;T5203;4;1900;2000;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175005;ANDI;T5204;3;1944;2000;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175006;Gustavo Rojas Pinilla;T5205;3;1944;1957;small_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175007;Ejercito de Colombia;T5206;2;1930;2000;large_unit_tactics;decentralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175008;National Armada;T5207;2;1900;2000;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175009;Escuela de Aviación Militar;T5208;2;1930;2000;centralized_execution;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175010;United Fruit Company;T5209;2;1900;2000;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175011;Universidad Nacional de Colombia;T5210;2;1900;2000;mathematics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175012;Bancolombia;100066;5;1890;2000;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175013;Telephone Colombian Company;100067;3;1884;2000;industrial_engineering;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
175014;Tropical Oil Company;100068;6;1921;2000;industrial_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1700000;Departamento Administrativo de Seguridad;T1700000;4;1960;2012;rt_user_2;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
