U20;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
915001;Suomen Ilmavoimien Lentokonetehdas;100107;6;1900;2000;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915002;Kansan Telakka;100108;5;1900;2000;naval_engineering;technical_efficiency;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915003;Kymmene;T1302;5;1900;2000;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915004;Valtion Asetehdas;100109;5;1900;2000;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915005;Eero Haapalainen;100183;4;1914;1939;infantry_focus;static_defense_tactics;small_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915006;Richard Lorentz;100112;6;1930;2000;training;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915007;K. Lennart Oesch;T1308;6;1930;2000;combined_arms_focus;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915008;Vaino Valve;100114;4;1930;2000;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915009;Artturi Virtanen;T1310;6;1930;2000;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915010;Akseli Anttila;100188;4;1923;1954;infantry_focus;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
915011;Mikhail Stepanovich Svechnikov;100192;6;1914;1939;infantry_focus;individual_courage;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
