ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
25041;Alfa Romeo;100196;4;1910;2000;management;industrial_engineering;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25024;Astaldi;100179;4;1926;2000;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25021;Societá Montecatini;T1820;4;1900;2000;chemistry;industrial_engineering;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25001;Arturo Crocco;T1800;4;1926;1968;rocketry;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25008;Enrico Fermi;T1807;6;1925;1938;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25022;Giulio Natta;T1821;5;1933;2000;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25039;Istituto Nazionale Fisica Nucleare;100194;4;1950;2000;nuclear_physics;nuclear_engineering;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25050;Scuola di sanita' militare;100202;4;1900;1950;medicine;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25051;Scuola di sanita' militare;100202;4;1950;2000;medicine;nuclear_engineering;training;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25038;Universita' La Sapienza;100193;4;1900;2000;mathematics;mechanics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25040;Ansaldo;100195;4;1900;2000;munitions;mechanics;electronics;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25002;Beretta;T1801;4;1800;2000;training;general_equipment;munitions;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25003;Breda;T1802;5;1886;2000;munitions;general_equipment;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25044;Reggiane Officine Meccaniche Italiane;100182;4;1935;2000;munitions;general_equipment;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25009;FIAT;T1808;5;1900;2000;mechanics;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25013;Lancia;100177;5;1906;2000;mechanics;vehicle_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25005;Ansaldo Navale;T1804;5;1900;2000;naval_engineering;technical_efficiency;naval_artillery;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25006;Cantieri Navali Riuniti;T1805;6;1906;2000;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25007;Caproni;100174;5;1911;2000;aeronautics;aircraft_testing;munitions;bomber_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25026;Società Anonima Nieuport-Macchi;100181;5;1913;1920;aeronautics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25011;Macchi;100176;7;1920;1950;aeronautics;fighter_design;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25046;Macchi;100199;7;1951;2000;aeronautics;rocketry;fighter_design;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25043;Reggiane Aeronautica;100198;6;1935;1951;aeronautics;general_equipment;fighter_design;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25045;Reggiane Aeronautica;100198;6;1950;2000;aeronautics;rocketry;fighter_design;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25012;Savoia-Marchetti;T1811;5;1922;1943;aeronautics;aircraft_testing;naval_artillery;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25047;Savoia-Marchetti;T1811;5;1951;1983;aeronautics;aircraft_testing;naval_artillery;bomber_design;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25014;Arturo Riccardi;T1813;4;1932;1966;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25015;Domenico Cavagnari;T1814;4;1929;1946;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25031;Luigi Amedeo di Savoia-Aosta;100186;4;1910;1920;centralized_execution;large_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25034;Luigi Rizzo;100189;6;1911;1933;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25032;Paolo Thaon di Revel;100187;4;1913;1944;centralized_execution;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25035;Teseo Tesei;100190;6;1931;1942;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25016;Italo Balbo;T1815;6;1928;1960;bomber_tactics;centralized_execution;piloting;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25019;Rino Fougier;T1818;4;1930;1963;bomber_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25036;Giulio Dohuet;100191;4;1911;1930;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25030;Armando Diaz;100185;5;1917;1925;training;centralized_execution;infantry_focus;individual_courage;maneuver_tactics;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25049;Emanuele Filiberto di Savoia-Aosta;100201;4;1910;1930;individual_courage;large_unit_focus;infantry_focus;maneuver_tactics;static_defense_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25048;Enrico Caviglia;100200;4;1917;1943;large_unit_tactics;management;centralized_execution;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25017;Giovanni Messe;T1816;5;1936;1946;small_unit_tactics;decentralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25029;Luigi Cadorna;100184;3;1910;1917;training;centralized_execution;infantry_focus;large_unit_tactics;static_defense_tactics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25018;Pietro Badoglio;T1817;4;1917;1945;training;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
