EAF;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
635001;East African Railways and Harbours Administration;T10700;4;1900;2000;mechanics;general_equipment;industrial_engineering;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635002;Kenya Railways;T10701;3;1900;2000;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635003;Tanzania Railways;T10702;3;1900;2000;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635004;University of Nairobi;T10703;1;1941;2000;management;mechanics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635005;Henry Dundas Stevenson;T10704;4;1930;1940;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635006;Daudi Chawa;T10705;3;1897;1939;decentralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635007;William D. Battershill;T10605;4;1930;2000;bomber_tactics;training;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635008;Charles Farquharson Dundas;T10707;3;1930;1940;fighter_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635009;Nasirdas Mehta;T10708;3;1930;2000;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635010;Military Academy;100389;3;1900;2000;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
