U14;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
885001;Cooperativa Armamenti Italiani;T1801;4;1900;2000;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885002;Industrie Belliche Unite;T1802;5;1900;2000;aeronautics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885003;Industria Navale Ligure;T1804;4;1900;2000;naval_engineering;naval_artillery;electronics;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885004;Cantieri Popolari Riuniti;T1805;5;1900;2000;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885005;Associazione Lavoratori dell'Aeronautica;100176;6;1900;2000;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885006;Bruno de Finetti;T1803;5;1939;2000;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885007;Arturo Crocco;T1800;5;1930;2000;rocketry;mathematics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885008;Industria Cooperativa Aeronautica;100174;3;1900;2000;aeronautics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885009;Associazione Lavoratori della FIAT;T1808;5;1900;2000;mechanics;artillery;management;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885010;Associazione Lavoratori della Lancia;100177;4;1900;2000;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885011;Accademia Navale Italiana;100361;3;1900;2000;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885012;Accademia Aeronautica Italiana;100362;5;1900;2000;bomber_tactics;centralized_execution;piloting;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885013;Accademia Militare Italiana;100363;4;1900;2000;small_unit_tactics;decentralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885014;Societa Montecatini;T1820;4;1900;2000;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
885015;Giulio Natta;T1821;6;1930;2000;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
