PAR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
200001;BCP;T5400;2;1936;2000;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200002;Tannin Industry;T5401;3;1900;2000;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200003;José Estigarribia;T5402;6;1928;1941;large_unit_tactics;centralized_execution;combined_arms_focus;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200004;Higinio Morinigo Martinez;T5403;3;1936;1948;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200005;Compañía Bloom S.A.;T5404;4;1900;2000;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200006;Asunción Arsenal;T9800;3;1900;2000;artillery;mechanics;munitions;general_equipment;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200007;Paraguay Aeroplane Company;T2601;2;1930;2000;aeronautics;avionics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200008;Shell Oil Company;100417;4;1920;2000;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200009;Paraguayan Agriculture;100418;2;1890;2000;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200010;Ejercito de Paraguay;100419;2;1890;2000;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
