ISR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
675001;Hebrew University of Jerusalem;T11600;5;1900;2000;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675002;Israel Aircraft Industries;T11601;7;1930;2000;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675003;Israel Military Industries;T11602;7;1900;2000;mechanics;artillery;general_equipment;rocketry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675004;Tadiran Electronic Industries;T11603;5;1944;2000;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675005;Armaments Development Authority;T11604;6;1900;2000;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675006;Elbit Systems Ltd.;T11605;6;1944;2000;electronics;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675007;Moshe Dayan;T11606;7;1944;1959;decentralized_execution;small_unit_tactics;combined_arms_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675008;IDF Command & Staff college;T11607;5;1900;2000;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675009;INF Operations Research College;T11608;4;1900;2000;naval_training;small_taskforce_tactics;centralized_execution;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675010;IAF Air Directorate;T11609;7;1930;2000;combined_arms_focus;piloting;training;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6750000;Mossad;T6750000;8;1950;2013;rt_user_2;piloting;training;small_unit_tactics;decentralized_execution;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
