TRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
785001;Aviadvigatel;T14700;5;1939;2000;aeronautics;fighter_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785002;Chelyabinsk Tractor Plant;T14701;5;1900;2000;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785003;Chelyabinsk-65;T14702;4;1942;2000;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785004;Izhevsk Electromechanical Plant;T14703;5;1945;2000;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785005;Izhevsk Ordnance and Steel Plant;T14704;7;1930;2000;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785006;Kurganmashzavod;T14705;6;1939;2000;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785007;Nizny Tagil Factories;T3712;4;1900;2000;mechanics;chemistry;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785008;Sverdlovsk-44;T14702;4;1944;2000;nuclear_physics;nuclear_engineering;chemistry;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785009;Uralvagonzavod;T14708;6;1936;2000;mechanics;artillery;technical_efficiency;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785010;Votkinsky Zavod Association;T14709;6;1900;2000;industrial_engineering;mechanics;chemistry;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785011;Chelyabinsk Military Academy;T10401;4;1900;2000;large_unit_tactics;infantry_focus;combined_arms_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785012;Transural Air Force Cadet Center;T10402;3;1930;2000;centralized_execution;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
