EGY;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
340001;Ayoub Co.;T9401;4;1930;2000;mechanics;industrial_engineering;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340002;Cairo University;T9402;3;1900;2000;management;chemistry;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340003;Egyptian Railways;T9404;4;1900;2000;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340004;Ministry of Military Production;T9405;5;1900;2000;mechanics;artillery;general_equipment;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340005;Abdelhamid Soliman;T9408;3;1930;2000;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340006;Hassan Sabry Pasha;T9406;3;1930;2000;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340007;Mohammed Naguib;T9407;4;1942;2000;bomber_tactics;fighter_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340008;Suez Canal Company;T10809;5;1900;2000;technical_efficiency;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340009;Docks of Alexandria;100390;2;1900;2000;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340010;Misr Airwork;100391;3;1930;2000;aeronautics;mechanics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340011;EEA;100392;5;1941;2000;vehicle_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340012;Nasr;100393;4;1960;2000;vehicle_engineering;mechanics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3400000;Mukhabarat;T3400000;4;1954;2013;rt_user_2;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3400001;ABHCO;T3400001;2;1978;2000;rt_user_1;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
