VEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
180001;JFPN;T5500;5;1900;2000;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180002;Venezuelan Oil;T5501;6;1900;2000;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180003;Instituto Autónomo Ferrocarriles del Estado;T5502;4;1900;2000;industrial_engineering;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180004;Delgado Chalbaud;T5503;3;1930;2000;centralized_execution;combined_arms_focus;training;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180005;Escuela de Aviación Militar;T5504;2;1930;2000;centralized_execution;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180006;Escuela Naval de Venezuela;T5505;2;1900;2000;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180007;Isaías Medina Angarita;T5506;4;1930;2000;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180008;Caracas Military Arsenal;T9800;4;1900;2000;artillery;mechanics;general_equipment;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180009;Venezuelan Aircraft Company;T11403;4;1930;2000;aeronautics;fighter_design;avionics;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180010;Venezuelan Railways;100440;4;1890;2000;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180011;Ejercito de Venezuela;100441;3;1890;2000;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
180012;Wolfgang Larrazábal;100606;3;1947;2000;centralized_execution;large_taskforce_tactics;seamanship;management;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
