HUN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
105001;Budapest Chemical Works;T1600;5;1900;2000;chemistry;industrial_engineering;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105002;FEG;T1601;4;1900;2000;general_equipment;artillery;training;cavalry_tactics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105003;Ganz;T1602;3;1900;2000;mechanics;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105004;M.W. Aircraft Division;T1604;5;1930;2000;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105005;Manfred Weiss;T1604;5;1930;2000;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105006;MAVAG;T1602;5;1930;2000;mechanics;general_equipment;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105007;MOLAJ;T1606;6;1944;2000;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105008;Ferenc Szombathelyi;T1607;4;1930;1960;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105009;Gyorgy de Brody;T1608;5;1940;1960;fighter_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105010;András Littay;T1609;3;1941;1941;bomber_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105011;Roland Eötvös University;T1610;4;1900;2000;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105012;János Vörös;T1611;4;1930;1960;combined_arms_focus;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105013;Lajos Csatay von Csatai;T1612;4;1930;1944;combined_arms_focus;decentralized_execution;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105014;Miklós Horthy de Nagybánya;T1613;3;1930;1944;seamanship;naval_training;centralized_execution;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105015;Zoltán Bay;T1614;5;1930;1948;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105016;Airforce Research Department;100406;3;1930;2000;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105017;Tungsram;T1603;5;1896;2000;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105018;Ferenc Feketehalmy-Czeydner;100828;3;1933;1942;bomber_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
