U55;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5201;Kuhlmann;T1407;4;1900;2000;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5202;Renault;T1410;7;1900;2000;mechanics;industrial_engineering;management;munitions;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5203;SOMUA;T1415;6;1914;2000;mechanics;industrial_engineering;vehicle_engineering;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5204;Rhône-Poulenc;T1411;4;1928;2000;chemistry;industrial_engineering;general_equipment;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5205;F. & I. Joliot-Curie;T1405;7;1930;1958;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5206;Jean-Jacques Barre;T1406;3;1930;2000;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5207;Saint-Gobain;T1412;3;1890;2000;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5208;Louis de Broglie;T1425;7;1924;2000;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5209;Bertrand Goldschmidt;T1427;7;1946;2000;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5210;Victor Grignat;100123;6;1914;1930;chemistry;rocketry;artillery;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
