URU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
195001;ANCAP;T3600;2;1931;2000;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195002;EMW;T3601;3;1930;2000;aeronautics;fighter_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195003;Ferrocarriles y Tranvías del Estado;T3602;3;1900;2000;industrial_engineering;general_equipment;management;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195004;Alfredo Baldomir;T3603;2;1900;1943;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195005;Luis Batlle Berres;T3604;3;1944;1964;large_unit_tactics;centralized_execution;infantry_focus;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195006;Montevideo Dockyard;T3802;4;1900;2000;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195007;Universidad de la República;T3606;2;1900;2000;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195008;Uruguayan Agriculture;T3600;2;1890;2000;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195009;Usinas y Trasmisiones Eléctricas;T3601;3;1912;2000;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195010;Ejército Nacional;T3602;2;1890;2000;training;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
