CHC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
260001;China North Industries Group;T8304;4;1939;1999;industrial_engineering;technical_efficiency;chemistry;general_equipment;munitions;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260002;NORINCO;T8304;6;1999;1999;industrial_engineering;technical_efficiency;chemistry;general_equipment;munitions;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260003;General Armament Department;100808;4;1900;2000;mechanics;artillery;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260004;Fang Ziyi;100810;4;1930;1983;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260005;Fudan College;T8310;1;1905;1911;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260006;Fudan Public School;T8310;1;1912;1917;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260007;Private Fudan University;T8310;2;1917;1929;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260008;Private Fudan University;T8310;3;1929;1937;mathematics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260009;Private Fudan University;T8310;2;1937;1941;mathematics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260010;National Fudan University;T8310;4;1941;1946;mathematics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260011;Fudan University;T8310;5;1946;1952;mathematics;chemistry;management;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260012;Fudan University;T8310;6;1952;2000;mathematics;chemistry;management;industrial_engineering;technical_efficiency;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260013;Fudan University;T8310;7;1970;1999;mathematics;chemistry;management;industrial_engineering;technical_efficiency;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260014;Li Kenong;100809;2;1926;1959;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260015;PLA Navy;T8314;4;1950;2000;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260016;Peng Dehuai;100698;4;1926;1974;centralized_execution;large_unit_tactics;large_unit_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260017;Hanyang Arsenal;100061;3;1890;2000;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260018;Han-Ye-Ping Coal and Iron Company;100062;2;1894;2000;industrial_engineering;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260019;Jiangnan SF (Chongqing);100063;2;1964;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260020;Jiangnan Shipbuilding Factory;100063;3;1912;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260021;Jiangnan Machine Manufacturer;100064;2;1865;1912;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260022;China State Shipbuilding Corporation;T8305;5;1999;2999;naval_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260023;Dalian Shipyard;100820;2;1905;1955;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260024;China Shipbuilding Company;100820;4;1955;1999;naval_engineering;naval_artillery;technical_efficiency;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
260025;China Shipbuilding Industry Corporation;100821;6;1999;2999;naval_engineering;naval_artillery;technical_efficiency;electronics;carrier_design;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;x
