U43;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1030001;Generalverkehrsdirektion Osten;100559;3;1936;2000;industrial_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030002;Organisation Todt;100560;4;1936;2000;industrial_engineering;general_equipment;management;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030003;RMfdbO;100561;3;1936;2000;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030004;Fedor von Bock;100565;4;1936;2000;training;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030005;Central Research Institute of Shipbuilding Technology;T11003;6;1900;2000;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030006;Machine-Building Plant-MZiK;T7204;5;1890;2000;general_equipment;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030007;V.A. Degtyarev Plant;T7213;6;1917;2000;general_equipment;artillery;chemistry;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030008;Saint-Petersburg Naval Academy;100504;3;1900;2000;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030009;Moscow Military Academy;100503;4;1900;2000;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030010;Nicholas General Staff Academy;100479;4;1855;1909;training;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
