CHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
55001;CAMCO;T1000;2;1920;2000;aeronautics;fighter_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55002;China Motor Corp;100775;3;1939;1999;aeronautics;fighter_design;mechanics;aircraft_testing;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55003;Hanyang Arsenal;100770;2;1894;1945;munitions;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55005;Alexander von Falkenhausen;T1005;4;1930;1948;large_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55006;Jiang Jieshi;100764;3;1912;1976;large_unit_tactics;infantry_focus;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55007;Claire Chennault;T1007;4;1970;2000;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55008;Republic of China Air Force;T1008;2;1920;2000;fighter_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55009;Republic of China Navy;T1009;2;1920;2000;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55010;Jiangnan Dock and Engineering Works;100772;2;1905;1999;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55014;China National Aviation Corporation;T1014;2;1930;2000;aeronautics;bomber_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55015;Chang'an Factory;T1015;3;1862;1999;artillery;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55016;Yong Li Chemical Industries;100774;4;1934;1949;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55017;Nanjing Chemical Group;100774;6;1949;1999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55018;Central Bank of China;100778;2;1924;1999;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55020;CSIST;T1426;5;1950;2000;rocketry;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55022;Chen Cheng;100626;3;1942;1964;centralized_execution;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55023;14th Airforce;100792;6;1970;2000;aircraft_testing;fighter_tactics;bomber_tactics;piloting;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55024;Joseph Stilwell;100793;5;1946;1946;training;management;general_equipment;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55025;Luftwaffe Beraterschaft ;100794;6;1970;2000;combined_arms_focus;fighter_tactics;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55100;Jiangnan Arsenal;100773;4;1865;1999;training;mechanics;munitions;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55101;Huangpu Academy;100750;3;1924;1931;training;large_unit_tactics;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55102;Huangpu Academy;100750;4;1931;1945;training;large_unit_tactics;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55103;Huangpu Academy;100750;5;1945;1999;training;large_unit_tactics;infantry_focus;individual_courage;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55104;Sanjiang Normal College;100761;1;1902;1906;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55105;Liangjiang Normal College;100761;2;1906;1915;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55106;Nanjing Higher Normal School;100761;2;1915;1921;mathematics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55107;National Southeastern University;100761;3;1921;1928;mathematics;management;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55108;National Central University;100761;4;1928;1945;mathematics;management;medicine;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55109;Huiwen Shuyuan;100763;1;1894;1910;mathematics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55110;Private University of Nanjing;100763;2;1910;1952;mathematics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55111;Nanjing University;100761;5;1952;1999;mathematics;management;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55112;Nanjing Normal College;100762;6;1952;1984;mathematics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55113;Nanjing Normal University;100762;7;1984;1999;mathematics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55114;China Science Society;100752;2;1918;1928;mathematics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55115;Academia Sinica;T1012;3;1928;1946;mathematics;chemistry;electronics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55116;Academia Sinica;T1012;4;1946;1999;mathematics;chemistry;electronics;avionics;nuclear_physics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55117;Academia Sinica;T1012;6;1928;1999;mathematics;chemistry;electronics;avionics;nuclear_physics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55118;Academia Sinica;T1012;7;1928;1999;mathematics;chemistry;electronics;avionics;nuclear_physics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55119;Nanjing Institute of Technology;100753;6;1952;1988;electronics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55120;Southeast University;100753;6;1988;1999;electronics;chemistry;industrial_engineering;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55121;Huangpu Shipyard;100751;1;1924;1945;naval_engineering;naval_training;submarine_design;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
