SOV;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
30001;61 Kommunara Nikolayev Shipyards;T3700;5;1930;2000;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30002;Barrikada Factory Design Bureau;T3701;5;1930;2000;artillery;mechanics;general_equipment;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30003;Kharkov Factory Design Bureau;T3702;7;1927;2000;mechanics;artillery;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30004;RNII;T3703;5;1930;1944;rocketry;mathematics;technical_efficiency;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30005;Igor Kurchatov;T3704;4;1930;1960;nuclear_physics;nuclear_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30006;Boris Shaposhnikov;T3705;5;1930;1945;large_unit_tactics;centralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30007;Mikhail Tukhachevsky;T3706;5;1930;1938;combined_arms_focus;large_unit_tactics;training;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30008;Alexander Vasilevsky;T3707;7;1940;1958;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30009;Grabin Design Bureau;T3708;5;1930;2000;mechanics;artillery;technical_efficiency;munitions;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30010;Ilyushin Design Bureau;T3709;6;1930;2000;aeronautics;bomber_design;general_equipment;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30011;Kirov Factory Design Bureau;T3710;6;1930;2000;mechanics;artillery;munitions;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30012;Nevskoye Design Bureau;T3711;5;1930;2000;naval_engineering;technical_efficiency;electronics;submarine_design;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30013;Nizhny Tagil Factories;T3712;6;1930;2000;mechanics;chemistry;technical_efficiency;industrial_engineering;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014;STZ Factory Design Bureau;T3713;5;1930;2000;mechanics;general_equipment;electronics;technical_efficiency;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30015;Tupolev Design Bureau;T3714;7;1922;2000;aeronautics;bomber_design;rocketry;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30016;Nikolai G. Kuznetsov;T3715;6;1930;1956;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30017;J.I. Alksnis;T3716;6;1930;1938;training;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30018;Alexander A. Novikov;T3717;6;1940;1956;piloting;bomber_tactics;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30019;A.S. Yakovlev Design Bureau;T3718;8;1934;2000;aeronautics;mechanics;fighter_design;aircraft_testing;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30020;Igor Tamm;T3719;6;1945;2000;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30021;Sergei Korolev;T3720;7;1946;1966;rocketry;aeronautics;technical_efficiency;avionics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30022;Vozdushno-Desantnye Voyska;T3721;6;1930;2000;artillery;small_unit_tactics;airborne_training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30023;MIG Design Bureau;100317;8;1940;2000;aeronautics;general_equipment;fighter_design;aircraft_testing;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30024;Moscow Institute of Railway Engineering;100472;6;1890;2000;mechanics;industrial_engineering;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30025;Tula Arsenal;100780;5;1890;2000;general_equipment;training;artillery;medicine;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30026;Leon Trotsky;100318;7;1914;1929;large_unit_tactics;infantry_focus;individual_courage;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30027;Vasili Altfater;100459;4;1914;1919;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30028;Yevgeni Berens;100782;4;1919;1928;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30029;Aleksandr Nemits;100460;4;1920;1947;centralized_execution;naval_training;seamanship;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30030;Eduard Pantserzhansky;100781;4;1922;1937;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30031;Rubin Marine Engineering;T7209;5;1901;2000;naval_training;naval_artillery;technical_efficiency;electronics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;x
