CRO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
275001;Croatian State Railroads;T3805;5;1900;2000;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275002;Ikarus Hrvatska;T3800;4;1930;2000;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275003;Industrija Aeroplanskih Motora;T3801;3;1930;2000;fighter_design;aircraft_testing;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275004;Osijek Industrial Combine;100004;4;1900;2000;industrial_engineering;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275005;Split Naval Yard;T3802;3;1900;2000;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275006;Zagreb Military Arsenal;T3812;5;1900;2000;mechanics;artillery;general_equipment;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275007;Slavko Kvaternik;T31006;3;1930;1948;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275008;Vladimir Laxa;T31007;4;1930;1945;infantry_focus;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275009;Ministry of Defence;T31008;3;1900;2000;small_taskforce_tactics;infantry_focus;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275010;Vladimir Kren;T31010;4;1930;1945;fighter_tactics;bomber_tactics;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275011;University of Zagreb;T31011;3;1900;2000;mechanics;chemistry;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275012;Rafael Boban;100607;3;1947;2000;infantry_focus;small_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
