Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
StopTime;;;;;;;;;;;;;;;;;;;;;;x
CenterMap;;163;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;1;1;2;2;;;;;;;;;;;;;;;x
LockScroll;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_4_A1;352;222;;;;;;;;;;;;;;;;x
AddHotSpot;;;;380;25;530;45;;;;;;;;;;;;;;;x
AddArrowsPos;;;;464;46;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_4_A2;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;5;70;270;560;;;;;;;;;;;;;;;x
AddArrowsPos;;;;58;126;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;10;80;262;640;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_4_A3;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;10;80;262;640;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_4_A4;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;300;115;440;130;;;;;;;;;;;;;;;x
AddArrowsPos;;;;390;135;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_4_A5;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;730;110;870;130;;;;;;;;;;;;;;;x
AddArrowsPos;;;;750;128;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_4_A5a;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;750;400;850;410;;;;;;;;;;;;;;;x
AddArrowsPos;;;;760;410;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;315;660;1000;760;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_4_A6;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;490;720;610;740;;;;;;;;;;;;;;;x
AddArrowsPos;;;;550;730;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;360;168;936;712;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_4_A7;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;385;250;500;270;;;;;;;;;;;;;;;x
AddArrowsPos;;;;444;260;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_4_A8;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;590;110;730;130;;;;;;;;;;;;;;;x
