Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
StopTime;;;;;;;;;;;;;;;;;;;;;;x
CenterMap;;163;;;;;;;;;;;;;;;;;;;;x
PassiveAI;;;;;;;;;;;;;;;;;;;;;;x
LockScroll;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_2_A1;352;222;;;Introduction message;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
StopTime;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;-1;-1;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A2a;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;245;70;-1;-160;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;Click on Stettin;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;96;255;280;;;;;;;;;;;;;;;x
AddHotSpot;;;;0;204;192;226;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A2;;;;;Explain whats in your provinces;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;24;;;;;;;;;;;;;;;x
ScreenBox;;;;536;24;696;46;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A3;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;540;24;690;44;;;;;;;;;;;;;;;x
AddArrowsPos;;;;608;46;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;1;1;2;2;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A4;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;660;90;800;315;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A5;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;810;90;1005;330;;;;;;;;;;;;;;;x
AddHotSpot;;;;768;100;966;350;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A6;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;55;80;580;755;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;72;112;224;156;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A7;;;;;;;;;;;;;;;;;;x
AddArrowsPos;;;;180;136;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;20;205;645;755;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;20;205;645;755;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A8;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;20;205;645;755;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A9;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A12;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;1;1;1;1;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;655;350;1010;550;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A10;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;660;550;1010;755;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_2_A11;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_2_A15;352;222;;;;;;;;;;;;;;;;x
EndTutorial;;;;;;;;;;;;;;;;;;;;;;x
