Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
CenterMap;;163;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;1;1;2;2;;;;;;;;;;;;;;;x
LockScroll;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A1;352;222;;;;;;;;;;;;;;;;x
StopTime;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;704;28;850;40;;;;;;;;;;;;;;;x
AddArrowsPos;;;;784;46;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddHotSpot;;;;1;1;2;2;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A2;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;96;96;351;670;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A3;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;112;112;154;180;;;;;;;;;;;;;;;x
AddArrowsPos;;;;132;122;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;368;96;926;390;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A4;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A5;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;368;400;704;670;;;;;;;;;;;;;;;x
ScreenBox;;;;368;400;704;670;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A6;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;704;400;926;670;;;;;;;;;;;;;;;x
ScreenBox;;;;704;400;926;670;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A7;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;112;248;328;336;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A8a;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A8;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A9;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A10;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_3_A11;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A14;352;222;;;;;;;;;;;;;;;;x
EndTutorial;;;;;;;;;;;;;;;;;;;;;;x
