Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
StopTime;;;;;;;;;;;;;;;;;;;;;;x
CenterMap;;163;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;0;0;1;1;;;;;;;;;;;;;;;x
LockScroll;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_1_A1;352;222;;;;;;;;;;;;;;;;x
CenterMap;;163;;;;;;;;;;;;;;;;;;;;x
StopTime;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;-1;-1;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A2;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;700;42;1024;72;;;;;;;;;;;;;;;x
AddHotSpot;;;;700;42;1024;72;;;;;;;;;;;;;;;x
CenterMap;;163;;;;;;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A3;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;48;260;768;;;;;;;;;;;;;;;x
CenterMap;;163;;;;;;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A4;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;0;100;250;580;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;50;245;85;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A5;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;0;50;250;580;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;654;260;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A6;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;0;-112;256;-1;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;0;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;256;-100;-1;-1;;;;;;;;;;;;;;;x
ScreenBox;;;;0;-100;-1;-1;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A7;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;48;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A8;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;380;24;530;40;;;;;;;;;;;;;;;x
AddArrowsPos;;;;464;46;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A9;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;540;24;680;40;;;;;;;;;;;;;;;x
AddArrowsPos;;;;608;46;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A10;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;702;24;850;40;;;;;;;;;;;;;;;x
AddArrowsPos;;;;764;46;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
