AFG;1st Afghan Air Corps
AFG;2nd Afghan Air Corps
AFG;3rd Afghan Air Corps
AFG;4th Afghan Air Corps
AFG;5th Afghan Air Corps
AFG;6th Afghan Air Corps
AFG;7th Afghan Air Corps
AFG;8th Afghan Air Corps
AFG;9th Afghan Air Corps
AFG;10th Afghan Air Corps
AFG;11th Afghan Air Corps
AFG;12th Afghan Air Corps
AFG;13th Afghan Air Corps
AFG;14th Afghan Air Corps
AFG;15th Afghan Air Corps
AFG;16th Afghan Air Corps
AFG;17th Afghan Air Corps
AFG;18th Afghan Air Corps
AFG;19th Afghan Air Corps
AFG;20th Afghan Air Corps
AFG;21st Afghan Air Corps
AFG;22nd Afghan Air Corps
AFG;23rd Afghan Air Corps
AFG;24th Afghan Air Corps
AFG;25th Afghan Air Corps
AFG;26th Afghan Air Corps
AFG;27th Afghan Air Corps
AFG;28th Afghan Air Corps
AFG;29th Afghan Air Corps
AFG;30th Afghan Air Corps
AFG;31st Afghan Air Corps
AFG;32nd Afghan Air Corps
AFG;33rd Afghan Air Corps
AFG;34th Afghan Air Corps
AFG;35th Afghan Air Corps
AFG;36th Afghan Air Corps
AFG;37th Afghan Air Corps
AFG;38th Afghan Air Corps
AFG;39th Afghan Air Corps
AFG;40th Afghan Air Corps
AFG;41st Afghan Air Corps
AFG;42nd Afghan Air Corps
AFG;43rd Afghan Air Corps
AFG;44th Afghan Air Corps
AFG;45th Afghan Air Corps
AFG;46th Afghan Air Corps
AFG;47th Afghan Air Corps
AFG;48th Afghan Air Corps
AFG;49th Afghan Air Corps
AFG;50th Afghan Air Corps
ALB;1. Flota Ajrore Shqipëtare
ALB;2. Flota Ajrore Shqipëtare
ALB;3. Flota Ajrore Shqipëtare
ALB;4. Flota Ajrore Shqipëtare
ALB;5. Flota Ajrore Shqipëtare
ALB;6. Flota Ajrore Shqipëtare
ALB;7. Flota Ajrore Shqipëtare
ALB;8. Flota Ajrore Shqipëtare
ALB;9. Flota Ajrore Shqipëtare
ALB;10. Flota Ajrore Shqipëtare
ALB;11. Flota Ajrore Shqipëtare
ALB;12. Flota Ajrore Shqipëtare
ALB;13. Flota Ajrore Shqipëtare
ALB;14. Flota Ajrore Shqipëtare
ALB;15. Flota Ajrore Shqipëtare
ALB;16. Flota Ajrore Shqipëtare
ALB;17. Flota Ajrore Shqipëtare
ALB;18. Flota Ajrore Shqipëtare
