Black;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
Green;;;
red;green;blue;index
190;230;190;0
150;210;150;20
80;150;90;50
1;1;1;64
Orange;;;
red;green;blue;index
255;255;230;0
246;236;216;17
213;200;171;40
40;40;25;64
light blue;;;
red;green;blue;index
180;222;248;0
130;171;202;20
81;120;149;50
1;1;1;64
light grey;;;
red;green;blue;index
220;220;220;0
171;171;171;20
80;80;80;50
1;1;1;64
light brown;;;
red;green;blue;index
206;166;166;0
134;109;109;30
75;60;60;55
1;1;1;64
dark yellow;;;
red;green;blue;index
244;203;134;0
190;139;88;20
89;69;45;50
1;1;1;64
yellow;;;
red;green;blue;index
251;251;225;0
233;216;122;17
153;153;36;37
1;1;1;64
dark grey;;;
red;green;blue;index
218;186;132;0
181;152;112;25
128;96;81;50
1;1;1;64
light yellow;;;
red;green;blue;index
236;159;45;0
226;123;20;10
189;120;17;24
1;1;1;64
grey;;;
red;green;blue;index
170;170;170;0
125;125;125;30
84;88;95;55
1;1;1;64
dark green;;;
red;green;blue;index
103;176;138;0
76;123;104;20
63;71;80;50
1;1;1;64
blue;;;
red;green;blue;index
145;168;221;0
111;134;187;20
85;107;159;30
1;1;1;64
light red;;;
red;green;blue;index
255;170;170;0
255;128;64;20
200;80;40;50
1;1;1;64
white;;;
red;green;blue;index
250;250;250;0
200;200;200;25
150;150;150;50
1;1;1;64
dark brown;;;
red;green;blue;index
170;135;135;0
150;95;95;20
80;60;60;50
1;1;1;64
red;;;
red;green;blue;index
230;160;175;0
190;120;135;20
150;80;95;35
110;40;55;64
light green;;;
red;green;blue;index
250;250;220;0
190;220;190;20
140;180;155;50
1;1;1;64
light orange;;;
red;green;blue;index
246;200;88;0
221;165;75;20
190;119;75;30
1;1;1;64
brown;;;
red;green;blue;index
182;152;110;0
144;122;91;20
109;94;73;50
1;1;1;64
dark blue;;;
red;green;blue;index
0;150;200;0
0;110;160;20
0;70;120;35
0;30;80;64
dark red;;;
red;green;blue;index
255;80;64;0
220;80;64;13
180;80;64;24
76;0;64;64
dark orange;;;
red;green;blue;index
190;205;210;0
180;160;150;20
145;125;110;35
1;1;1;64
water;;;
red;green;blue;index
46;186;216;0
66;174;206;20
53;135;162;40
1;1;1;64
border;;;
red;green;blue;index
220;0;0;0
220;0;0;4
220;0;0;35
220;0;0;64
border outline;;;
red;green;blue;index
50;0;0;0
50;0;0;4
50;0;0;35
50;0;0;64
UserColor1;;;
red;green;blue;index
18;176;194;0
43;148;159;20
39;118;126;40
1;1;1;64
UserColor2;;;
red;green;blue;index
219;230;247;0
181;195;216;20
155;169;189;30
1;1;1;64
UserColor3;;;
red;green;blue;index
255;80;64;0
220;80;64;30
180;80;64;55
1;1;1;64
UserColor4;;;
red;green;blue;index
218;206;142;0
181;172;122;20
128;116;91;40
1;1;1;64
UserColor5;;;
red;green;blue;index
210;90;90;0
160;100;100;20
140;20;20;30
1;1;1;64
UserColor6;;;
red;green;blue;index
200;135;135;0
180;95;95;20
110;60;60;50
4;8;4;64
