MODIFIER;none;artillery;sp_artillery;rocket_artillery;sp_rct_artillery;anti_tank;tank_destroyer;light_armor_brigade;heavy_armor;super_heavy_armor;armored_car;anti_air;police;engineer;cag;escort;naval_asw;naval_anti_air_s;naval_radar_s;naval_fire_controll_s;naval_improved_hull_s;naval_torpedoes_s;naval_anti_air_l;naval_radar_l;naval_fire_controll_l;naval_improved_hull_l;naval_torpedoes_l;cavalry_brigade;sp_anti_air;medium_armor;floatplane;light_cag;amph_armor;glider_armor;glider_artillery;super_heavy_artillery;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;b_01;b_02;b_03;b_04;b_05;b_06;b_07;b_08;b_09;b_10;b_11;b_12;b_13;b_14;b_15;b_16;X
ATT_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_BLIZZARD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;-10;0;-10;-10;-6;0;-6;-6;-10;0;-2;-10;-4;-10;-2;X
ATT_SNOW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;8;-2;0;0;0;0;0;0;8;0;0;0;X
ATT_FROZEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_RAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;0;-2;-2;-1;0;-2;-1;-4;0;0;-2;0;-4;0;X
ATT_STORM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;-8;0;-8;-8;-4;0;-4;-5;-8;0;-1;-8;-2;-8;0;X
ATT_MUDDY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;10;-6;0;0;0;0;0;0;10;0;0;0;X
ATT_NIGHT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;0;-3;-3;-2;0;-2;-2;-5;0;0;-3;0;-5;0;X
ATT_PLAIN;0;3;3;0;0;0;3;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;8;0;0;3;8;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_DESERT;0;0;0;0;0;0;0;10;5;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;-3;3;0;0;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;X
ATT_MOUNTAIN;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;-2;0;-2;-2;2;0;0;0;0;0;0;-2;0;0;0;X
ATT_HILL;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;-1;0;-1;-1;4;0;0;0;0;0;0;-1;0;0;0;X
ATT_FOREST;0;-2;-2;0;0;0;-2;-2;2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;-2;-2;-6;0;0;0;0;0;0;-6;0;-6;-6;3;0;0;0;0;0;0;-6;0;0;0;X
ATT_JUNGLE;0;-3;-3;0;0;0;-4;-4;-6;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;0;0;-5;-4;-3;-6;0;0;0;0;0;0;-8;0;-8;-8;2;0;0;0;0;0;0;-8;0;0;0;X
ATT_SWAMP;0;0;0;0;0;0;-4;-4;-6;-9;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;-5;0;0;-5;-4;0;-6;0;0;0;0;0;0;8;0;8;8;1;0;0;0;0;0;0;8;0;0;0;X
ATT_URBAN;0;0;0;0;0;0;2;2;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;-4;0;-4;-4;8;0;0;0;0;0;0;-4;0;0;0;X
ATT_RIVER;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;4;6;0;0;0;0;0;0;4;0;0;0;X
ATT_SHORE;0;-15;-15;0;0;0;-10;-12;-13;-13;-5;-3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;-13;-5;-13;0;0;10;-12;-15;-15;0;0;0;0;0;0;4;0;4;4;4;0;0;0;0;0;0;4;0;0;0;X
ATT_FORT;0;5;5;0;0;0;3;3;15;25;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;3;3;60;0;0;0;0;0;0;4;0;4;4;4;0;0;0;0;0;0;4;0;0;0;X
DEF_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_BLIZZARD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-5;0;-5;-5;-3;0;-6;-6;-10;0;-2;-5;-4;-10;0;X
DEF_SNOW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;8;-1;0;0;0;0;0;0;8;0;0;0;X
DEF_FROZEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_RAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;-1;0;-1;-1;1;0;-2;-1;-4;0;0;-1;0;-4;0;X
DEF_STORM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;-8;0;-8;-8;-2;0;-4;-5;-8;0;-1;-8;-2;-8;0;X
DEF_MUDDY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;10;-3;0;0;0;0;0;0;10;0;0;0;X
DEF_NIGHT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-2;0;-2;-2;2;0;-2;-2;-4;0;0;-2;0;0;0;X
DEF_PLAIN;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_DESERT;0;0;0;0;0;0;5;5;3;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;-10;0;0;0;0;0;0;-1;0;-1;-1;0;0;0;0;0;0;0;-1;0;0;0;X
DEF_MOUNTAIN;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;X
DEF_HILL;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;1;0;1;1;8;0;0;0;0;0;0;1;0;0;0;X
DEF_FOREST;0;0;0;0;0;0;2;0;4;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;-6;0;0;0;0;0;0;-6;0;-6;-6;6;0;0;0;0;0;0;-6;0;0;0;X
