UER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1360001;Head of State;Direktoria;1914;1932;1999;ML;benevolent gentleman;Very High;8918;X
1360002;Head of State;Pyotr Derber;1914;1932;1999;SL;insignificant layman;Very High;8910;X
1360003;Head of State;Pyotr Vologodsky;1914;1932;1999;SC;autocratic charmer;Very High;8909;X
1360004;Head of State;I. A. Lavrov;1914;1932;1999;SL;weary stiffneck;Very High;9125;X
1360005;Head of State;Evgeniy Rogovsky;1914;1932;1999;SL;ruthless powermonger;Very High;9126;X
1360006;Head of State;Aleksandr Kolchak;1914;1932;1999;PA;popular figurehead;Very High;8868;X
1360007;Head of State;Dmitriy Horvath;1914;1932;1999;PA;pig-headed isolationist;Very High;8880;X
1360008;Head of State;Vasiliy Boldyrev;1914;1932;1999;ML;die-hard reformer;Very High;8920;X
1360009;Head of Government;Pyotr Vologodsky;1914;1932;1999;SC;backroom backstabber;Very High;8909;X
1360010;Head of Government;Pyotr Derber;1914;1932;1999;SL;silent workhorse;Very High;8910;X
1360011;Head of Government;I. A. Lavrov;1914;1932;1999;SL;smiling oilman;Very High;9125;X
1360012;Head of Government;Evgeniy Rogovsky;1914;1932;1999;SL;naive optimist;Very High;9126;X
1360013;Head of Government;Viktor Pepelyaev;1914;1932;1999;PA;corporate suit;Very High;8921;X
1360014;Foreign Minister;Yuri Klyuchnikov;1914;1932;1999;SC;iron fisted brute;Very High;unknownminister;X
1360015;Foreign Minister;Pyotr Vologodsky;1914;1932;1999;SC;general staffer;Very High;8909;X
1360016;Foreign Minister;Vladimir Volsky;1914;1932;1999;SL;ideological crusader;Very High;8925;X
1360017;Foreign Minister;Ivan Sukin;1914;1932;1999;PA;great compromiser;Very High;8890;X
1360018;Foreign Minister;Sergey Tretyakov;1914;1932;1999;PA;apologetic clerk;Very High;8933;X
1360019;Foreign Minister;Sergei Sazonov;1914;1932;1999;PA;biased intellectual;Very High;3055;X
1360020;Minister of Security;Nikolay Avksentev;1914;1932;1999;SL;compassionate gentleman;Very High;8902;X
1360021;Minister of Security;Aleksandr Gattenberger;1914;1932;1999;SC;man of the people;Very High;8867;X
1360022;Minister of Security;Aleksandr Novoselov ;1914;1932;1999;SL;prince of terror;Very High;8865;X
1360023;Minister of Security;Vladimir Krutovsky;1914;1932;1999;SC;crime fighter;Very High;8926;X
1360024;Minister of Security;Pavel Mikhailov;1914;1932;1999;SL;silent lawyer;Very High;unknownminister;X
1360025;Minister of Security;Mikhail Shatilov;1914;1932;1999;SL;back stabber;Very High;8932;X
1360026;Minister of Security;Evgeniy Rogovsky;1914;1932;1999;SL;efficient sociopath;Very High;9126;X
1360027;Minister of Security;Arseniy Bylinkin;1914;1932;1999;SL;crooked kleptocrat;Very High;unknownminister;X
