BOL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
205001;Head of State;Jose Tejada Sorzano;1933;1964;1999;SL;Weary Stiffneck;High;M43001;X
205002;Head of Government;Jose Tejada Sorzano;1933;1964;1999;SL;Smiling Oilman;High;M43001;X
205003;Foreign Minister;José Maria Gutierrez;1933;1964;1999;SL;Iron Fisted Brute;High;M43003;X
205004;Minister of Armament;Moritz Hochschild;1933;1964;1999;SL;laissez-faire capitalist;Medium;M43004;X
205005;Minister of Security;José Santos Quinteros;1933;1964;1999;SL;Compassionate Gentleman;High;M43005;X
205006;Head of Military Intelligence;Carlos Altamirano;1933;1964;1999;SL;Dismal Enigma;Medium;M43006;X
205007;Chief of Staff;Gualberto Villarroel Lopez;1933;1964;1999;SL;School of Fire Support;Very Low;M43007;X
205008;Chief of Army;Hans Kundt;1933;1964;1999;SL;Decisive Battle Doctrine;Medium;M43008;X
205009;Chief of Navy;Gil Ibarra Juarez;1933;1964;1999;SL;Indirect Approach Doctrine;Medium;M43009;X
205010;Chief of Air Force;Hector Bilbao Roja;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M43010;X
205011;Head of State;Enrique Finot;1933;1964;1999;SD;Pig-headed Isolationist;High;M43031;X
205012;Head of State;German Busch Beccera;1937;1964;1999;SD;Popular Figurehead;High;M43032;X
205013;Head of State;Rafael Franco Rafél;1933;1964;1999;SL;Benevolent Gentleman;High;M43033;X
205014;Head of State;Waldo Belmonte Pool;1938;1964;1999;SL;Insignificant Layman;High;M43034;X
205015;Head of State;Néstor Guillén Olmos;1944;1964;1999;SL;Autocratic Charmer;High;M43035;X
205016;Head of State;Abadon Saavedra Mallea;1933;1964;1999;SC;Stern Imperialist;High;M43036;X
205017;Head of State;Carlos Quintanilla Quiroga;1938;1964;1999;SC;Resigned Generalissimo;High;M43037;X
205018;Head of State;Simon I. Patino;1940;1964;1999;SC;Powerhungry Demagogue;High;M43038;X
205019;Head of State;Tomas Monje Gutierrez;1945;1964;1999;SC;Ruthless Powermonger;High;M43039;X
205020;Head of State;Eusebio Ayala;1943;1964;1999;LWR;Barking Buffoon;High;M43040;X
205021;Head of State;Gualberto Villarroel Lopez;1944;1964;1999;LWR;Resigned Generalissimo;High;M43007;X
205022;Head of State;Victor Paz Estenssorro;1946;1964;1999;SD;Powerhungry Demagogue;High;M43042;X
205023;Head of State;Guillermo Lora;1933;1964;1999;LE;Insignificant Layman;High;M43021;X
205024;Head of State;Daniel Sanchez Bustamante;1944;1964;1999;ST;Autocratic Charmer;High;M43023;X
205025;Head of State;Enrique Penaranda Castillo;1939;1964;1999;PA;Stern Imperialist;High;M43045;X
205026;Head of State;German Butron;1933;1964;1999;FA;Resigned Generalissimo;High;M43011;X
205027;Head of State;Edwin Möller;1944;1964;1999;FA;Popular Figurehead;High;M43015;X
205028;Head of Government;David Toro Ruilova;1933;1964;1999;SD;Old General;High;M43048;X
205029;Head of Government;German Busch Beccera;1937;1964;1999;SD;Naive Optimist;High;M43032;X
205030;Head of Government;Abadon Saavedra Mallea;1933;1964;1999;SC;Flamboyant Tough Guy;High;M43036;X
205031;Head of Government;Carlos Quintanilla Quiroga;1938;1964;1999;SC;Old General;High;M43037;X
205032;Head of Government;Simon I. Patino;1940;1964;1999;SC;Corporate Suit;High;M43038;X
205033;Head of Government;Enrique Hertzog Garaizabal;1945;1964;1999;SC;Silent Workhorse;High;M43053;X
205034;Head of Government;Rafael Franco Rafél;1933;1964;1999;SL;Naive Optimist;High;M43033;X
205035;Head of Government;Waldo Belmonte Pool;1939;1964;1999;SL;Happy Amateur;High;M43034;X
205036;Head of Government;Julian Montellano Carrasco;1944;1964;1999;SL;Political Protege;High;M43056;X
205037;Head of Government;Eusebio Ayala;1943;1964;1999;LWR;Ambitious Union Boss;High;M43040;X
205038;Head of Government;Gualberto Villarroel Lopez;1944;1964;1999;LWR;Old General;High;M43007;X
205039;Head of Government;Victor Paz Estenssorro;1946;1964;1999;LWR;Corporate Suit;High;M43042;X
205040;Head of Government;Guillermo Lora;1933;1964;1999;ST;Happy Amateur;High;M43021;X
205041;Head of Government;Daniel Sanchez Bustamante;1944;1964;1999;ST;Political Protege;High;M43023;X
205042;Head of Government;Enrique Penaranda Castillo;1939;1964;1999;PA;Flamboyant Tough Guy;High;M43045;X
205043;Head of Government;Jorge Patinos;1943;1964;1999;PA;Corporate Suit;High;M43063;X
205044;Head of Government;German Butron;1933;1964;1999;FA;Old General;High;M43011;X
205045;Head of Government;Edwin Möller;1944;1964;1999;FA;Corporate Suit;High;M43015;X
205046;Foreign Minister;Luis Guachalla Solares;1933;1964;1999;SD;Great Compromiser;High;M43066;X
205047;Foreign Minister;Enrique Baldivieso Aparicio;1937;1964;1999;SD;General Staffer;Medium;M43067;X
205048;Foreign Minister;Carlos Salinas Aramayo;1938;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M43068;X
205049;Foreign Minister;Jose Tejada Sorzano;1933;1964;1999;SL;Great Compromiser;Medium;M43001;X
205050;Foreign Minister;Rafael Franco Rafél;1933;1964;1999;SL;General Staffer;Medium;M43033;X
205051;Foreign Minister;Francesco Pierini;1938;1964;1999;SL;Biased Intellectual;Medium;M43071;X
205052;Foreign Minister;Tomas Manuel Elío;1943;1964;1999;SL;Great Compromiser;Low;M43072;X
205053;Foreign Minister;Enrique Hertzog Garaizabal;1946;1964;1999;SL;Apologetic Clerk;Medium;M43053;X
205054;Foreign Minister;Abadon Saavedra Mallea;1933;1964;1999;SC;Apologetic Clerk;High;M43036;X
205055;Foreign Minister;Hugo Ballivián Rojas;1947;1964;1999;SC;General Staffer;Medium;M43077;X
205056;Foreign Minister;Alberto Ostria Gutierrez;1939;1964;1999;PA;Apologetic Clerk;Medium;M43075;X
205057;Foreign Minister;Eduardo Anze Matienzo;1942;1964;1999;PA;The Cloak N Dagger Schemer;High;M43076;X
205058;Foreign Minister;Tomas Manuel Elío;1943;1964;1999;PA;Great Compromiser;Low;M43072;X
205059;Foreign Minister;Juan Mechin;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M43013;X
205060;Foreign Minister;Fabian Vaca Chavez;1940;1964;1999;PA;Biased Intellectual;Low;M43082;X
205061;Foreign Minister;Simon I. Patino;1943;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M43038;X
205062;Foreign Minister;German Butron;1944;1964;1999;FA;Ideological Crusader;Low;M43011;X
205063;Foreign Minister;Alberto Diez de Medina;1938;1964;1999;LWR;Biased Intellectual;Medium;M43086;X
205064;Foreign Minister;Victor Paz Estenssorro;1943;1964;1999;LWR;Biased Intellectual;Medium;M43042;X
205065;Foreign Minister;José Franz Tamayo;1944;1964;1999;LWR;Ideological Crusader;Medium;M43088;X
205066;Foreign Minister;Enrique Baldivieso Aparicio;1944;1964;1999;LWR;General Staffer;Medium;M43067;X
205067;Foreign Minister;Gustavo Chacón Morales;1944;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;M43090;X
205068;Foreign Minister;José Pinto Sanchez;1945;1964;1999;LWR;Iron Fisted Brute;Medium;M43091;X
205069;Foreign Minister;Aniceto Solares;1945;1964;1999;LWR;Great Compromiser;Medium;M43092;X
205070;Foreign Minister;Daniel Sanchez Bustamante;1933;1964;1999;LE;Iron Fisted Brute;Low;M43023;X
205071;Foreign Minister;Roberto Hinojosa;1944;1964;1999;LE;Apologetic Clerk;High;M43024;X
205072;Minister of Armament;Enrique Finot;1933;1964;1999;SD;Air Superiority Proponent;Medium;M43031;X
205073;Minister of Armament;Francesco Pierini;1938;1964;1999;SL;Tank Proponent;Medium;M43071;X
205074;Minister of Armament;Hector Bilbao Roja;1939;1964;1999;SL;Air to Ground Proponent;Medium;M43010;X
