ECU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
190001;Head of State;Federico Páez Chiriboaga;1933;1964;1999;SL;Stern Imperialist;High;M40001;X
190002;Head of Government;Federico Páez Chiriboaga;1933;1964;1999;SL;Flamboyant Tough Guy;High;M40001;X
190003;Foreign Minister;Alberto Larrea Chiriboaga;1933;1964;1999;SL;Apologetic Clerk;Medium;M40003;X
190004;Minister of Armament;Fabian Del Castello;1933;1964;1999;SL;laissez-faire capitalist;Medium;M40004;X
190005;Minister of Security;Davide Flores;1933;1964;1999;SL;Crime Fighter;Medium;M40005;X
190006;Head of Military Intelligence;Aurelio Mosquera Narváez;1933;1964;1999;SL;Logistics Specialist;Medium;M40006;X
190007;Chief of Staff;Benigno Andrade Flores;1933;1964;1999;SL;School of Defence;Very Low;M40007;X
190008;Chief of Army;Gilberto Enriquez Gallo;1933;1964;1999;SL;Decisive Battle Doctrine;Low;M40008;X
190009;Chief of Navy;Juan Ramon Castro;1933;1964;1999;SL;Open Seas Doctrine;Medium;M40009;X
190010;Chief of Air Force;Cosme Renella Barbatto;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M40010;X
190011;Head of State;Gustavo Becerra Páz;1933;1964;1999;LWR;Insignificant Layman;High;M40021;X
190012;Head of State;Enrique Gil Gilbert;1940;1964;1999;LWR;Autocratic Charmer;High;M40023;X
190013;Head of State;José María Velasco Ibarra;1933;1964;1999;SD;Benevolent Gentleman;High;M40033;X
190014;Head of State;Camillo Ponce Enríquez;1947;1964;1999;SD;Popular Figurehead;High;M40034;X
190015;Head of State;Aurelio Mosquera Narváez;1938;1964;1999;SL;Die-hard Reformer;High;M40006;X
190016;Head of State;Andrés de Córdova Nieto;1939;1964;1999;SL;Weary Stiffneck;High;M40036;X
190017;Head of State;Antonio Pons Campuzano;1933;1964;1999;SL;Autocratic Charmer;High;M40037;X
190018;Head of State;Carlos Arosemena Tola;1947;1964;1999;SL;Resigned Generalissimo;High;M40038;X
190019;Head of State;Juan de Diaz Mera;1933;1964;1999;SC;Popular Figurehead;High;M40015;X
190020;Head of State;Carlos Arroyo del Río;1941;1964;1999;SC;Powerhungry Demagogue;High;M40040;X
190021;Head of State;Isidro Ayora Cueva;1945;1964;1999;SC;Barking Buffoon;High;M40041;X
190022;Head of State;Carlos M. Larrea;1946;1964;1999;SC;Insignificant Layman;High;M40042;X
190023;Head of State;Gilberto Enríquez Gallo;1937;1964;1999;PA;Resigned Generalissimo;High;M40008;X
190024;Head of State;Manuel Borrero Gonzalez;1938;1964;1999;PA;Stern Imperialist;High;M40044;X
190025;Head of State;Julio Moreno Peñaherrera;1926;1964;1999;PA;Autocratic Charmer;High;M40045;X
190026;Head of State;Benigno Andrade Flores;1941;1964;1999;PA;Resigned Generalissimo;High;M40007;X
190027;Head of State;Julio Salém Gallegos;1944;1964;1999;SD;Resigned Generalissimo;High;M40047;X
190028;Head of State;Carlos Mancheno Cajas;1947;1964;1999;PA;Pig-headed Isolationist;High;M40048;X
190029;Head of Government;Gustavo Becerra Páz;1937;1964;1999;LWR;Ambitious Union Boss;High;M40021;X
190030;Head of Government;Enrique Gil Gilbert;1940;1964;1999;LWR;Political Protege;High;M40023;X
190031;Head of Government;José María Velasco Ibarra;1933;1964;1999;SD;Ambitious Union Boss;High;M40033;X
190032;Head of Government;Camillo Ponce Enríquez;1947;1964;1999;SD;Corporate Suit;High;M40034;X
190033;Head of Government;Aurelio Mosquera Narváez;1938;1964;1999;SL;Backroom Backstabber;High;M40006;X
190034;Head of Government;Andrés de Córdova Nieto;1939;1964;1999;SL;Happy Amateur;High;M40036;X
190035;Head of Government;Antonio Pons Campuzano;1933;1964;1999;SL;Naive Optimist;High;M40037;X
190036;Head of Government;Carlos Arosemena Tola;1947;1964;1999;SL;old airmarshal;High;M40038;X
190037;Head of Government;Juan de Diaz Mera;1933;1964;1999;SC;Corporate Suit;High;M40015;X
190038;Head of Government;Carlos Arroyo del Río;1941;1964;1999;SC;Flamboyant Tough Guy;High;M40040;X
190039;Head of Government;Isidro Ayora Cueva;1944;1964;1999;SC;Political Protege;High;M40041;X
190040;Head of Government;Carlos M. Larrea;1946;1964;1999;SC;Naive Optimist;High;M40042;X
190041;Head of Government;Gilberto Enríquez Gallo;1937;1964;1999;PA;Old General;High;M40008;X
190042;Head of Government;Manuel Borrero Gonzalez;1938;1964;1999;PA;Political Protege;High;M40044;X
190043;Head of Government;Julio Moreno Peñaherrera;1926;1964;1999;PA;Old Admiral;High;M40045;X
190044;Head of Government;Benigno Andrade Flores;1941;1964;1999;PA;Old General;High;M40007;X
190045;Head of Government;Julio Salém Gallegos;1944;1964;1999;SD;Old General;High;M40047;X
190046;Head of Government;Carlos Mancheno Cajas;1947;1964;1999;PA;Smiling Oilman;High;M40048;X
190047;Foreign Minister;Enrique Gil Gilbert;1937;1964;1999;LWR;Great Compromiser;Medium;M40023;X
190048;Foreign Minister;José María Velasco Ibarra;1940;1964;1999;SD;Apologetic Clerk;Medium;M40068;X
190049;Foreign Minister;Camillo Ponce Enríquez;1944;1964;1999;SD;Iron Fisted Brute;High;M40034;X
190050;Foreign Minister;Juan Vicente Trujillo;1945;1964;1999;SD;The Cloak N Dagger Schemer;High;M40070;X
190051;Foreign Minister;Gustavo Becerra Páz;1947;1964;1999;LWR;Ideological Crusader;Very Low;M40021;X
190052;Foreign Minister;José Benitez Aparacio;1939;1964;1999;SL;Iron Fisted Brute;Medium;M40072;X
190053;Foreign Minister;Miquel Andramonte;1940;1964;1999;SL;Apologetic Clerk;Medium;M40074;X
190054;Foreign Minister;Antonio Pons Campuzano;1947;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M40037;X
190055;Foreign Minister;Rafael Vascoñez;1941;1964;1999;SC;Iron Fisted Brute;Medium;M40077;X
190056;Foreign Minister;Riccardo Orespo Ordoñez;1942;1964;1999;SC;Great Compromiser;Medium;M40078;X
190057;Foreign Minister;Francisco Guarderas Pérez;1943;1964;1999;SC;Ideological Crusader;Medium;M40079;X
190058;Foreign Minister;Juan de Diaz Mera;1944;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M40015;X
190059;Foreign Minister;Luis Bossano;1937;1964;1999;PA;Ideological Crusader;Medium;M40081;X
190060;Foreign Minister;Benigno Andrade Flores;1941;1964;1999;PA;General Staffer;Medium;M40007;X
190061;Minister of Armament;José María Velasco Ibarra;1937;1964;1999;SD;Infantry Proponent;Medium;M40068;X
190062;Minister of Armament;Neptali Bonofaz Ascázubi;1940;1964;1999;SD;Administrative Genius;Medium;M40028;X
190063;Minister of Armament;Carlos Arosemena Tola;1941;1964;1999;SD;laissez-faire capitalist;High;M40038;X
190064;Minister of Armament;Nicolas Delgado;1947;1964;1999;SD;Tank Proponent;Medium;M40024;X
190065;Minister of Armament;Aurelio Mosquera Narváez;1938;1964;1999;SL;Battle Fleet Proponent;High;M40006;X
190066;Minister of Armament;Antonio Pons Campuzano;1939;1964;1999;SL;Corrupt Kleptocrat;Medium;M40037;X
190067;Minister of Armament;Federico Páez Chiriboaga;1933;1964;1999;SL;Air to Sea Proponent;Medium;M40001;X
190068;Minister of Armament;Miquel Andramonte;1944;1964;1999;SL;Air Superiority Proponent;Medium;M40074;X
190069;Minister of Armament;Fabian Del Castello;1937;1964;1999;SC;laissez-faire capitalist;Medium;M40004;X
190070;Minister of Armament;Juan de Diaz Mera;1938;1964;1999;SC;Corrupt Kleptocrat;Medium;M40015;X
190071;Minister of Armament;Galo Plaza Lasso;1940;1964;1999;SC;Resource Industrialist;High;M40094;X
190072;Minister of Armament;Julio Moreno Peñaherrera;1943;1964;1999;SC;Theoretical Scientist;High;M40045;X
190073;Minister of Armament;Isidro Ayora Cueva;1945;1964;1999;SC;Submarine Proponent;Medium;M40041;X
190074;Minister of Armament;Carlos Arroyo del Río;1947;1964;1999;SC;Air to Ground Proponent;Medium;M40040;X
190075;Minister of Armament;Gustave Uriarte;1937;1964;1999;PA;Corrupt Kleptocrat;Low;M40014;X
190076;Minister of Armament;Carlos M. Larrea;1940;1964;1999;PA;Administrative Genius;Medium;M40042;X
