U58;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1105001;Head of State;Francisco 'Pancho' Villa;1913;1930;1999;LWR;Powerhungry Demagogue;Medium;8320;X
1105002;Head of Government;Francisco 'Pancho' Villa;1913;1930;1999;LWR;Flamboyant Tough Guy;Medium;8320;X
1105003;Foreign Minister;José Ortiz Rodríguez;1913;1930;1999;LWR;Ideological Crusader;Medium;7248;X
1105004;Minister of Armament;Rafael Buelna;1913;1930;1999;SD;Military Entrepreneur;Medium;8332;X
1105005;Minister of Armament;José Ruiz;1913;1930;1999;SD;Infantry Proponent;Medium;unknownminister;X
1105006;Minister of Armament;Maximiano Márquez Orozco;1913;1930;1999;LWR;Administrative Genius;Medium;unknownminister;X
1105007;Minister of Security;Raúl Madero;1913;1930;1999;SD;Man of the People;Medium;8334;X
1105008;Minister of Security;Carlos C. Echeverría;1913;1930;1999;SD;Prince of Terror;Medium;unknownminister;X
1105009;Head of Military Intelligence;Rodolfo Fierro;1913;1930;1999;LWR;Political Specialist;Medium;8336;X
1105010;Head of Military Intelligence;Fernando Martín del Campo;1913;1930;1999;LWR;Technical Specialist;Medium;unknownminister;X
1105011;Chief of Staff;Juan Medina;1913;1930;1999;LWR;School of Fire Support;Medium;7258;X
1105012;Chief of Staff;José Isabel Robles;1913;1930;1999;SD;School of Manoeuvre;Medium;7242;X
1105013;Chief of Staff;Nicolás Fernández;1913;1930;1999;LWR;School of Defence;Medium;8312;X
1105014;Chief of Staff;Francisco 'Pancho' Villa;1913;1930;1999;LWR;School of Psychology;Medium;8321;X
1105015;Chief of Army;Juan Medina;1913;1930;1999;LWR;Decisive Battle Doctrine;Medium;7258;X
1105016;Chief of Army;José Isabel Robles;1913;1930;1999;SD;Static Defence Doctrine;Medium;7242;X
1105017;Chief of Army;Nicolás Fernández;1913;1930;1999;LWR;Elastic Defence Doctrine;Medium;8312;X
1105018;Chief of Army;Francisco 'Pancho' Villa;1913;1930;1999;LWR;Guns and Butter Doctrine;Medium;8321;X
1105019;Chief of Navy;Eugenio Aguirre Benavides;1913;1930;1999;LWR;Base Control Doctrine;Medium;2836;X
1105020;Chief of Navy;Pedro Caloca Larios;1913;1930;1999;LWR;Open Seas Doctrine;Medium;8325;X
1105021;Chief of Navy;Miguel S. González;1913;1930;1999;LWR;Decisive Naval Battle Doctrine;Medium;8308;X
1105022;Chief of Navy;José Isabel Robles;1913;1930;1999;SD;Indirect Approach Doctrine;Medium;7242;X
1105023;Chief of Air Force;Pedro Caloca Larios;1913;1930;1999;LWR;Army Aviation Doctrine;Medium;8325;X
1105024;Chief of Air Force;Edwin Charles Parsons;1913;1930;1999;SD;Air Superiority Doctrine;Medium;unknownminister;X
1105025;Chief of Air Force;Lester Pence Barlow;1914;1930;1999;SD;Carpet Bombing Doctrine;Medium;unknownminister;X
