SOM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
770001;Head of State;Rodolfo Graziani;1933;1964;1999;FA;Insignificant Layman;High;L6084;X
770002;Head of Government;Ruggero Santini;1933;1964;1999;FA;old airmarshal;High;L6232;X
770003;Foreign Minister;Enrico Martini;1933;1964;1999;FA;Ideological Crusader;High;M575003;X
770004;Minister of Armament;Giovanni Fornari;1933;1964;1999;FA;Military Entrepreneur;Medium;M575004;X
770005;Minister of Security;Carlo de Simone;1933;1964;1999;FA;Back Stabber;Medium;L6058;X
770006;Head of Military Intelligence;Gustavo Pesenti;1933;1964;1999;FA;Dismal Enigma;Medium;M575006;X
770007;Chief of Staff;Raffaele Orlando;1933;1964;1999;PA;School of Fire Support;Medium;L6111;X
770008;Chief of Army;Federico Romero;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;L6127;X
770009;Chief of Navy;Lorenzo Gasparri;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L6171;X
770010;Chief of Air Force;Ernesto di Ferro;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;L6206;X
770011;Head of State;Abdulahi Issa Mohamud;1944;1964;1999;SC;Popular Figurehead;High;M575011;X
770012;Head of State;Sir Arthur Lawrance;1939;1964;1999;SL;Barking Buffoon;High;M575012;X
770013;Head of Government;Herbert Pike-Pease;1939;1964;1999;SL;Political Protege;High;M575013;X
770014;Foreign Minister;Enrico Anzelotti;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M575014;X
770015;Foreign Minister;Sir Douglas Hall;1939;1964;1999;SL;Great Compromiser;High;M575015;X
770016;Foreign Minister;Mohammed Haji Egal;1945;1964;1999;SL;Iron Fisted Brute;High;M575016;X
770017;Minister of Armament;Graeme Sinclair-Lockhart;1939;1964;1999;SL;Resource Industrialist;Medium;M575017;X
770018;Minister of Armament;Gabaar Baaka;1945;1964;1999;SL;Tank Proponent;Medium;M575018;X
770019;Minister of Security;Leslie Sandford;1939;1964;1999;SL;Crime Fighter;Medium;M575019;X
770020;Minister of Security;Dr. Rashid Ali Shermake;1945;1964;1999;SL;Compassionate Gentleman;Medium;M575020;X
770021;Head of Military Intelligence;Francesco Caroselli;1944;1964;1999;SC;Political Specialist;Medium;M575021;X
770022;Head of Military Intelligence;Henry E. Fitzalan-Howard;1939;1964;1999;SL;Logistics Specialist;Medium;M575022;X
770023;Head of Military Intelligence;Gerald Fisher;1944;1964;1999;SL;Industrial Specialist;Medium;M575023;X
770024;Chief of Staff;A.L.W. Soames;1939;1964;1999;SL;School of Manoeuvre;Medium;L1283;X
770025;Chief of Army;Richard McCreery;1939;1964;1999;SL;Armoured Spearhead Doctrine;Medium;L1216;X
770026;Chief of Army;Muhammed Siad Barre;1945;1964;1999;SL;Guns And Butter Doctrine;Medium;M575026;X
770027;Chief of Navy;Harold Burrogh;1939;1964;1999;SL;Indirect Approach Doctrine;Medium;L1330;X
770028;Chief of Air Force;Robert Oxland;1939;1964;1999;SL;Vertical Envelopment Doctrine;Medium;L1466;X
