U60;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;x
1115001;Head of State;Walter Davidson;1914;1964;1999;ML;Stern Imperialist;Very High;8285;x
1115002;Head of Government;Edward Morris;1914;1964;1999;ML;Flamboyant Tough Guy;Very High;8286;x
1115003;Foreign Minister;Edward Morris;1914;1964;1999;ML;Great Compromiser;Very High;8286;x
1115004;Minister of Armament;Michael Cashin;1914;1964;1999;ML;Resource Industrialist;Very High;8287;x
1115005;Minister of Security;Richard Squires;1914;1964;1999;SL;Man of the People;Very High;8288;x
1115006;Head of Military Intelligence;Arthur Hadow;1914;1964;1999;ML;Political Specialist;Very High;8289;x
1115007;Chief of Staff;John Bennett;1914;1964;1999;ML;School of Fire Support;Undying;8290;x
1115008;Chief of Army;Arthur Hadow;1914;1964;1999;ML;Decisive Battle Doctrine;Low;8289;x
1115009;Chief of Navy;Under Army Command;1914;1964;1999;ML;decisive naval battle doctrine;Very High;unknownminister;x
1115010;Chief of Air Force;Under Army Command;1914;1964;1999;ML;army aviation doctrine;Very High;unknownminister;x
1115011;Head of Government;William Coaker;1914;1964;1999;SL;Flamboyant Tough Guy;Very High;8291;x
