U01;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
820001;Minister of Armament;Vincent Auriol;1942;1964;1999;SL;Supporter of Devaluation;High;5901;X
820002;Head of State;Vincent Auriol;1942;1964;1999;SL;Autocratic Charmer;High;5901;X
820003;Head of State;Daniel Mayer;1933;1964;1999;SD;Weary Stiffneck;High;M2023;X
820004;Head of State;Charles de Gaulle;1933;1964;1999;SC;Resigned Generalissimo;High;2562;X
820005;Head of Government;Felix Gouin;1933;1964;1999;SD;Smiling Oilman;High;M2034;X
820006;Head of Government;Paul Ramadier;1933;1964;1999;SD;Ambitious Union Boss;High;M2035;X
820007;Head of Government;Georges Bidault;1941;1964;1999;ML;Old General;High;M2039;X
820008;Head of Government;Antoine Henri Queuille;1943;1964;1999;SC;Corporate Suit;High;M2043;X
820009;Head of Government;Jacques Duclos;1933;1964;1999;ST;Backroom Backstabber;High;M2012;X
820010;Head of Government;Charles de Gaulle;1933;1964;1999;SC;Old General;High;2562;X
820011;Head of Government;Jean-Marie Lattre de Tassigny;1942;1964;1999;SC;Old General;High;5903;X
820012;Foreign Minister;Joseph Paul Boncour;1933;1964;1999;SD;Ideological Crusader;Medium;M2049;X
820013;Foreign Minister;George Bidault;1941;1964;1999;ML;General Staffer;High;M2039;X
820014;Foreign Minister;Antoine Henri Queuille;1943;1964;1999;SC;Iron Fisted Brute;High;M2043;X
820015;Foreign Minister;Rene Charron;1933;1964;1999;SC;Apologetic Clerk;Medium;M2059;X
820016;Foreign Minister;Rene Lucien Massigli;1941;1964;1999;SC;The Cloak N Dagger Schemer;High;M2061;X
820017;Foreign Minister;Laurent Casenove;1942;1964;1999;ST;Great Compromiser;Medium;M2064;X
820018;Foreign Minister;Jacques Duclos;1933;1964;1999;ST;Ideological Crusader;Very High;M2012;X
820019;Foreign Minister;Maurice Bourges-Maunoury;1933;1964;1999;PA;General Staffer;High;M2066;X
820020;Minister of Armament;Guy Mollet;1942;1964;1999;SD;Keynesian economy;Medium;M2071;X
820021;Minister of Armament;Andre Le Troquer;1942;1964;1999;SD;Resource Industrialist;Medium;M2072;X
820022;Minister of Armament;Charles de Gaulle;1933;1964;1999;SC;Tank Proponent;High;2562;X
820023;Minister of Armament;Andre Marie;1941;1964;1999;ML;Air Superiority Proponent;Medium;M2041;X
820024;Minister of Armament;Antoine Henri Queuille;1943;1964;1999;SC;Air to Ground Proponent;High;M2043;X
820025;Minister of Armament;Louis Armand;1943;1964;1999;SC;Tank Proponent;Medium;M2086;X
820026;Minister of Armament;Edmond Michelet;1933;1964;1999;SC;laissez-faire capitalist;Medium;M2089;X
820027;Minister of Armament;Rene Pleven;1933;1964;1999;ML;Resource Industrialist;High;M2090;X
820028;Minister of Armament;Laurent Casenove;1932;1933;1999;ST;Theoretical Scientist;Medium;M2064;X
820029;Minister of Armament;Jean Jerome;1933;1964;1999;ST;laissez-faire capitalist;Medium;M2093;X
820030;Minister of Armament;Benoit Frachon;1933;1964;1999;ST;Battle Fleet Proponent;Medium;M2094;X
820031;Minister of Armament;Auguste Lecoeur;1933;1964;1999;ST;Military Entrepreneur;Medium;M2095;X
820032;Minister of Armament;Jacques de Guillebon;1933;1964;1999;PA;Resource Industrialist;Medium;M2097;X
820033;Minister of Security;Adrien Tixier;1933;1964;1999;SD;Health and safety;Very High;M2100;X
820034;Minister of Security;Paul Ramadier;1933;1964;1999;SD;Crime Fighter;High;M2035;X
820035;Minister of Security;Jules Moch;1942;1964;1999;SL;Man of the People;High;M2104;X
820036;Minister of Security;Pierre Pene;1933;1964;1999;SL;Silent Lawyer;Medium;M2105;X
820037;Minister of Security;Andre Le Troquer;1942;1964;1999;SC;Compassionate Gentleman;Medium;M2072;X
820038;Minister of Security;Claudine Chomat;1933;1964;1999;ST;Efficient Sociopath;Medium;M2118;X
820039;Minister of Security;Maurice Thorez;1944;1964;1999;ST;Prince of Terror;Very High;M2011;X
820040;Head of Military Intelligence;Felix Gouin;1933;1964;1999;SD;Technical Specialist;Medium;M2034;X
820041;Head of Military Intelligence;Daniel Mayer;1933;1964;1999;SD;Logistics Specialist;Medium;M2023;X
820042;Head of Military Intelligence;Andre Le Troquer;1942;1964;1999;SD;Dismal Enigma;Medium;M2072;X
820043;Head of Military Intelligence;Aime Lepercq;1943;1964;1999;SL;Industrial Specialist;High;M2130;X
820044;Head of Military Intelligence;Jacques Brunschwig;1942;1964;1999;SC;Naval Intelligence Specialist;High;M2132;X
820045;Head of Military Intelligence;Andre Marie;1941;1964;1999;ML;Technical Specialist;Medium;M2041;X
820046;Head of Military Intelligence;Charles Luizet;1933;1964;1999;ML;Technical Specialist;High;5905;X
820047;Head of Military Intelligence;Andre de Wawrin-Passy;1933;1964;1999;SC;Logistics Specialist;High;M2135;X
820048;Head of Military Intelligence;Roger Lantenois;1933;1964;1999;SC;Industrial Specialist;High;M2136;X
820049;Head of Military Intelligence;Andre Boulloche;1933;1964;1999;SC;Dismal Enigma;High;M2137;X
820050;Head of Military Intelligence;Waldeck Rochet;1943;1964;1999;ST;Dismal Enigma;High;M2016;X
820051;Head of Military Intelligence;Gustave Guehenneux;1933;1964;1999;ST;Technical Specialist;Medium;M2141;X
820052;Head of Military Intelligence;Paul Repiton-Preneuf;1933;1964;1999;PA;Logistics Specialist;Medium;M2142;X
820053;Chief of Staff;Jean-Marie Lattre de Tassigny;1943;1964;1999;SC;School of Mass Combat;Medium;5903;X
820054;Chief of Staff;Paul Le Gentilhomme;1933;1964;1999;SC;School of Psychology;Medium;6373;X
820055;Chief of Staff;Charles de Gaulle;1933;1964;1999;SC;School of Manoeuvre;High;2562;X
820056;Chief of Staff;Pierre-Armand Billotte;1941;1964;1999;SC;School of Fire Support;Medium;M2151;X
820057;Chief of Staff;Pierre Bourges-Maunory;1933;1964;1999;SC;School of Psychology;High;M2152;X
820058;Chief of Army;Jean-Marie Lattre de Tassigny;1943;1964;1999;SC;Armoured Spearhead Doctrine;Medium;5903;X
820059;Chief of Army;Andre Marty;1943;1964;1999;ST;Guns and Butter Doctrine;Medium;M2018;X
820060;Chief of Army;Pierre Fabien;1933;1964;1999;ST;Decisive Battle Doctrine;Medium;M2167;X
820061;Chief of Navy;Joseph Paul Boncour;1933;1964;1999;SD;Base Control Doctrine;High;M2170;X
820062;Chief of Navy;Cesar Campinchi;1933;1964;1999;ML;Indirect Approach Doctrine;Very High;M2173;X
820063;Chief of Navy;Etienne Schlumberger;1933;1964;1999;SC;Decisive Naval Battle Doctrine;High;M2174;X
820064;Chief of Navy;Andre Marty;1943;1964;1999;ST;Indirect Approach Doctrine;Medium;M2018;X
820065;Chief of Navy;Charles Tillon;1933;1964;1999;ST;Base Control Doctrine;High;M2180;X
820066;Chief of Air Force;Martial Valin;1933;1964;1999;SC;Air Superiority Doctrine;Very High;M2185;X
820067;Chief of Air Force;Raymond Roques;1933;1964;1999;SC;Carpet Bombing Doctrine;Very High;M2194;X
820068;Chief of Air Force;Charles Tillon;1933;1964;1999;ST;Army Aviation Doctrine;High;M2180;X
820069;Foreign Minister;Maurice Dejean;1941;1964;1999;ML;Great Compromiser;High;M2202;X
820070;Foreign Minister;Rene Pleven;1933;1964;1999;ML;Biased Intellectual;High;M2090;X
820071;Chief of Army;Alphonse Georges;1943;1964;1999;SC;Static Defence Doctrine;High;L24082;X
820072;Head of State;Henri-Honore Giraud;1942;1964;1999;PA;Weary Stiffneck;Very High;L24084;X
820073;Head of Government;Henri-Honore Giraud;1942;1964;1999;PA;Old General;Very High;L24084;X
820074;Foreign Minister;Charles-Emmanuel Mast;1942;1964;1999;PA;General Staffer;High;L24224;X
820075;Minister of Armament;Marie-Pierre Koenig;1933;1964;1999;SC;Military Entrepreneur;Very High;L24107;X
820076;Chief of Staff;Henri-Honore Giraud;1942;1964;1999;PA;School of Fire Support;Very High;L24084;X
820077;Head of Government;Rene Pleven;1933;1964;1999;ML;Political Protege;High;M2090;X
820078;Head of Government;Edgar Faure;1942;1964;1999;SD;Backroom Backstabber;High;M2219;X
820079;Head of Government;Rene Mayer;1943;1964;1999;SL;Naive Optimist;High;M2221;X
820080;Head of Government;Joseph Laniel;1933;1964;1999;SC;Flamboyant Tough Guy;High;M2222;X
820081;Minister of Armament;Pierre-Henri Teitgen;1933;1964;1999;ML;laissez-faire capitalist;Medium;M2224;X
