SCA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
755001;Head of State;Christian X;1933;1964;1999;SD;Weary Stiffneck;High;M16001;X
755002;Head of Government;Thorvald Stauning;1933;1964;1999;SD;Ambitious Union Boss;High;M16002;X
755003;Foreign Minister;Per Albin Hansson;1933;1964;1999;SD;Iron Fisted Brute;High;M7033;X
755004;Minister of Armament;Gustav Möller;1933;1964;1999;SD;laissez-faire capitalist;Medium;M7048;X
755005;Minister of Security;Johan Nygaardsvold;1933;1964;1999;SD;Man of the People;High;M14002;X
755006;Head of Military Intelligence;Alfred Roscher-Lund;1933;1964;1999;SD;Logistics Specialist;Low;M14006;X
755007;Chief of Staff;Aage H. Vedel;1933;1964;1999;SD;School of Manoeuvre;Very High;M16119;X
755008;Chief of Army;Oscar Nygren;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M7007;X
755009;Chief of Navy;Aage H. Vedel;1933;1964;1999;SD;Open Seas Doctrine;Very High;M16119;X
755010;Chief of Air Force;Torsten Friis;1933;1964;1999;SD;Army Aviation Doctrine;Very High;M7010;X
755011;Head of State;Christian X;1933;1964;1999;ML;Weary Stiffneck;High;M16001;X
755012;Head of State;Frederik IX;1947;1964;1999;SD;Autocratic Charmer;High;M16138;X
755013;Head of State;Frederik IX;1947;1964;1999;ML;Autocratic Charmer;High;M16138;X
755014;Head of Government;Per Albin Hansson;1942;1964;1999;SD;Corporate Suit;High;M7033;X
755015;Head of Government;Einar Gerhardsen;1946;1964;1999;SD;Political Protege;High;M14037;X
755016;Head of Government;C.J. Hambro;1933;1964;1999;ML;Silent Workhorse;High;M14036;X
755017;Head of Government;Axel Pehrsson-Bramstorp;1940;1964;1999;ML;Happy Amateur;High;M7002;X
755018;Head of Government;Knud Kristensen;1945;1964;1999;ML;Political Protege;High;M16043;X
755019;Foreign Minister;Erik Scavenius;1940;1964;1999;SD;Biased Intellectual;Very High;2387;X
755020;Foreign Minister;Trygve H. Lie;1941;1964;1999;SD;Iron Fisted Brute;High;M14005;X
755021;Foreign Minister;Tage Erlander;1946;1964;1999;SD;Great Compromiser;High;M7034;X
755022;Foreign Minister;Erik Andreas Colban;1933;1964;1999;ML;Great Compromiser;High;M14045;X
755023;Foreign Minister;Per E.G. Insulander;1939;1964;1999;ML;General Staffer;High;M7044;X
755024;Foreign Minister;Christmas Møller;1945;1964;1999;ML;Biased Intellectual;Medium;M16041;X
755025;Minister of Armament;Vilhelm Buhl;1940;1964;1999;SD;Battle Fleet Proponent;High;M16039;X
755026;Minister of Armament;Jens Christian Hauge;1941;1964;1999;SD;Military Entrepreneur;High;M14053;X
755027;Minister of Armament;Bertil Ohlin;1944;1964;1999;SD;Military Entrepreneur;Medium;M7037;X
755028;Minister of Armament;Gustav Cassel;1933;1964;1999;ML;Administrative Genius;Medium;M7049;X
755029;Minister of Armament;Erling Sandberg;1943;1964;1999;ML;Infantry Proponent;Very low;M14014;X
755030;Minister of Armament;Ole Bjørn Kraft;1945;1964;1999;ML;Resource Industrialist;Medium;2388;X
755031;Minister of Security;Anders Lindstedt;1937;1964;1999;SD;Compassionate Gentleman;Very High;M7061;X
755032;Minister of Security;J.C. Jørgensen;1942;1964;1999;SD;Crime Fighter;High;M16077;X
755033;Minister of Security;Haakon Lie;1945;1964;1999;SD;Prince of Terror;High;M14067;X
755034;Minister of Security;Harald Petersen;1933;1964;1999;ML;Crime Fighter;Very High;M16078;X
755035;Minister of Security;Erling Sandberg;1943;1964;1999;ML;Compassionate Gentleman;Very low;M14014;X
755036;Minister of Security;Thorwald Bergquist;1944;1964;1999;ML;Man of the People;High;M7005;X
755037;Head of Military Intelligence;Helge Jung;1938;1964;1999;SD;Political Specialist;Low;M7006;X
755038;Head of Military Intelligence;Niels Bohr;1941;1964;1999;SD;Technical Specialist;Very High;M16071;X
755039;Head of Military Intelligence;Vilhelm Evang;1943;1964;1999;SD;Industrial Specialist;Medium;M14072;X
755040;Head of Military Intelligence;Bertram Dybwad Brochmann;1933;1964;1999;ML;Dismal Enigma;Medium;M14071;X
755041;Head of Military Intelligence;Åke Hammerskiöld;1941;1964;1999;ML;Industrial Specialist;High;M7070;X
755042;Head of Military Intelligence;H.M. Lunding;1945;1964;1999;ML;Logistics Specialist;High;M16090;X
755043;Chief of Staff;Otto Ruge;1938;1964;1999;SD;School of Defence;Medium;M14075;X
755044;Chief of Staff;Ebbe Gørtz;1941;1964;1999;SD;School of Psychology;Very High;M16103;X
755045;Chief of Staff;Nils Swedlund;1946;1964;1999;SD;School of Fire Support;Very High;M7077;X
755046;Chief of Staff;Oscar Nygren;1933;1964;1999;ML;School of Defence;Medium;M7007;X
755047;Chief of Staff;Hans A. Rolsted;1941;1964;1999;ML;School of Mass Combat;High;M16100;X
755048;Chief of Staff;Wilhelm von Tangen-Hansteen;1946;1964;1999;ML;School of Fire Support;Very High;M14078;X
755049;Chief of Army;Wilhelm W. Prior;1938;1964;1999;SD;Static Defence Doctrine;Medium;M16007;X
755050;Chief of Army;Olav av Norge;1942;1964;1999;SD;Elastic Defence Doctrine;Very High;M14081;X
755051;Chief of Army;Helge Jung;1944;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M7006;X
755052;Chief of Army;Per Sylvan;1933;1964;1999;ML;Static Defence Doctrine;Medium;M7079;X
755053;Chief of Army;Olav av Norge;1941;1964;1999;ML;Elastic Defence Doctrine;Very High;M14081;X
755054;Chief of Army;Viggo Hjalf;1945;1964;1999;ML;Guns and Butter Doctrine;Low;L9531;X
755055;Chief of Navy;Henry Diesen;1937;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M14083;X
755056;Chief of Navy;Carl Hammerich;1941;1964;1999;SD;Base Control Doctrine;Very High;M16121;X
755057;Chief of Navy;Gösta Ehrensvärd;1943;1964;1999;SD;Indirect Approach Doctrine;Medium;M7087;X
755058;Chief of Navy;Erik Palmstierna;1933;1964;1999;ML;Base Control Doctrine;Medium;M7050;X
755059;Chief of Navy;Hans Corneliussen;1941;1964;1999;ML;Indirect Approach Doctrine;Medium;M14086;X
755060;Chief of Navy;E.B. de Crèvecoeur;1945;1964;1999;ML;Power Projection Doctrine;High;M16120;X
755061;Chief of Air Force;Hjalmar Riiser-Larsen;1937;1964;1999;SD;Air Superiority Doctrine;Medium;M14089;X
755062;Chief of Air Force;Jens Otto Krag;1942;1964;1999;SD;Vertical Envelopment Doctrine;Very High;M16128;X
755063;Chief of Air Force;Axel Ljungdahl;1944;1964;1999;SD;Naval Aviation Doctrine;Very High;M7092;X
755064;Chief of Air Force;Trygve Klingenberg;1937;1964;1999;ML;Army Aviation Doctrine;Medium;M14093;X
755065;Chief of Air Force;Bengt Nordenskiöld;1942;1964;1999;ML;Vertical Envelopment Doctrine;High;M7070;X
755066;Chief of Air Force;Kaj Birksted;1945;1964;1999;ML;Air Superiority Doctrine;Very High;M16129;X
755067;Head of State;Vidkun Quisling;1933;1964;1999;FA;Powerhungry Demagogue;High;M14012;X
755068;Head of Government;Martin Ekström;1933;1964;1999;FA;Naive Optimist;High;M7011;X
755069;Foreign Minister;Erik von Rosen;1933;1964;1999;FA;Ideological Crusader;Very High;M7013;X
755070;Minister of Armament;Fritz Clausen;1933;1964;1999;FA;Infantry Proponent;High;M16011;X
755071;Minister of Security;Sven Hedín;1933;1964;1999;FA;Back Stabber;Very High;M7015;X
755072;Head of Military Intelligence;Poul Sommer;1933;1964;1999;FA;Dismal Enigma;High;M16016;X
755073;Chief of Staff;Konrad Sundlo;1933;1964;1999;FA;School of Manoeuvre;High;M14018;X
755074;Chief of Army;Fritz von Schalburg;1933;1964;1999;FA;Guns and Butter Doctrine;Low;M16018;X
755075;Chief of Navy;Bertel Bruun;1933;1964;1999;FA;Open Seas Doctrine;Medium;M14019;X
755076;Chief of Air Force;Axel Gyllenkrok;1933;1964;1999;FA;Army Aviation Doctrine;Low;M7020;X
755077;Head of State;Adam Egede Nissen;1933;1964;1999;ST;Insignificant Layman;High;M14021;X
755078;Head of Government;Aksel Larsen;1933;1964;1999;ST;Backroom Backstabber;High;M16021;X
755079;Foreign Minister;Peder Furubotn;1933;1964;1999;ST;Ideological Crusader;Medium;M14023;X
755080;Minister of Armament;Alfred Jensen;1933;1964;1999;ST;Tank Proponent;High;M16024;X
755081;Minister of Security;Knud Jespersen;1933;1964;1999;ST;Man of the People;High;M16086;X
755082;Head of Military Intelligence;Sven Linderot;1933;1964;1999;ST;Naval Intelligence Specialist;High;M7021;X
755083;Chief of Staff;Arne Gauslå;1933;1964;1999;ST;School of Defence;High;M14027;X
755084;Chief of Army;Axel Pettersson;1933;1964;1999;ST;Decisive Battle Doctrine;Very High;unknownminister;X
