LUX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
385001;Head of State;Charlotte;1933;1964;1999;SC;Autocratic Charmer;High;M66001;X
385002;Head of Government;Joseph Bech;1926;1975;1999;SC;Naive Optimist;High;M66002;X
385003;Foreign Minister;Joseph Bech;1933;1964;1999;SC;Ideological Crusader;Very High;M66002;X
385004;Minister of Armament;Pierre Dupong;1933;1964;1999;SC;laissez-faire capitalist;Very High;M66004;X
385005;Minister of Security;Norbert Dumont;1933;1964;1999;SC;Crime Fighter;Very High;M66005;X
385006;Head of Military Intelligence;Nicholas Marque;1933;1964;1999;SC;Industrial Specialist;Very High;M66006;X
385007;Chief of Staff;Pierre Dupong;1933;1964;1999;SC;School of Defence;Very High;M66004;X
385008;Chief of Army;Emile Speller;1933;1964;1999;SC;Static Defence Doctrine;Very High;M66008;X
385009;Chief of Navy;Emile Speller;1933;1964;1999;SC;Open Seas Doctrine;Very High;M66008;X
385010;Chief of Air Force;Nicholas Diedrich;1933;1964;1999;SC;Army Aviation Doctrine;Very High;M66010;X
385011;Head of State;Alexander von Falkenhausen;1940;1964;1999;FA;Resigned Generalissimo;High;M66034;X
385012;Head of State;Guillaume Soisson;1945;1964;1999;PA;Popular Figurehead;High;M66016;X
385013;Head of State;Paul Medinger;1933;1964;1999;LE;Pig-headed Isolationist;High;M66021;X
385014;Head of State;Martin Karp;1945;1964;1999;LWR;Die-hard Reformer;High;M66024;X
385015;Head of Government;Pierre Dupong;1937;1964;1999;SC;Silent Workhorse;High;M66004;X
385016;Head of Government;René Blum;1933;1964;1999;SD;Ambitious Union Boss;High;M66039;X
385017;Head of Government;Damian Kratzenberg;1933;1964;1999;FA;Corporate Suit;High;M66011;X
385018;Head of Government;Guillaume Soisson;1945;1964;1999;PA;Happy Amateur;High;M66016;X
385019;Head of Government;Paul Medinger;1933;1964;1999;LE;Ambitious Union Boss;High;M66021;X
385020;Head of Government;Martin Karp;1945;1964;1999;LWR;Corporate Suit;High;M66024;X
385021;Foreign Minister;Pierre Krier;1933;1964;1999;SD;Apologetic Clerk;High;M66045;X
385022;Foreign Minister;René Blum;1939;1964;1999;SD;Iron Fisted Brute;High;M66039;X
385023;Foreign Minister;Damian Kratzenberg;1933;1964;1999;FA;Biased Intellectual;Low;M66011;X
385024;Foreign Minister;Henri Ahnen;1945;1964;1999;PA;Iron Fisted Brute;Medium;M66015;X
385025;Foreign Minister;Paul Medinger;1933;1964;1999;LE;Biased Intellectual;Medium;M66021;X
385026;Foreign Minister;Francois Schammel;1945;1964;1999;LWR;General Staffer;Very High;M66050;X
385027;Minister of Armament;Jules Keiffer;1944;1964;1999;SC;Military Entrepreneur;Medium;M66052;X
385028;Minister of Armament;Auguste Oster;1945;1964;1999;SC;Administrative Genius;High;M66053;X
385029;Minister of Armament;Pierre Krier;1933;1964;1999;SD;Resource Industrialist;High;M66045;X
385030;Minister of Armament;Alex Federspiel;1940;1964;1999;SD;Infantry Proponent;Medium;M66055;X
385031;Minister of Armament;Gustave Farver;1933;1964;1999;FA;Tank Proponent;Medium;M66014;X
385032;Minister of Armament;Philip Hoffmann;1945;1964;1999;PA;Theoretical Scientist;Medium;M66057;X
385033;Minister of Armament;Martin Karp;1933;1964;1999;LE;Infantry Proponent;Medium;M66024;X
385034;Minister of Armament;Jean Pierre Kauder;1945;1964;1999;LWR;Military Entrepreneur;Medium;M66025;X
385035;Minister of Security;Nicolas Braunshausen;1933;1964;1999;SC;Back Stabber;High;M66060;X
385036;Minister of Security;Etienne Schmit;1937;1964;1999;SC;Silent Lawyer;High;M66061;X
385037;Minister of Security;Joseph Bech;1938;1964;1999;SC;Compassionate Gentleman;Very High;M66002;X
385038;Minister of Security;Robert Als;1944;1964;1999;SC;Crime Fighter;High;M66063;X
385039;Minister of Security;Victor Bodson;1946;1964;1999;SC;Man of the People;High;M66064;X
385040;Minister of Security;René Blum;1933;1964;1999;SD;Crime Fighter;Very High;M66039;X
385041;Minister of Security;Joseph Goedert;1944;1964;1999;SD;Compassionate Gentleman;Medium;M66066;X
385042;Minister of Security;Henri Ahnen;1933;1964;1999;FA;Compassionate Gentleman;Medium;M66015;X
385043;Minister of Security;Jean Pierre Kauder;1933;1964;1999;LE;Man of the People;Medium;M66025;X
385044;Minister of Security;Michel Hansen;1945;1964;1999;LWR;Efficient Sociopath;High;M66070;X
385045;Head of Military Intelligence;Edmond Klein;1940;1964;1999;SC;Dismal Enigma;Very High;M66072;X
385046;Head of Military Intelligence;Joseph Tockert;1933;1964;1999;SD;Technical Specialist;Very High;M66073;X
385047;Head of Military Intelligence;Francois Schammel;1944;1964;1999;SD;Logistics Specialist;Very High;M66050;X
385048;Head of Military Intelligence;Charles Becker;1945;1964;1999;SD;Political Specialist;Very High;M66075;X
385049;Head of Military Intelligence;Guillaume Soisson;1933;1964;1999;FA;Logistics Specialist;Medium;M66016;X
