SLV;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
525001;Head of State;Edler von Hospdarz;1933;1964;1999;PA;Resigned Generalissimo;High;M545001;X
525002;Head of Government;Ladislaus Grusz;1933;1964;1999;PA;Political Protege;High;M545002;X
525003;Foreign Minister;Cene Verhonik;1933;1964;1999;PA;Great Compromiser;High;M545003;X
525004;Minister of Armament;Danko Urshek;1933;1964;1999;PA;Military Entrepreneur;Medium;M545004;X
525005;Minister of Security;Milan Lekse;1933;1964;1999;PA;Crime Fighter;Medium;M545005;X
525006;Head of Military Intelligence;Nico Krefel;1933;1964;1999;PA;Dismal Enigma;Medium;M545006;X
525007;Chief of Staff;Tivador Stupka;1933;1964;1999;PA;School of Defence;Medium;M545007;X
525008;Chief of Army;Joseph Kövess;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M545008;X
525009;Chief of Navy;Friedrich Homberth;1933;1964;1999;PA;Open Seas Doctrine;Medium;M545009;X
525010;Chief of Air Force;Gustave Casati;1933;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M545010;X
525011;Head of State;Arthur von Straussenburg;1933;1964;1999;SC;Die-hard Reformer;High;M545011;X
525012;Head of State;Ales Zupancic;1933;1964;1999;LE;Benevolent Gentleman;High;M545012;X
525013;Head of Government;Emil von Brasseur;1933;1964;1999;SC;Silent Workhorse;High;M545013;X
525014;Head of Government;Bartolomej Watzke;1933;1964;1999;LE;Ambitious Union Boss;High;M545014;X
525015;Foreign Minister;Sveto Hren;1941;1964;1999;PA;Biased Intellectual;High;M545015;X
525016;Foreign Minister;Iztok Pretner;1933;1964;1999;SC;Iron Fisted Brute;High;M545016;X
525017;Foreign Minister;Edvard Trubar;1933;1964;1999;LE;Ideological Crusader;High;M545017;X
525018;Minister of Armament;Zivadin Codamaz;1942;1964;1999;PA;laissez-faire capitalist;Medium;M545018;X
525019;Minister of Armament;Julij Orendec;1933;1964;1999;SC;Administrative Genius;Medium;M545019;X
525020;Minister of Armament;Gaspar Sorc;1933;1964;1999;LE;Theoretical Scientist;Medium;M545020;X
525021;Minister of Armament;Tomasz Gerbajs;1942;1964;1999;LE;Strategic Air Proponent;Medium;M545021;X
525022;Minister of Security;Karel Nunet;1933;1964;1999;SC;Prince of Terror;Medium;M545022;X
525023;Minister of Security;Hugo Ribic;1933;1964;1999;LE;Efficient Sociopath;Medium;M545023;X
525024;Minister of Security;Urban Frelih;1941;1964;1999;LE;Silent Lawyer;Medium;M545024;X
525025;Head of Military Intelligence;Lovro Miklavc;1933;1964;1999;SC;Industrial Specialist;Medium;M545025;X
525026;Head of Military Intelligence;Primoz Jezik;1933;1964;1999;LE;Political Specialist;Medium;M545026;X
525027;Head of Military Intelligence;Vilhjem Donas;1942;1964;1999;LE;Technical Specialist;Medium;M545027;X
525028;Chief of Staff;Franz von Ulm;1933;1964;1999;SC;School of Mass Combat;Medium;M545028;X
525029;Chief of Staff;Alexander Brosch von Aarenau;1933;1964;1999;LE;School of Psychology;Medium;M545029;X
525030;Chief of Army;Gregor Lang;1933;1964;1999;SC;Static Defence Doctrine;Medium;M545030;X
525031;Chief of Army;Ernst von Jacobs;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M545031;X
525032;Chief of Navy;Arthur Dannecker;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M545032;X
525033;Chief of Navy;René Imperl;1933;1964;1999;LE;Indirect Approach Doctrine;Medium;M545033;X
525034;Chief of Air Force;Alberto von Kodolitsch;1933;1964;1999;SC;Army Aviation Doctrine;Medium;M545034;X
525035;Chief of Air Force;Friedrich Mazal;1933;1964;1999;LE;Air Superiority Doctrine;Medium;M545035;X
525036;Head of Government;Leon Rupnik;1939;1954;1999;NS;Old General;Medium;8548;X
525037;Head of Government;Stanko Majcen;1944;1964;1999;FA;Silent Workhorse;High;8551;X
525038;Head of State;Leon Rupnik;1939;1954;1999;NS;Stern Imperialist;Medium;8548;X
525039;Chief of Staff;Leon Rupnik;1933;1954;1999;NS;School of Fire Support;Medium;8548;X
525040;Chief of Staff;Ernest Peterlin;1940;1964;1999;FA;School of Mass Combat;High;8549;X
525041;Chief of Staff;Vuk Rupnik;1944;1964;1999;FA;School of Defence;High;8555;X
525042;Chief of Staff;Anton Kokalj;1941;1964;1999;FA;School of Manoeuvre;High;8556;X
525043;Chief of Staff;Franc Rozman;1941;1964;1999;LWR;School of Mass Combat;Very high;8554;X
525044;Chief of Army;Franc Rozman;1942;1964;1999;LWR;elastic defence doctrine;Very high;8554;X
525045;Chief of Army;Ernest Peterlin;1944;1964;1999;FA;Decisive Battle Doctrine;High;8549;X
525046;Foreign Minister;Lyenko Urbanchich;1939;1964;1999;NS;The Cloak N Dagger Schemer;High;8550;X
525047;Foreign Minister;Franc Rozman;1945;1964;1999;LWR;General Staffer;Very high;8554;X
525048;Foreign Minister;Stanko Majcen;1936;1964;1999;FA;Biased Intellectual;High;8551;X
525049;Minister of Security;Lyenko Urbanchich;1941;1964;1999;NS;Prince of Terror;High;8550;X
525050;Minister of Security;Juro Adlesic;1930;1964;1999;PA;Compassionate Gentleman;Very high;8552;X
525051;Minister of Armament;Josip Plemelj;1936;1964;1999;ML;Theoretical Scientist;High;8553;X
525052;Minister of Security;Stanko Majcen;1940;1964;1999;FA;Silent Lawyer;High;8551;X
525053;Minister of Security;Anton Kokalj;1943;1964;1999;FA;Back Stabber;High;8556;X
