GRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
90001;Head of State;Georgios II;1933;1964;1999;PA;Insignificant Layman;High;2646;X
90002;Head of Government;Konstantinos Demertzis;1933;1964;1999;PA;Naive Optimist;High;M18002;X
90003;Foreign Minister;Konstantinos Demertzis;1933;1964;1999;PA;Biased Intellectual;Very High;M18002;X
90004;Minister of Armament;Georgios Mantzavinos;1933;1964;1999;PA;Military Entrepreneur;Medium;M18004;X
90005;Minister of Security;Georgios Logothetis;1933;1964;1999;PA;Crime Fighter;Medium;M18005;X
90006;Head of Military Intelligence;Georgios Logothetis;1933;1964;1999;PA;Dismal Enigma;Medium;M18005;X
90007;Chief of Staff;Theodor Pangalos;1933;1964;1999;PA;School of Defence;Low;M18007;X
90008;Chief of Army;Alexandros Papagos;1933;1964;1999;PA;Elastic Defence Doctrine;Low;M18008;X
90009;Chief of Navy;Alexandros Sakellariou;1933;1964;1999;PA;Open Seas Doctrine;Medium;8145;X
90010;Chief of Air Force;Eleftherios Venizelos;1933;1935;1999;PA;Army Aviation Doctrine;Medium;M18010;X
90011;Head of State;Georgios II;1933;1964;1999;SL;Insignificant Layman;High;2646;X
90012;Head of State;Archbishop Damaskinos;1941;1964;1999;SL;Barking Buffoon;High;M18032;X
90013;Head of State;Pavlos I;1947;1964;1999;SL;Die-hard Reformer;High;M18033;X
90014;Head of State;Georgios II;1933;1964;1999;SC;Insignificant Layman;High;2646;X
90015;Head of State;Archbishop Damaskinos;1941;1964;1999;SC;Barking Buffoon;High;M18032;X
90016;Head of State;Pavlos I;1947;1964;1999;SC;Die-hard Reformer;High;M18033;X
90017;Head of State;Georgios II;1933;1964;1999;FA;Insignificant Layman;High;2646;X
90018;Head of State;Archbishop Damaskinos;1941;1964;1999;PA;Barking Buffoon;High;M18032;X
90019;Head of State;Grigoriev Murnov;1941;1964;1999;NS;Weary Stiffneck;High;M18040;X
90020;Head of State;Mario Vercellino;1942;1964;1999;NS;Resigned Generalissimo;High;M18041;X
90021;Head of State;Reinhard Altenburg;1943;1964;1999;NS;Autocratic Charmer;High;M18042;X
90022;Head of State;Pavlos I;1947;1964;1999;PA;Die-hard Reformer;High;M18033;X
90023;Head of State;Giorgis Siantos;1933;1964;1999;ST;Popular Figurehead;High;M18021;X
90024;Head of State;Nikos Zahariadis;1944;1964;1999;ST;Autocratic Charmer;High;M18022;X
90025;Head of Government;Themistocles Sophoulis;1933;1964;1999;SL;Flamboyant Tough Guy;High;M18014;X
90026;Head of Government;Georgios Papandreou;1944;1964;1999;SL;Silent Workhorse;High;M18015;X
90027;Head of Government;Panagiolis Poulitsas;1946;1964;1999;SL;Smiling Oilman;High;M18048;X
90028;Head of Government;Ioannis Metaxas;1933;1964;1999;SC;Old General;High;M18049;X
90029;Head of Government;Alexandros Korizis;1941;1964;1999;SC;Political Protege;High;M18050;X
90030;Head of Government;Emmanouel Tsouderos;1941;1964;1999;SC;Happy Amateur;High;M18051;X
