U57;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1100001;Head of State;Fritz Kuhn;1933;1980;1980;FA;Barking Buffoon;High;M6011;X
1100002;Foreign Minister;Ezra Pound;1933;1973;1973;FA;Biased Intellectual;High;M6069;X
1100003;Foreign Minister;Lawrence Dennis;1930;1978;1978;FA;Ideological Crusader;High;M6071;X
1100004;Minister of Armament;Henry Ford;1928;1948;1948;PA;Administrative Genius;Very High;M6014;X
1100005;Minister of Armament;William F. Lemke;1944;1951;1951;PA;Theoretical Scientist;High;M6097;X
1100006;Minister of Security;Fritz Kuhn;1933;1980;1980;FA;Prince of Terror;Medium;M6011;X
1100007;Minister of Security;Dr. Samuel Green;1940;1950;1950;FA;Man of the People;Medium;M6054;X
1100008;Head of Military Intelligence;Dr. Hiram W. Evans;1933;1967;1967;FA;Political Specialist;High;M6132;X
1100009;Head of Military Intelligence;Dr. James A. Colescott;1940;1951;1951;FA;Political Specialist;High;M6016;X
1100010;Chief of Staff;Parker Sage;1933;1964;1964;FA;School of Defence;High;M6017;X
1100011;Chief of Army;George Van Horn Moseley;1932;1961;1961;NS;Armoured Spearhead Doctrine;High;9709;X
1100012;Chief of Navy;Dr. James A. Colescott;1933;1980;1980;NS;Open Seas Doctrine;High;M6016;X
1100013;Chief of Air Force;Charles Lindbergh;1924;1975;1975;FA;Air Superiority Doctrine;High;M6020;X
1100014;Chief of Air Force;Nathan B. Forrest III;1940;1944;1981;NS;Army Aviation Doctrine;High;M6173;X
1100015;Chief of Air Force;Martin J. Monti;1943;2001;2001;FA;Naval Aviation Doctrine;High;M6174;X
1100016;Head of Government;Fritz Kuhn;1933;1980;1980;FA;Naive Optimist;High;M6011;X
1100017;Foreign Minister;Francis Parker Yockey;1945;1961;1961;FA;Biased Intellectual;High;5908;X
1100018;Head of Military Intelligence;Francis Parker Yockey;1946;1961;1961;FA;Political Specialist;High;5908;X
1100019;Foreign Minister;William D. Pelley;1933;1966;1966;NS;Ideological Crusader;Medium;M6094;X
1100020;Minister of Security;William D. Pelley;1940;1966;1966;NS;Crooked Kleptocrat;Medium;M6094;X
1100021;Minister of Armament;Francis Townsend;1940;1961;1961;PA;Resource Industrialist;Very High;M6095;X
