ICL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
360001;Head of State;Sveinn Björnsson;1933;1964;1999;SL;Stern Imperialist;High;M581001;X
360002;Head of Government;Hermann Jonasson;1933;1964;1999;SL;Smiling Oilman;High;M581002;X
360003;Foreign Minister;Olafur Thors;1933;1964;1999;ML;Ideological Crusader;High;M581003;X
360004;Minister of Armament;Einar Thordarsson;1933;1964;1999;SL;Infantry Proponent;Medium;M581004;X
360005;Minister of Security;Knud Dyby;1933;1964;1999;SL;Crime Fighter;Medium;M581005;X
360006;Head of Military Intelligence;Stefan J. Stefansson;1933;1964;1999;SL;Political Specialist;Medium;M581006;X
360007;Chief of Staff;Thorkil Sonne;1933;1964;1999;SL;School of Defence;Medium;M581007;X
360008;Chief of Army;Walter Ulrich;1933;1964;1999;SL;Guns and Butter Doctrine;Medium;M581008;X
360009;Chief of Navy;Ingvar Palmasson;1933;1964;1999;SL;Indirect Approach Doctrine;Medium;M581009;X
360010;Chief of Air Force;Jakob R.V. Møller;1933;1964;1999;SL;Air Superiority Doctrine;Medium;M581010;X
360011;Foreign Minister;Stefan J. Stefansson;1942;1964;1999;SD;Great Compromiser;High;M581006;X
360012;Minister of Armament;Ingvar Palmasson;1942;1964;1999;ML;Submarine Proponent;Medium;M581009;X
360013;Minister of Security;Jakob R.V. Møller;1942;1964;1999;SL;Man of the People;Medium;M581010;X
360014;Head of Military Intelligence;Jørgen F.T. Lolle;1942;1964;1999;SL;Naval Intelligence Specialist;Medium;M581014;X
360015;Chief of Staff;August Arendrup;1942;1964;1999;SL;School of Mass Combat;Medium;M581015;X
360016;Chief of Army;Kai Hammerich;1942;1964;1999;SL;Decisive Battle Doctrine;Medium;M581016;X
360017;Chief of Navy;Paul Ipsen;1942;1964;1999;SL;Open Seas Doctrine;Medium;M581017;X
360018;Chief of Air Force;Asger E.V. Grandjean;1942;1964;1999;SL;Naval Aviation Doctrine;Medium;M581018;X
360019;Head of State;Asgeir Asgeirsson;1952;1964;1999;SL;Pig-headed Isolationist;High;M581019;X
360020;Head of Government;Olafur Thors;1942;1964;1999;ML;Flamboyant Tough Guy;High;M581003;X
360021;Foreign Minister;Vilhjalmur Thor;1942;1964;1999;SL;Apologetic Clerk;High;M581021;X
360022;Head of Government;Stefan J. Stefansson;1944;1964;1999;SD;Ambitious Union Boss;High;M581006;X
360023;Minister of Armament;Petur Magnusson;1944;1964;1999;ML;Submarine Proponent;Medium;M581023;X
360024;Minister of Security;Finnur Jönsson;1944;1964;1999;ML;Back Stabber;Medium;M581024;X
360025;Head of Military Intelligence;Ingvar Palmasson;1944;1964;1999;SL;Naval Intelligence Specialist;Medium;M581009;X
360026;Foreign Minister;Bjarni Benediktsson;1947;1964;1999;SD;Great Compromiser;High;M581026;X
360027;Minister of Armament;Johann Th. Josefsson;1947;1964;1999;SD;Military Entrepreneur;Medium;M581027;X
360028;Minister of Security;Bjarni Benediktsson;1947;1964;1999;SD;Compassionate Gentleman;Medium;M581026;X
360029;Minister of Armament;Björn Olofsson;1949;1964;1999;ML;Battle Fleet Proponent;Medium;M581029;X
360030;Head of Military Intelligence;Steingrimur Steinthorsson;1949;1964;1999;SD;Industrial Specialist;Medium;M581030;X
360031;Head of Government;Steingrimur Steinthorsson;1950;1964;1999;SD;Silent Workhorse;High;M581030;X
360032;Minister of Armament;Eysteinn Jönsson;1950;1964;1999;SD;Administrative Genius;Medium;M581032;X
360033;Foreign Minister;Gudmundur Gudmundsson;1953;1964;1999;ML;The Cloak N Dagger Schemer;High;M581033;X
360034;Minister of Security;Einar Arnorsson;1953;1964;1999;ML;Crime Fighter;Medium;M581034;X
