URU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
195001;Head of State;Gabriel Terra;1931;1964;1999;PA;Powerhungry Demagogue;High;M41001;X
195002;Head of Government;Gabriel Terra;1931;1964;1999;PA;Smiling Oilman;High;M41001;X
195003;Foreign Minister;José Espalter;1933;1964;1999;PA;Iron Fisted Brute;Medium;M41003;X
195004;Minister of Armament;Alfredo Baldomir;1933;1964;1999;PA;Military Entrepreneur;Medium;M41004;X
195005;Minister of Security;Heinz Glockenberger;1933;1964;1999;PA;Prince of Terror;Medium;M41005;X
195006;Head of Military Intelligence;Cristiano Piraguy Trellés;1933;1964;1999;PA;Logistics Specialist;Medium;M41006;X
195007;Chief of Staff;Manuel Heinz Azpurua;1933;1964;1999;PA;School of Fire Support;Medium;M41007;X
195008;Chief of Army;Jorge Elio Mendoza;1933;1964;1999;PA;Static Defence Doctrine;Medium;M41008;X
195009;Chief of Navy;Carlos Jackson Urribé;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M41009;X
195010;Chief of Air Force;Cosme Alvaréz Berisso;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M41010;X
195011;Head of State;Alfredo Baldomir;1938;1964;1999;SC;Resigned Generalissimo;High;M41004;X
195012;Head of State;A. Dres Gustavo;1938;1964;1999;SD;Insignificant Layman;High;M41032;X
195013;Head of State;Juan de Amezaga;1943;1964;1999;ML;Benevolent Gentleman;High;M41033;X
195014;Head of State;Baltasar Brun;1943;1964;1999;SD;Weary Stiffneck;High;M41034;X
195015;Head of State;Tomas Beretta Gandolfo;1947;1964;1999;SL;Die-hard Reformer;High;M41035;X
195016;Head of State;Luis Conrado Batlle Beres;1947;1964;1999;LWR;Popular Figurehead;High;M41036;X
195017;Head of Government;Alfredo Baldomir;1938;1964;1999;SC;Old General;High;M41004;X
195018;Head of Government;A. Dres Gustavo;1938;1964;1999;SD;Happy Amateur;High;M41032;X
195019;Head of Government;Juan de Amezaga;1943;1964;1999;ML;Corporate Suit;High;M41033;X
195020;Head of Government;Baltasar Brun;1943;1964;1999;SD;Old Admiral;High;M41034;X
195021;Head of Government;Tomas Beretta Gandolfo;1947;1964;1999;SL;Flamboyant Tough Guy;High;M41035;X
195022;Head of Government;Luis Conrado Batlle Beres;1947;1964;1999;LWR;Naive Optimist;High;M41036;X
195023;Foreign Minister;Alberto Guani;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M41043;X
195024;Foreign Minister;Baltasar Brun;1938;1964;1999;SD;Biased Intellectual;Medium;M41034;X
195025;Foreign Minister;Hector Alberto Gerona;1943;1964;1999;ML;Iron Fisted Brute;Medium;M41045;X
195026;Foreign Minister;Washington Beltran;1943;1964;1999;SD;Ideological Crusader;Medium;M41046;X
195027;Foreign Minister;José Serrato;1947;1964;1999;SL;Apologetic Clerk;Medium;M41047;X
195028;Foreign Minister;Eduardo Rodriguez Larreta;1947;1964;1999;SD;Great Compromiser;Medium;M41048;X
195029;Foreign Minister;Emilio Frugoni;1947;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;M41021;X
