BRU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
335001;Head of State;H.H. Paduka Ahmad Muhammed;1933;1964;1999;SC;Autocratic Charmer;High;M567001;X
335002;Head of Government;Sir Paul Armstrong;1933;1964;1999;SC;Corporate Suit;High;M567002;X
335003;Foreign Minister;Hubert Oggleton;1933;1964;1999;SC;Iron Fisted Brute;Very High;M567003;X
335004;Minister of Armament;Nawanagar Ranjit;1933;1964;1999;SC;Infantry Proponent;Very High;M567004;X
335005;Minister of Security;David H. Crowther;1933;1964;1999;SC;Silent Lawyer;Very High;M567005;X
335006;Head of Military Intelligence;Simon Jenkinson;1933;1964;1999;SC;Dismal Enigma;Very High;M567006;X
335007;Chief of Staff;H.R.H. Omar Ali Salif;1933;1964;1999;SC;School of Psychology;Very High;M567007;X
335008;Chief of Army;H.L. Henderson;1933;1964;1999;SC;Decisive Battle Doctrine;Very High;M567008;X
335009;Chief of Navy;R.M.C. Arant;1933;1964;1999;SC;Indirect Approach Doctrine;Very High;M567009;X
335010;Chief of Air Force;H.H. Down;1933;1964;1999;SC;Air Superiority Doctrine;Very High;M567010;X
335011;Head of State;H.H. Vijayasinhji of Rajpipla;1933;1964;1999;FA;Popular Figurehead;High;M567011;X
335012;Head of Government;Mohammed Tuttu;1933;1964;1999;FA;Political Protege;High;M567012;X
335013;Foreign Minister;Sior Kala Noodai;1933;1964;1999;FA;Ideological Crusader;Very High;M567013;X
335014;Foreign Minister;Ahmad Kamarul;1945;1964;1999;SC;General Staffer;Very High;M567014;X
335015;Minister of Armament;Aly Enyang;1933;1964;1999;FA;Air to Ground Proponent;Very High;M567015;X
335016;Minister of Armament;Paduka Haj Ali;1942;1964;1999;SC;laissez-faire capitalist;Very High;M567016;X
335017;Minister of Security;Sachin Ibrahim Yakut;1933;1964;1999;FA;Man of the People;Very High;M567017;X
335018;Minister of Security;Abdallah Razik;1945;1964;1999;SC;Prince of Terror;Very High;M567018;X
335019;Head of Military Intelligence;Puduk Martanda;1933;1964;1999;FA;Industrial Specialist;Very High;M567019;X
335020;Head of Military Intelligence;Nabil Masyhur;1943;1964;1999;SC;Logistics Specialist;Very High;M567020;X
335021;Chief of Staff;Ishmael Taranagoor;1933;1964;1999;FA;School of Defence;Very High;M567021;X
335022;Chief of Staff;Abdullah Rattak;1944;1964;1999;SC;School of Mass Combat;Very High;M567022;X
335023;Chief of Army;Rama Varma VI;1933;1964;1999;FA;Static Defence Doctrine;Very High;M567023;X
335024;Chief of Army;H.R.H. Omar Ali Salif;1944;1964;1999;SC;Armoured Spearhead Doctrine;Very High;M567007;X
335025;Chief of Navy;Rama Varma VI;1933;1964;1999;FA;Base Control Doctrine;Very High;M567023;X
335026;Chief of Navy;Dewanagar Singh;1944;1964;1999;SC;Open Seas Doctrine;Very High;M567026;X
335027;Chief of Air Force;Ishmael Taranagoor;1933;1964;1999;FA;Vertical Envelopment Doctrine;Very High;M567021;X
335028;Chief of Air Force;C.S. Oddie;1941;1964;1999;SC;Naval Aviation Doctrine;Very High;M567028;X
335029;Chief of Air Force;Donald Emck;1945;1964;1999;SC;Army Aviation Doctrine;Very High;M567029;X
335030;Head of State;Omar Ali Khairi;1950;1964;1999;SC;Benevolent Gentleman;High;M567030;X
335031;Head of Government;Omar Ali Khairi;1947;1964;1999;SC;Smiling Oilman;High;M567030;X
