EGY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
340001;Head of State;Fuad I;1933;1964;1999;SC;Autocratic Charmer;High;M512001;X
340002;Head of Government;Ali Mahir Pasha;1933;1964;1999;SC;Silent Workhorse;High;M512002;X
340003;Foreign Minister;Ali Mahir Pasha;1933;1964;1999;SC;Great Compromiser;High;M512002;X
340004;Minister of Armament;Mohammed al Fransawi;1933;1964;1999;SC;Battle Fleet Proponent;Medium;M512004;X
340005;Minister of Security;Mustafa an-Nahhas Pasha;1933;1964;1999;SC;Silent Lawyer;Medium;M512005;X
340006;Head of Military Intelligence;Mohammed Hilmi Issa;1933;1964;1999;SC;Dismal Enigma;Medium;M512006;X
340007;Chief of Staff;Hassan Sabry Pasha;1933;1964;1999;SC;School of Defence;Medium;M512007;X
340008;Chief of Army;Hassan Sabry Pasha;1933;1964;1999;SC;Static Defence Doctrine;Medium;M512007;X
340009;Chief of Navy;Abdallah Ziwar Pasha;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M512009;X
340010;Chief of Air Force;Fuad I;1933;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M512010;X
340011;Head of State;Faruq I;1933;1964;1999;SC;Insignificant Layman;High;M512011;X
340012;Head of State;Faruq I;1933;1964;1999;SL;Pig-headed Isolationist;High;M512011;X
340013;Head of State;Aga I Khan;1945;1964;1999;SD;Benevolent Gentleman;High;M512013;X
340014;Head of Government;Mustafa an-Nahhas Pasha;1933;1964;1999;SC;Flamboyant Tough Guy;High;M512005;X
340015;Head of Government;Hassan Sabry Pasha;1940;1964;1999;SC;Old General;High;M512007;X
340016;Head of Government;Mahmoud an Nukraishi Pasha;1940;1964;1999;SC;Backroom Backstabber;High;M512016;X
340017;Head of Government;Muhammad Mahmoud Pasha;1933;1964;1999;ML;Happy Amateur;High;M512017;X
340018;Head of Government;Ali Mahir Pasha;1939;1964;1999;ML;Smiling Oilman;High;M512002;X
340019;Head of Government;Hassan Sirry Pasha;1940;1964;1999;ML;Political Protege;High;M512019;X
340020;Head of Government;Mahmoud an Nukraishi Pasha;1945;1964;1999;ML;Silent Workhorse;High;M512016;X
340021;Head of Government;Ismail Sidqi Pasha;1946;1964;1999;ML;Naive Optimist;High;M512021;X
340022;Head of Government;Abdelhamid Badawi Pasha;1933;1964;1999;SL;Ambitious Union Boss;High;M512022;X
340023;Head of Government;Wasef Boutros Ghali;1938;1964;1999;SL;Political Protege;High;M512023;X
340024;Head of Government;Mustafa an-Nahhas Pasha;1942;1964;1999;SL;Backroom Backstabber;High;M512005;X
340025;Head of Government;Ali Mahir Pasha;1945;1964;1999;SL;Naive Optimist;High;M512025;X
340026;Head of Government;Abdallah Ziwar Pasha;1933;1964;1999;SD;Old Admiral;High;M512009;X
340027;Head of Government;Aly Chamsy Pasha;1940;1964;1999;SD;Corporate Suit;High;M512027;X
340028;Foreign Minister;Wasef Boutros Ghali;1933;1964;1999;SC;The Cloak N Dagger Schemer;High;M512023;X
340029;Foreign Minister;Abdelfattah Yahya Pasha;1937;1964;1999;SC;Apologetic Clerk;High;M512029;X
340030;Foreign Minister;Hassan Sabry Pasha;1939;1964;1999;SC;General Staffer;High;M512007;X
340031;Foreign Minister;Salib Sami Bey;1940;1964;1999;SC;Iron Fisted Brute;High;M512031;X
340032;Foreign Minister;Muhammad Mahmoud Pasha;1945;1964;1999;SC;Biased Intellectual;High;M512017;X
340033;Foreign Minister;Ibrahim Abdel Hadi;1946;1964;1999;SC;The Cloak N Dagger Schemer;High;M512033;X
340034;Foreign Minister;Ahmed Khashaba Pasha;1947;1964;1999;SC;Apologetic Clerk;High;M512034;X
340035;Foreign Minister;Abdullah Nahawi;1933;1964;1999;ML;Biased Intellectual;High;M512035;X
340036;Foreign Minister;Hassan Sirry Pasha;1940;1964;1999;ML;Great Compromiser;High;M512019;X
340037;Foreign Minister;Mahmoud an Nukraishi Pasha;1944;1964;1999;ML;Apologetic Clerk;High;M512016;X
