U67;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;;;x
1150001;Head of State;Zhang Zuolin;1914;1964;1964;PA;resigned generalissimo;High;7282;x
1150002;Head of Government;Zhang Zuolin;1914;1964;1964;PA;old general;High;7282;x
1150003;Foreign Minister;Wang Yongjiang;1914;1964;1964;PA;Biased Intellectual;Very High;3532;x
1150004;Minister of Armament;Wang Yongjiang;1914;1964;1964;PA;Keynesian economy;High;3532;x
1150005;Minister of Security;Zhang Zongchang;1914;1964;1964;PA;prince of terror;Very High;7283;x
1150006;Head of Military Intelligence;Guo Songling;1914;1964;1964;PA;logistics specialist;Very High;7284;x
1150007;Chief of Staff;Zhang Zuolin;1914;1964;1964;PA;School of Defence;Undying;7282;x
1150008;Chief of Army;Zhang Jinghui;1914;1964;1964;PA;Decisive Battle Doctrine;Low;7285;x
1150009;Chief of Navy;Under Army Command;1914;1964;1964;PA;decisive naval battle doctrine;Very High;unknownminister;x
1150010;Chief of Air Force;Zhang Xueliang;1914;1964;1964;PA;army aviation doctrine;Very High;7286;x
