U63;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
1130001;Head of State;Bohdan Pavlu;1914;1933;1999;SD;benevolent gentleman;Medium;9062;X
1130002;Head of Government;Josef Pateijdl;1914;1933;1999;SD;silent workhorse;Medium;unknownminister;X
1130003;Foreign Minister;Vladimir Kletsanda;1914;1933;1999;SD;iron fisted brute;Medium;unknownminister;X
1130004;Foreign Minister;Matej Nemec;1914;1933;1999;SD;general staffer;Medium;unknownminister;X
1130005;Minister of Armament;Frantisek Sip;1914;1933;1999;SD;infantry proponent;Medium;unknownminister;X
1130006;Minister of Armament;Jaroslav Kral;1914;1933;1999;SD;Steel magnate;Medium;unknownminister;X
1130007;Minister of Armament;Rudolf Medek;1914;1933;1999;SD;military entrepreneur;Medium;9069;X
1130008;Minister of Security;Viktor Svoboda;1914;1933;1999;SD;compassionate gentleman;Medium;unknownminister;X
1130009;Chief of Staff;Mikhail Diterikhs;1914;1933;1999;SD;school of manoeuvre;Medium;8898;X
1130010;Chief of Staff;Bohuslav Vseticka;1914;1933;1999;SD;school of defence;Medium;9093;X
1130011;Chief of Army;Jan Syrovy;1914;1933;1999;SD;armoured spearhead doctrine;Medium;9064;X
