CAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
220001;Head of State;Sir John Buchan;1933;1964;1999;ML;Benevolent Gentleman;High;M45001;X
220002;Head of Government;Mackenzie King;1933;1964;1999;ML;Flamboyant Tough Guy;High;M45002;X
220003;Foreign Minister;Mackenzie King;1933;1964;1999;ML;Great Compromiser;Undying;M45002;X
220004;Minister of Armament;Ian A. Mackenzie;1933;1964;1999;ML;Administrative Genius;High;M45004;X
220005;Minister of Security;Ernest Lapointe;1933;1964;1999;ML;Crime Fighter;Very High;M45005;X
220006;Head of Military Intelligence;Henry Crerar;1933;1964;1999;ML;Technical Specialist;High;M45006;X
220007;Chief of Staff;Ernest Ashton;1933;1964;1999;ML;School of Fire Support;Very High;M45007;X
220008;Chief of Army;Ernest Ashton;1933;1964;1999;ML;Guns and Butter Doctrine;Very High;M45007;X
220009;Chief of Navy;Percy Nelles;1933;1964;1999;ML;Open Seas Doctrine;Very High;M45009;X
220010;Chief of Air Force;George Croil;1933;1964;1999;ML;Carpet Bombing Doctrine;Very High;M45010;X
220011;Head of State;Adrien Arcand;1933;1964;1999;FA;Barking Buffoon;High;M45011;X
220012;Head of State;Tim Buck;1933;1964;1999;ST;Insignificant Layman;High;M45021;X
220013;Head of Government;R.B. Bennett;1933;1964;1999;SC;Silent Workhorse;High;M45036;X
220014;Head of Government;Robert Manion;1940;1964;1999;SC;Naive Optimist;High;M45037;X
220015;Head of Government;John Bracken;1944;1964;1999;SC;Smiling Oilman;High;M45038;X
220016;Head of Government;Adrien Arcand;1933;1964;1999;FA;Happy Amateur;High;M45011;X
220017;Head of Government;Tim Buck;1933;1964;1999;ST;Ambitious Union Boss;High;M45021;X
220018;Foreign Minister;Louis St-Laurent;1946;1964;1999;ML;General Staffer;High;M45042;X
220019;Foreign Minister;R.B. Bennett;1933;1964;1999;SC;Iron Fisted Brute;Undying;M45036;X
220020;Foreign Minister;Newton Wesley Rowell;1938;1964;1999;SC;Ideological Crusader;High;M45044;X
220021;Foreign Minister;Robert Manion;1940;1964;1999;SC;Apologetic Clerk;Undying;M45037;X
220022;Foreign Minister;John Bracken;1944;1964;1999;SC;Biased Intellectual;Undying;M45038;X
220023;Foreign Minister;Adrien Arcand;1933;1964;1999;FA;Ideological Crusader;Low;M45011;X
220024;Foreign Minister;Andrew Greene Carnell;1944;1964;1999;PA;Iron Fisted Brute;Medium;M45016;X
