CHL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
210001;Head of State;Arturo Alessandri Palma;1933;1964;1999;SL;Stern Imperialist;High;M44001;X
210002;Head of Government;Gustavo Ross Santa Maria;1933;1964;1999;SL;Naive Optimist;High;M44002;X
210003;Foreign Minister;Miguel Cruchaga Tacomal;1933;1964;1999;SL;Iron Fisted Brute;Medium;M44003;X
210004;Minister of Armament;Eduardo Hillman;1933;1964;1999;SL;Resource Industrialist;High;M44004;X
210005;Minister of Security;Arturo Alessandri Palma;1933;1964;1999;SL;Compassionate Gentleman;Medium;M44001;X
210006;Head of Military Intelligence;Julio Allard Pinto;1933;1964;1999;SL;Naval Intelligence Specialist;Medium;M44006;X
210007;Chief of Staff;Carlos Jouanne de la Motte;1927;1946;1946;SL;School of Fire Support;Medium;M44007;X
210008;Chief of Army;E. Novoa Fuentes;1933;1964;1999;SL;Static Defence Doctrine;Medium;M44008;X
210009;Chief of Navy;Carlos Jouanne de la Motte;1927;1946;1946;SL;Open Seas Doctrine;Medium;M44007;X
210010;Chief of Air Force;Dario Mujica Gamboa;1933;1964;1999;SL;Air Superiority Doctrine;Medium;M44010;X
210011;Head of State;Pedro Aguirre Cerda;1938;1964;1999;SD;Benevolent Gentleman;High;M44031;X
210012;Head of State;Antonio J. Rios Morales;1942;1964;1999;SD;Weary Stiffneck;High;M44032;X
210013;Head of State;Gabriel Gonzalez Videla;1946;1964;1999;SD;Popular Figurehead;High;M44033;X
210014;Head of State;Carlos Ibanez del Campo;1946;1964;1999;SC;Resigned Generalissimo;High;M44035;X
210015;Head of State;Carlos Ibanez del Campo;1942;1964;1999;PA;Resigned Generalissimo;High;M44035;X
210016;Head of State;J.G. von Mareés;1938;1964;1999;FA;Autocratic Charmer;High;M44011;X
210017;Head of State;Marmaduke Grove;1938;1964;1999;LE;Barking Buffoon;High;M44021;X
210018;Head of State;Salvador Allende;1945;1964;1999;LWR;Die-hard Reformer;High;M44039;X
210019;Head of Government;Pedro Aguirre Cerda;1938;1964;1999;SD;Political Protege;High;M44031;X
210020;Head of Government;Antonio J. Rios Morales;1942;1964;1999;SD;Flamboyant Tough Guy;High;M44032;X
210021;Head of Government;Gabriel Gonzalez Videla;1946;1964;1999;SD;Backroom Backstabber;High;M44033;X
210022;Head of Government;Arturo Alessandri Palma;1937;1964;1999;SL;Smiling Oilman;High;M44001;X
210023;Head of Government;Gustavo Ross Santa Maria;1938;1964;1999;SC;Naive Optimist;High;M44002;X
210024;Head of Government;Manuel Mora Miranda;1942;1964;1999;SC;Happy Amateur;High;M44045;X
210025;Head of Government;Carlos Ibanez del Campo;1942;1964;1999;PA;Old General;High;M44035;X
210026;Head of Government;Misael Galleguillos;1938;1964;1999;FA;Ambitious Union Boss;High;M44012;X
210027;Head of Government;C.L. Blest Riffo;1938;1964;1999;LE;Old Admiral;High;M44022;X
210028;Head of Government;Marmaduke Grove;1942;1964;1999;LE;old airmarshal;High;M44021;X
210029;Head of Government;Salvador Allende;1945;1964;1999;LWR;Naive Optimist;High;M44039;X
210030;Foreign Minister;Abraham Ortega Aguayo;1938;1964;1999;SD;Iron Fisted Brute;Medium;M44051;X
210031;Foreign Minister;Cristobál Saénz Cerda;1940;1964;1999;SD;Apologetic Clerk;Medium;M44052;X
210032;Foreign Minister;Manuel Mora Miranda;1940;1964;1999;SD;Great Compromiser;Medium;M44045;X
210033;Foreign Minister;Manuel Bianchi Gúndian;1940;1964;1999;SD;Iron Fisted Brute;Medium;M44054;X
210034;Foreign Minister;Luis Alamos Barros;1941;1964;1999;SD;Ideological Crusader;High;M44055;X
210035;Foreign Minister;Ernesto Barras Jarpa;1942;1964;1999;SD;General Staffer;Medium;M44056;X
210036;Foreign Minister;J. Fernandez y Fernandéz;1942;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M44057;X
210037;Foreign Minister;Raúl Juliet Gómez;1945;1964;1999;SD;Apologetic Clerk;Medium;M44058;X
210038;Foreign Minister;J.R.Guiterréz Allende;1938;1964;1999;SL;Biased Intellectual;High;M44059;X
210039;Foreign Minister;Luis Arteaga Garcia;1938;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M44023;X
210040;Foreign Minister;Miguel Cruchaga Tacomal;1942;1964;1999;PA;Iron Fisted Brute;Medium;M44003;X
