MOZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
705001;Head of State;José Pereira Cabral;1933;1964;1999;PA;Resigned Generalissimo;High;M569001;X
705002;Head of Government;José Nunes de Oliveira;1933;1964;1999;PA;old airmarshal;High;M569002;X
705003;Foreign Minister;Louis de Sousa é Vasconcelos;1933;1964;1999;PA;General Staffer;High;M569003;X
705004;Minister of Armament;Augusto Nunes Diaz;1933;1964;1999;PA;Military Entrepreneur;Medium;M569004;X
705005;Minister of Security;Joao Tristao de Bettencourt;1933;1964;1999;PA;Prince of Terror;Medium;M569005;X
705006;Head of Military Intelligence;Antonio Conceicao Neves;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M569006;X
705007;Chief of Staff;Louis de Sousa é Vasconcelos;1933;1964;1999;PA;School of Psychology;Medium;M569003;X
705008;Chief of Army;Joao Martins de Carvalho;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M569008;X
705009;Chief of Navy;Tomas Garcia Rosado;1933;1964;1999;PA;Power Projection Doctrine;Medium;M569009;X
705010;Chief of Air Force;José de Sá Aruajo;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M569010;X
705011;Head of State;Henrique Nunes Garcia;1933;1964;1999;SL;Benevolent Gentleman;High;M569011;X
705012;Head of State;Sebastiao Cabral Funchal;1933;1964;1999;LWR;Powerhungry Demagogue;High;M569012;X
705013;Head of Government;José Zaluar Nunes;1933;1964;1999;SL;Political Protege;High;M569013;X
705014;Head of Government;José Barollo Rodrigues;1933;1964;1999;LWR;Naive Optimist;High;M569014;X
705015;Foreign Minister;Joao Reis é Canto;1933;1964;1999;SL;Ideological Crusader;High;M569015;X
705016;Foreign Minister;Maria Estella de Bettencourt;1933;1964;1999;LWR;Biased Intellectual;High;M569016;X
705017;Minister of Armament;Adolfo Camaraquintinga;1933;1964;1999;SL;laissez-faire capitalist;Medium;M569017;X
705018;Minister of Armament;Paulo Inacio;1933;1964;1999;LWR;Infantry Proponent;Medium;M569018;X
705019;Minister of Security;Luis Pereira Gomes;1933;1964;1999;SL;Compassionate Gentleman;Medium;M569019;X
705020;Minister of Security;Leonardo Santos Simao;1933;1964;1999;LWR;Crime Fighter;Medium;M569020;X
705021;Head of Military Intelligence;Joao Kaulza de Arriaga;1944;1964;1999;PA;Logistics Specialist;Medium;M569021;X
705022;Head of Military Intelligence;Joao Silva Nunes;1933;1964;1999;SL;Technical Specialist;Medium;M569022;X
705023;Head of Military Intelligence;Carlos dos Santos;1933;1964;1999;LWR;Industrial Specialist;Medium;M569023;X
705024;Chief of Staff;Artur Ivens Ferraz;1942;1964;1999;PA;School of Mass Combat;Medium;M569024;X
705025;Chief of Staff;Jose Lobato Guerra;1933;1964;1999;SL;School of Fire Support;Medium;M569025;X
705026;Chief of Staff;Federico da Costa Lopes da Silva;1933;1964;1999;LWR;School of Manoeuvre;Medium;M569026;X
705027;Chief of Army;Jose de Barros Rodrigues;1942;1964;1999;PA;Elastic Defence Doctrine;Medium;M569027;X
705028;Chief of Army;Antonio Taveira Pereira;1933;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M569028;X
705029;Chief of Army;Patricio Nunes Gomes;1933;1964;1999;LWR;Decisive Battle Doctrine;Medium;M569029;X
705030;Chief of Navy;Antonio Rodrigues Ribeiro;1933;1964;1999;SL;Indirect Approach Doctrine;Medium;M569030;X
705031;Chief of Navy;Cesare Ponjo;1933;1964;1999;LWR;Open Seas Doctrine;Medium;M569031;X
705032;Chief of Air Force;Antonio Val-Covo;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;M569032;X
705033;Chief of Air Force;Oliva Nuno Tomas;1933;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M569033;X
