U62;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1125001;Head of State;Grigory Semenov;1914;1947;1976;PA;ruthless powermonger;Medium;9599;X
1125002;Head of Government;Sergei Afanasevich Taskin;1914;1953;1962;PA;silent workhorse;Medium;9600;X
1125003;Foreign Minister;Semen Zhevchenko;1914;1999;1999;PA;general staffer;Medium;unknownminister;X
1125004;Minister of Armament;Vasily Burikov;1914;1999;1999;PA;military entrepreneur;Medium;9601;X
1125005;Minister of Armament;Dmitri Horvath;1914;1999;1999;PA;infantry proponent;Medium;8880;X
1125006;Minister of Armament;Ivan Shilnikov;1914;1999;1999;PA;laissez-faire capitalist;Medium;9602;X
1125007;Minister of Security;Aleksandr Kamennov;1914;1935;1955;PA;crime fighter;Medium;unknownminister;X
1125008;Minister of Security;Stepanov;1914;1999;1999;PA;efficient sociopath;Medium;unknownminister;X
1125009;Head of Military Intelligence;Yugolewski;1914;1999;1999;PA;logistics specialist;Medium;9603;X
1125010;Chief of Staff;Petr Vasiliev;1914;1942;1951;PA;school of defence;Medium;9604;X
1125011;Chief of Staff;Nikolai Evseev;1914;1999;1999;PA;school of manoeuvre;Medium;unknownminister;X
1125012;Chief of Staff;Nikolai Natsvalov;1914;1999;1999;PA;school of fire support;Medium;9605;X
1125013;Chief of Staff;Mikhail Pleshkov;1914;1928;1942;PA;school of manoeuvre;Medium;5086;X
1125014;Chief of Army;Grigory Semenov;1914;1947;1976;PA;guns and butter doctrine;Medium;9599;X
1125015;Chief of Army;Mikhail Pleshkov;1914;1928;1942;PA;decisive battle doctrine;Medium;5086;X
1125016;Chief of Army;Sergei Nikonov;1914;1999;1999;PA;static defence doctrine;Medium;4968;X
1125017;Chief of Navy;Oskar Stark;1914;1929;1999;PA;decisive naval battle doctrine;Medium;9606;X
