HON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
355001;Head of State;Tiburcio Carias Andina;1933;1964;1999;PA;Popular Figurehead;High;M79001;X
355002;Head of Government;Carlos Alberto Ucles;1933;1964;1999;PA;Silent Workhorse;High;M79002;X
355003;Foreign Minister;Tiburcio Carias Andina;1933;1964;1999;PA;Iron Fisted Brute;Very High;M79001;X
355004;Minister of Armament;Roberto Michelleti Bain;1933;1964;1999;SC;laissez-faire capitalist;Medium;M79004;X
355005;Minister of Security;Carlos Alberto Ucles;1933;1964;1999;PA;Silent Lawyer;Medium;M79002;X
355006;Head of Military Intelligence;Raimundo Stochler Garcia;1933;1964;1999;PA;Logistics Specialist;Medium;M79006;X
355007;Chief of Staff;Tiburcio Carias Andina;1933;1964;1999;PA;School of Psychology;Very High;M79001;X
355008;Chief of Army;Raimundo Stochler Garcia;1933;1964;1999;PA;Static Defence Doctrine;Medium;M79006;X
355009;Chief of Navy;Carlos Vaupel Comeza;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M79009;X
355010;Chief of Air Force;Gustavo Schmidt;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M79010;X
355011;Head of State;Tiburcio Carias Andina;1937;1964;1999;SC;Popular Figurehead;High;M79001;X
355012;Head of State;José Zuñiga Huete;1937;1964;1999;SL;Barking Buffoon;High;M79032;X
355013;Head of State;Juan B. Valladares;1939;1964;1999;SL;Insignificant Layman;High;M79011;X
355014;Head of State;Raul Sanchez Banados;1937;1964;1999;LWR;Autocratic Charmer;High;M79021;X
355015;Head of State;Orlando Rodriguez Jimino;1945;1964;1999;SD;Die-hard Reformer;High;M79036;X
355016;Head of Government;Carlos Alberto Ucles;1937;1964;1999;SC;Silent Workhorse;High;M79002;X
355017;Head of Government;Tiburcio Carias Andina;1941;1964;1999;SC;Old General;High;M79001;X
355018;Head of Government;Abraham Williams Calderon;1943;1964;1999;SC;Political Protege;High;M79039;X
355019;Head of Government;Juan Manuel Galvez;1945;1964;1999;SC;Old General;High;M79017;X
355020;Head of Government;Juan B. Valladares;1937;1964;1999;SL;Smiling Oilman;High;M79011;X
355021;Head of Government;Julio Lozano Díaz;1945;1964;1999;SL;Ambitious Union Boss;High;M79042;X
355022;Head of Government;Hernan Fernandez Silva;1937;1964;1999;LWR;Silent Workhorse;High;M79043;X
355023;Head of Government;Juan Codigo Ramirez;1941;1964;1999;LWR;Happy Amateur;High;M79022;X
355024;Head of Government;Francisco S. Tapio Toro;1945;1964;1999;SD;Flamboyant Tough Guy;High;M79045;X
355025;Foreign Minister;Laureano Laínez Espinoza;1937;1964;1999;SC;Great Compromiser;High;M79046;X
355026;Foreign Minister;Julio Lozano Díaz;1937;1964;1999;SC;Ideological Crusader;High;M79042;X
355027;Foreign Minister;Salvador Aguirre;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M79048;X
355028;Foreign Minister;Silverio Laínez Villamin;1944;1964;1999;SC;Apologetic Clerk;Medium;M79049;X
355029;Foreign Minister;Juan Manuel Galvez;1946;1964;1999;SC;General Staffer;Medium;M79017;X
355030;Foreign Minister;Salvador Aguirre Osana;1937;1964;1999;SL;The Cloak N Dagger Schemer;High;M79051;X
355031;Foreign Minister;Roberto Michelleti Bain;1945;1964;1999;SL;Great Compromiser;Medium;M79004;X
