U48;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1055001;Head of State;Oskar von Niedermayer;1933;1964;1999;NS;Reichskommissar;Very High;8545;X
1055002;Head of Government;Veli Kajum-Khan;1933;1964;1999;NS;Local tyrant;Very High;8546;X
1055003;Foreign Minister;Baymirza Hayit;1933;1964;1999;NS;Biased Intellectual;Very High;8547;X
1055004;Minister of Armament;Veli Kajum-Khan;1933;1964;1999;NS;Infantry Proponent;Medium;8546;X
1055005;Minister of Security;Baymirza Hayit;1933;1964;1999;NS;Media magnate;Very High;8547;X
1055006;Head of Military Intelligence;Oskar von Niedermayer;1933;1964;1999;NS;Logistics Specialist;Very High;8545;X
1055007;Chief of Staff;Oskar von Niedermayer;1933;1964;1999;NS;School of Defence;Very High;8545;X
1055008;Chief of Army;Oskar von Niedermayer;1933;1964;1999;NS;Static Defence Doctrine;Very High;8545;X
1055009;Chief of Navy;Erich Raeder;1933;1964;1999;NS;Decisive Naval Battle Doctrine;High;2642;X
1055010;Chief of Air Force;Hermann Göring;1933;1964;1999;NS;The Iron Knight;Very High;2643;X
