IND;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
250001;Head of State;Rajendra Prasad;1947;1964;1999;SD;Weary Stiffneck;High;M59031;X
250002;Head of Government;Mahatma Mohandas Gandhi;1933;1964;1999;SD;Naive Optimist;High;M59037;X
250003;Foreign Minister;Subhas Chandra Bose;1933;1964;1999;LWR;The Cloak N Dagger Schemer;High;M59011;X
250004;Minister of Armament;Sardar Vallabhbhai Patel;1933;1964;1999;SD;Military Entrepreneur;High;M59056;X
250005;Minister of Security;Rafi Ahmed Kidwai;1933;1964;1999;SD;Crime Fighter;Medium;M59068;X
250006;Head of Military Intelligence;Shri Jagjivan Ram;1933;1964;1999;SD;Political Specialist;Very High;M59077;X
250007;Chief of Staff;Mohan Singh;1933;1964;1999;SL;School of Mass Combat;Very Low;M59028;X
250008;Chief of Army;Ram Singh Thakur;1933;1964;1999;SD;Guns and Butter Doctrine;Very High;M59099;X
250009;Chief of Navy;Bhaskar Soman;1933;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M59107;X
250010;Chief of Air Force;Arjan Singh Vibhusan;1933;1964;1999;SD;Air Superiority Doctrine;medium;M59113;X
250011;Head of State;Bahadur Bathram of Maler Kotla;1933;1964;1999;SL;Pig-headed Isolationist;High;M59032;X
250012;Head of State;Rashbehari Basu;1933;1964;1999;PA;Insignificant Layman;High;M59016;X
250013;Head of Government;Jawaharlal Nehru;1938;1964;1999;SD;Silent Workhorse;High;2672;X
250014;Head of Government;Nabob Kureishi of Bhawalapur;1942;1964;1999;ML;Smiling Oilman;low;M59040;X
250015;Head of Government;Sir Mohammed Iqbal;1933;1964;1999;PA;Backroom Backstabber;medium;M59041;X
250016;Foreign Minister;Ananthasayanam Ayyangar;1937;1964;1999;SD;Great Compromiser;Low;M59044;X
250017;Foreign Minister;Sarat Chandra Bose;1941;1964;1999;SD;Biased Intellectual;Very High;M59045;X
250018;Foreign Minister;Jawahar Lal Nehru;1941;1964;1999;SD;Ideological Crusader;High;M59046;X
250019;Foreign Minister;Bhimrao Ramji Ambedkar;1943;1964;1999;SD;Apologetic Clerk;Low;M59025;X
250020;Foreign Minister;Mohammed Ayub Khan;1943;1964;1999;SL;General Staffer;High;M59049;X
