U49;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;;;x
1060001;Head of State;Pietro Badoglio;1933;1937;1999;FA;Resigned Generalissimo;High;badoglio_pietro_u49;x
1060002;Head of State;Rodolfo Graziani;1936;1938;1999;FA;Local tyrant2;High;graziani_rodolfo_u49;x
1060003;Head of State;Amedeo di Savoia-Aosta;1937;1942;1999;FA;Popular Figurehead;High;amedeo_di_savoia-aosta_ita;x
1060004;Head of State;Pietro Gazzera;1941;1954;1999;FA;Resigned Generalissimo;High;gazzera_pietro_ita;x
1060005;Head of State;Guglielmo Nasi;1941;1964;1999;SC;Resigned Generalissimo;High;nasi_guglielmo_ita;x
1060006;Head of Government;Arnaldo Pedretti;1933;1938;1999;FA;Local tyrant;High;pedretti_arnaldo_u49;x
1060007;Head of Government;Enrico Cerulli;1937;1964;1999;FA;Happy Amateur;High;cerulli_enrico_u49;x
1060008;Head of Government;Guglielmo Nasi;1939;1964;1999;FA;Silent Workhorse;High;nasi_guglielmo_ita;x
1060009;Head of Government;Giuseppe Daodice;1939;1964;1999;FA;Old General;High;daodice_giuseppe_u49;x
1060010;Head of Government;Agenore Frangipani;1941;1964;1999;FA;Old General;High;unknownminister;x
1060011;Foreign Minister;Pietro Badoglio;1933;1937;1999;FA;General Staffer;High;badoglio_pietro_u49;x
1060012;Foreign Minister;Rodolfo Graziani;1936;1938;1999;FA;General Staffer;High;graziani_rodolfo_u49;x
1060013;Foreign Minister;Amedeo di Savoia-Aosta;1937;1942;1999;FA;Apologetic Clerk;High;amedeo_di_savoia-aosta_ita;x
1060014;Foreign Minister;Enrico Cerulli;1933;1964;1999;FA;Biased Intellectual;High;cerulli_enrico_u49;x
1060015;Foreign Minister;Jacopo Gasparini;1933;1964;1999;FA;Great Compromiser;High;gasparini_jacopo_u49;x
1060016;Foreign Minister;Martino Mario Moreno;1933;1964;1999;FA;Apologetic Clerk;High;moreno_martino_u49;x
1060017;Foreign Minister;Luigi Pignatelli della Leonessa;1941;1966;1966;FA;The Cloak N Dagger Schemer;High;pignatelli_luigi_u49;X
1060018;Minister of Armament;Arnaldo Pedretti;1933;1938;1999;FA;Infantry Proponent;High;pedretti_arnaldo_u49;x
1060019;Minister of Armament;Enrico Cerulli;1937;1964;1999;FA;Administrative Genius;High;cerulli_enrico_u49;x
1060020;Minister of Armament;Guglielmo Nasi;1939;1964;1999;FA;Military Entrepreneur;High;nasi_guglielmo_ita;x
1060021;Minister of Armament;Giuseppe Daodice;1933;1964;1999;FA;Infantry Proponent;High;daodice_giuseppe_u49;x
1060022;Minister of Armament;Jacopo Gasparini;1933;1942;1999;FA;Resource Industrialist;High;gasparini_jacopo_u49;x
1060023;Minister of Armament;Pietro Gazzera;1933;1954;1999;FA;Military Entrepreneur;High;gazzera_pietro_ita;x
1060024;Minister of Armament;Pompeo Gorini;1936;1964;1999;FA;Laissez-Faire Capitalist;High;gorini_pompeo_som;x
1060025;Minister of Security;Arnaldo Pedretti;1933;1938;1999;FA;Efficient Sociopath;High;pedretti_arnaldo_u49;x
1060026;Minister of Security;Enrico Cerulli;1933;1964;1999;FA;Prince of Terror;High;cerulli_enrico_u49;x
1060027;Minister of Security;Pietro Gazzera;1941;1954;1999;FA;Compassionate Gentleman;High;gazzera_pietro_ita;x
1060028;Minister of Security;Guglielmo Nasi;1933;1964;1999;FA;Crime Fighter;High;nasi_guglielmo_ita;x
1060029;Minister of Security;Giuseppe Daodice;1933;1964;1999;FA;Compassionate Gentleman;High;daodice_giuseppe_u49;x
1060030;Minister of Security;Francesco Saverio Caroselli;1933;1964;1999;FA;Man of the People;High;caroselli_francesco_saverio_som;x
1060031;Head of Military Intelligence;Alessandro Bruttini;1933;1964;1999;FA;Logistics Specialist;High;unknownminister;x
