CZE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
120001;Head of State;Edouard Benes;1933;1964;1999;ML;Pig-headed Isolationist;High;2379;X
120002;Head of Government;Milan Hodza;1933;1964;1999;ML;Naive Optimist;High;2380;X
120003;Foreign Minister;Edouard Benes;1933;1964;1999;ML;Biased Intellectual;High;2379;X
120004;Minister of Armament;Josef Kalfus;1933;1964;1999;ML;Resource Industrialist;High;M24004;X
120005;Minister of Security;Ivan Derer;1933;1964;1999;ML;Man of the People;Medium;M24005;X
120006;Head of Military Intelligence;Frantisek Machník;1933;1964;1999;ML;Logistics Specialist;Very High;M24006;X
120007;Chief of Staff;Frantisek Machník;1933;1964;1999;ML;School of Defence;Very High;M24006;X
120008;Chief of Army;Ludvik Krejci;1933;1964;1999;ML;static defence doctrine;Medium;M24008;X
120009;Chief of Navy;Antonin Hasal;1933;1964;1999;ML;Indirect Approach Doctrine;Medium;M24009;X
120010;Chief of Air Force;Emil Janouska;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M24010;X
120011;Head of State;Emil Hácha;1938;1964;1999;ML;Insignificant Layman;High;2381;X
120012;Head of State;Edouard Benes;1945;1964;1999;ST;Pig-headed Isolationist;High;2379;X
120013;Head of State;Jan Syrovy;1933;1964;1999;PA;Resigned Generalissimo;High;2382;X
120014;Head of State;Stefan Osusky;1945;1964;1999;SC;Weary Stiffneck;High;M24035;X
120015;Head of State;Konrad Henlein;1933;1964;1999;NS;Insignificant Layman;High;M24013;X
120016;Head of State;Johann Schwerin von Krosigk;1939;1964;1999;NS;Benevolent Gentleman;High;M24037;X
120017;Head of State;Kurt Daluege;1941;1964;1999;NS;Ruthless Powermonger;High;M24038;X
120018;Head of State;Karl Hermann Frank;1943;1964;1999;NS;Powerhungry Demagogue;High;M24011;X
120019;Head of State;Alois Elias;1945;1964;1999;NS;Resigned Generalissimo;High;M24040;X
120020;Head of State;Elias Kohn;1933;1964;1999;ST;Die-hard Reformer;High;M24041;X
120021;Head of State;Klement Gottwald;1941;1964;1999;ST;Barking Buffoon;High;M24021;X
120022;Head of Government;Ján Srámek;1939;1964;1999;ML;Ambitious Union Boss;High;M24044;X
120023;Head of Government;Jan Syrový;1933;1964;1999;SC;Old General;High;2382;X
120024;Head of Government;Rudolf Beran;1938;1964;1999;PA;Political Protege;High;M24012;X
120025;Head of Government;Bedrich Homola;1945;1964;1999;SC;Happy Amateur;High;M24047;X
120026;Head of Government;Karel Kalemcek;1933;1964;1999;NS;Happy Amateur;High;M24048;X
120027;Head of Government;Alois Elias;1939;1964;1999;NS;Old General;High;M24040;X
120028;Head of Government;Joseph Jezek;1945;1964;1999;NS;Flamboyant Tough Guy;High;M24016;X
120029;Head of Government;Teodor Escherich;1933;1964;1999;ST;Naive Optimist;High;M24051;X
120030;Head of Government;Gustav Husak;1943;1964;1999;ST;Political Protege;High;M24022;X
120031;Foreign Minister;Kamil Krofta;1933;1964;1999;ML;Great Compromiser;High;M24053;X
120032;Foreign Minister;Frantisek Chvalkovsky;1938;1964;1999;ML;Iron Fisted Brute;Very High;M24054;X
120033;Foreign Minister;Ján Masaryk;1940;1964;1999;ML;Ideological Crusader;Very High;M24055;X
120034;Foreign Minister;Stefan Osusky;1933;1964;1999;SC;Great Compromiser;Very High;M24035;X
120035;Foreign Minister;Juraj Slávik;1940;1964;1999;SC;Biased Intellectual;Medium;M24057;X
120036;Foreign Minister;Oldrich Otamír;1933;1964;1999;PA;Apologetic Clerk;Medium;M24058;X
120037;Foreign Minister;Bedrich Neumann;1945;1964;1999;PA;General Staffer;Medium;M24059;X
120038;Foreign Minister;Constantin von Econovec;1933;1964;1999;NS;The Cloak N Dagger Schemer;High;M24060;X
120039;Foreign Minister;Konrad Henlein;1939;1964;1999;NS;Ideological Crusader;High;M24013;X
120040;Foreign Minister;Jaromir Kricaj;1945;1964;1999;NS;Apologetic Clerk;High;M24062;X
120041;Foreign Minister;Vladimir Clementis;1933;1964;1999;ST;Great Compromiser;Medium;M24023;X
