MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
170001;Head of State;Lázaro Cárdenas;1933;1964;1999;SD;Autocratic Charmer;High;M36001;X
170002;Head of Government;Lázaro Cárdenas;1933;1964;1999;SD;Flamboyant Tough Guy;High;M36001;X
170003;Foreign Minister;Eduardo Hay;1933;1964;1999;SD;Great Compromiser;Medium;M36003;X
170004;Minister of Armament;Enrique Estrada Reynoso;1933;1964;1999;SD;Infantry Proponent;High;M36004;X
170005;Minister of Security;Francisco U. Benavides;1933;1964;1999;SD;Man of the People;Medium;M36005;X
170006;Head of Military Intelligence;Plutarco E.Calles;1933;1964;1999;SD;Political Specialist;Medium;M36006;X
170007;Chief of Staff;Benjamin G. Hill;1933;1964;1999;SD;School of Defence;Very High;M36007;X
170008;Chief of Army;Pablo Quiroga Escamillo;1933;1964;1999;SD;Static Defence Doctrine;Medium;M36008;X
170009;Chief of Navy;Hector Meixueiro;1933;1964;1999;SD;Open Seas Doctrine;Medium;M36009;X
170010;Chief of Air Force;Gustavo Salinas Camina;1933;1964;1999;SD;Air Superiority Doctrine;Medium;M36010;X
170011;Head of State;Manuel Avila Camacho;1940;1964;1999;SD;Stern Imperialist;High;M36032;X
170012;Head of State;Miguel Aleman Valdes;1946;1964;1999;SD;Benevolent Gentleman;High;M36033;X
170013;Head of State;Manuel M. Marquez;1940;1964;1999;SC;Insignificant Layman;High;M36034;X
170014;Head of State;Luis Bustamanté Benítez;1946;1964;1999;SC;Powerhungry Demagogue;High;M36035;X
170015;Head of State;Pino G. Calles;1940;1964;1999;PA;Resigned Generalissimo;High;M36011;X
170016;Head of State;Juan Andrew Almazan;1946;1964;1999;PA;Popular Figurehead;High;M36014;X
170017;Head of State;Vicente Lombardo Toledano;1940;1964;1999;LE;Barking Buffoon;High;M36021;X
170018;Head of State;Procopio Herrera;1946;1964;1999;LE;Die-hard Reformer;High;M36025;X
170019;Head of Government;Manuel Avila Camacho;1940;1964;1999;SD;Corporate Suit;High;M36032;X
170020;Head of Government;Miguel Aleman Valdes;1946;1964;1999;SD;Smiling Oilman;High;M36033;X
170021;Head of Government;Manuel M. Marquez;1940;1964;1999;SC;Old General;High;M36034;X
170022;Head of Government;Luis Bustamanté Benítez;1946;1964;1999;SC;Silent Workhorse;High;M36035;X
170023;Head of Government;Luis G. Quintana;1940;1964;1999;FA;Political Protege;High;M36012;X
170024;Head of Government;Juan Andrew Almazan;1946;1964;1999;PA;Happy Amateur;High;M36014;X
170025;Head of Government;Vicente Lombardo Toledano;1940;1964;1999;LE;Happy Amateur;High;M36021;X
170026;Head of Government;Procopio Herrera;1946;1964;1999;LE;Naive Optimist;High;M36025;X
170027;Foreign Minister;Ezequiel Padilla Peñaloza;1940;1964;1999;SD;Iron Fisted Brute;Medium;M36050;X
170028;Foreign Minister;Francisco Castillo Najera;1945;1964;1999;SD;General Staffer;Medium;M36051;X
170029;Foreign Minister;Jaime Torres Bodet;1946;1964;1999;SD;Apologetic Clerk;Medium;M36052;X
170030;Foreign Minister;Alesso Melecio;1940;1964;1999;SC;Biased Intellectual;Medium;M36053;X
170031;Foreign Minister;Juan Andreu Alamaza;1944;1964;1999;SC;Great Compromiser;Medium;M36054;X
170032;Foreign Minister;Juan G. Lascaran;1946;1964;1999;SC;Apologetic Clerk;Medium;M36055;X
170033;Foreign Minister;Pino G. Calles;1940;1964;1999;PA;Biased Intellectual;Very Low;M36011;X
170034;Foreign Minister;Francisco R. Serrano;1946;1964;1999;PA;General Staffer;Medium;M36057;X
170035;Foreign Minister;Mariano Ponton;1940;1964;1999;LE;The Cloak N Dagger Schemer;Very High;M36023;X
170036;Foreign Minister;Vicente Lombardo Toledano;1943;1964;1999;LE;Biased Intellectual;Very Low;M36021;X
170037;Foreign Minister;Manuel C. Tellez;1946;1964;1999;LE;Apologetic Clerk;Medium;M36060;X
170038;Minister of Armament;Emilio Portes Gil;1938;1964;1999;SD;Submarine Proponent;Medium;M36061;X
170039;Minister of Armament;Rioberto G. Maqueo;1940;1964;1999;SD;Battle Fleet Proponent;Medium;M36062;X
170040;Minister of Armament;Jose Manuel Puig;1942;1964;1999;SD;Theoretical Scientist;Medium;M36063;X
170041;Minister of Armament;Antonio Castro Leal;1944;1964;1999;SD;Tank Proponent;Medium;M36064;X
170042;Minister of Armament;Adolfo Ruiz Cortines;1946;1964;1999;SD;Administrative Genius;Medium;M36065;X
170043;Minister of Armament;Francisco R. Serrano;1940;1964;1999;SC;Resource Industrialist;Medium;M36057;X
170044;Minister of Armament;Florentino Santana;1946;1964;1999;SC;laissez-faire capitalist;Medium;M36067;X
170045;Minister of Armament;Juan Andrew Almazan;1940;1964;1999;FA;Corrupt Kleptocrat;Medium;M36014;X
170046;Minister of Armament;Manuel M. Marquez;1943;1964;1999;PA;laissez-faire capitalist;Medium;M36034;X
170047;Minister of Armament;Luis G. Quintana;1946;1964;1999;PA;Military Entrepreneur;Low;M36012;X
170048;Minister of Armament;Dolores Santapiavo;1940;1964;1999;LE;Air to Ground Proponent;Medium;M36071;X
170049;Minister of Armament;Francisco I. Casian;1943;1964;1999;LE;Administrative Genius;Medium;M36024;X
170050;Minister of Security;Andres F. Figueroa;1938;1964;1999;SD;Crime Fighter;Medium;M36073;X
170051;Minister of Security;Genaro Estrada;1940;1964;1999;SD;Prince of Terror;High;M36074;X
170052;Minister of Security;Joaquin Amaro Dominguez;1942;1964;1999;SD;Back Stabber;Very High;M36075;X
