NZL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
215001;Head of State;George de Vere Viscount Galway;1933;1964;1999;SD;Stern Imperialist;High;M55001;X
215002;Head of Government;Michael Joseph Savage;1933;1964;1999;SD;Silent Workhorse;High;M55002;X
215003;Foreign Minister;Michael Joseph Savage;1933;1964;1999;SD;Great Compromiser;Very High;M55002;X
215004;Minister of Armament;Walter Nash;1933;1964;1999;SD;Resource Industrialist;High;M55004;X
215005;Minister of Security;William Parry;1933;1964;1999;SD;Compassionate Gentleman;High;M55005;X
215006;Head of Military Intelligence;Kenneth Folkes;1933;1964;1999;SD;Dismal Enigma;Medium;M55006;X
215007;Chief of Staff;William Sinclair-Burgess;1933;1964;1999;ML;School of Mass Combat;High;M55007;X
215008;Chief of Army;William Sinclair-Burgess;1933;1964;1999;ML;Elastic Defence Doctrine;High;M55007;X
215009;Chief of Navy;E.R. Drummond;1933;1964;1999;ML;Base Control Doctrine;High;M55009;X
215010;Chief of Air Force;Ralph Alexander Cochrane;1933;1964;1999;ML;Air Superiority Doctrine;High;M55010;X
215011;Head of State;George de Vere Viscount Galway;1933;1964;1999;SC;Stern Imperialist;High;M55001;X
215012;Head of State;Norton Louis Baron Newall;1941;1964;1999;SD;Autocratic Charmer;High;M55033;X
215013;Head of State;Norton Louis Baron Newall;1941;1964;1999;ML;Autocratic Charmer;High;M55033;X
215014;Head of State;Bernhard Baron Freyberg;1946;1964;1999;SD;Resigned Generalissimo;High;M55035;X
215015;Head of State;Bernhard Baron Freyberg;1946;1964;1999;ML;Resigned Generalissimo;High;M55035;X
215016;Head of Government;Adam Hamilton;1938;1964;1999;SC;Corporate Suit;High;M55037;X
215017;Head of Government;Peter Fraser;1940;1964;1999;SD;Political Protege;High;M55038;X
215018;Head of Government;Sydney Holland;1943;1964;1999;SC;Smiling Oilman;High;M55039;X
215019;Foreign Minister;Frank Langstone;1938;1964;1999;SD;Ideological Crusader;Low;M55040;X
215020;Foreign Minister;Peter Fraser;1940;1964;1999;SD;Biased Intellectual;Very High;M55038;X
215021;Foreign Minister;Walter Nash;1945;1964;1999;SD;Apologetic Clerk;High;M55004;X
215022;Foreign Minister;James Allen;1938;1964;1999;ML;Great Compromiser;Very High;M55043;X
215023;Foreign Minister;Adam Hamilton;1938;1964;1999;SC;Apologetic Clerk;Very High;M55037;X
215024;Foreign Minister;William Sinclair-Burgess;1940;1964;1999;SC;General Staffer;High;M55007;X
215025;Foreign Minister;Gordon Coates;1942;1964;1999;SC;The Cloak N Dagger Schemer;High;M55046;X
215026;Foreign Minister;Sydney Holland;1943;1964;1999;SC;Great Compromiser;Very High;M55039;X
215027;Minister of Armament;Dan Sullivan;1933;1964;1999;SD;Resource Industrialist;High;M55048;X
215028;Minister of Armament;William J. Jordan;1939;1964;1999;SD;laissez-faire capitalist;High;M55049;X
