MAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
235001;Head of State;Pu-Yi;1933;1964;1999;FA;Popular Figurehead;High;2829;X
235002;Head of Government;Chang Ching-hui;1933;1964;1999;FA;Happy Amateur;High;2830;X
235003;Foreign Minister;Chang Ching-hui;1933;1964;1999;FA;Iron Fisted Brute;Medium;2830;X
235004;Minister of Armament;Li Shao-keng;1933;1964;1999;FA;Military Entrepreneur;Medium;M58004;X
235005;Minister of Security;Chin Chu-han;1933;1964;1999;FA;Back Stabber;Medium;M58005;X
235006;Head of Military Intelligence;Kawashima Yoshiko;1933;1964;1999;FA;Political Specialist;Medium;M58006;X
235007;Chief of Staff;Chi Hsing;1933;1964;1999;FA;School of Defence;Medium;M58007;X
235008;Chief of Army;Chi Hsing;1933;1964;1999;FA;Static Defence Doctrine;Medium;M58007;X
235009;Chief of Navy;Sergei Ramilcheff;1933;1964;1999;FA;Indirect Approach Doctrine;Medium;M58009;X
235010;Chief of Air Force;Yokoyama Masayuki;1933;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M58010;X
235011;Head of State;Pu-Yi;1941;1964;1999;NS;Popular Figurehead;High;2829;X
235012;Head of State;Pu-Yi;1945;1964;1999;PA;Popular Figurehead;High;2829;X
235013;Head of Government;Liou Tcheng-fou;1937;1964;1999;FA;Naive Optimist;High;M58014;X
235014;Head of Government;Wei Cheng-chen;1938;1964;1999;FA;Old General;High;M58015;X
235015;Head of Government;Adatchi Mineichiro;1941;1964;1999;NS;Silent Workhorse;High;M58016;X
235016;Head of Government;Matsuyama Shinjiro;1943;1964;1999;NS;Happy Amateur;High;M58017;X
235017;Head of Government;Nitobe Inazo;1944;1964;1999;NS;old airmarshal;High;M58018;X
235018;Head of Government;Loh Tcheng;1945;1964;1999;PA;Happy Amateur;High;M58019;X
235019;Head of Government;Chao Hsin-chu;1946;1964;1999;PA;Political Protege;High;M58020;X
235020;Foreign Minister;Tsai Yun-sheng;1937;1964;1999;FA;Ideological Crusader;Medium;M58021;X
235021;Foreign Minister;Pei Tsu-yee;1938;1964;1999;FA;Great Compromiser;Medium;M58022;X
235022;Foreign Minister;Iida Kusuo;1941;1964;1999;NS;Iron Fisted Brute;Medium;M58023;X
235023;Foreign Minister;Nagai Matsuzo;1943;1964;1999;NS;Ideological Crusader;Medium;M58024;X
235024;Foreign Minister;Li Shao-keng;1944;1964;1999;NS;Biased Intellectual;Medium;M58004;X
235025;Foreign Minister;Oei Hui-lan;1945;1964;1999;PA;The Cloak N Dagger Schemer;Very Low;M58026;X
235026;Foreign Minister;Pu-Yi;1946;1964;1999;PA;Great Compromiser;Very High;2829;X
235027;Minister of Armament;Liou Tcheng-fou;1937;1964;1999;FA;Battle Fleet Proponent;Medium;M58014;X
235028;Minister of Armament;Ishiguro Shiro;1938;1964;1999;FA;Submarine Proponent;Medium;M58029;X
235029;Minister of Armament;Tsushima Juichi;1941;1964;1999;NS;laissez-faire capitalist;Medium;M58030;X
235030;Minister of Armament;Ishii Kikijuro;1943;1964;1999;NS;Strategic Air Proponent;Medium;M58031;X
235031;Minister of Armament;Megata Toshiro;1944;1964;1999;NS;Air to Ground Proponent;Medium;M58032;X
235032;Minister of Armament;Kyuin Wellington Koo;1945;1964;1999;PA;Corrupt Kleptocrat;Very Low;M58033;X
235033;Minister of Armament;Lo Tsang-yin;1946;1964;1999;PA;Administrative Genius;Very High;M58034;X
235034;Minister of Security;Soume Tcheng;1938;1964;1999;FA;Crime Fighter;Medium;M58036;X
235035;Minister of Security;Adatchi Mineichiro;1941;1964;1999;NS;Prince of Terror;Low;M58016;X
235036;Minister of Security;Hayashi Gonsuke;1943;1964;1999;NS;Crime Fighter;Low;M58038;X
235037;Minister of Security;Nitobe Inazo;1944;1964;1999;NS;Efficient Sociopath;Low;M58018;X
235038;Minister of Security;Tang Tsai-fou;1945;1964;1999;PA;Crooked Kleptocrat;Very Low;M58040;X
235039;Minister of Security;Chao Chu-wu;1946;1964;1999;PA;Man of the People;Very High;M58041;X
235040;Head of Military Intelligence;Wang Chung-hui;1937;1964;1999;FA;Naval Intelligence Specialist;Medium;M58042;X
235041;Head of Military Intelligence;Wei Cheng-chen;1938;1964;1999;FA;Dismal Enigma;High;M58015;X
235042;Head of Military Intelligence;Saito Hiroshi;1941;1964;1999;NS;Logistics Specialist;High;M58044;X
235043;Head of Military Intelligence;Matsuyama Shinjiro;1943;1964;1999;NS;Industrial Specialist;Medium;M58017;X
235044;Head of Military Intelligence;Fukai Eigo;1944;1964;1999;NS;Dismal Enigma;Medium;M58046;X
235045;Head of Military Intelligence;Lan Fang-mei;1945;1964;1999;PA;Naval Intelligence Specialist;Very Low;M58047;X
235046;Head of Military Intelligence;Chang Su-lee;1946;1964;1999;PA;Industrial Specialist;Very High;M58048;X
235047;Chief of Staff;Hsing Shi-lien;1937;1964;1999;FA;School of Psychology;Medium;M58049;X
235048;Chief of Staff;Kawashima Yoshiko;1938;1964;1999;FA;School of Mass Combat;Medium;M58006;X
235049;Chief of Staff;Nakajima Kesago;1941;1964;1999;NS;School of Defence;Medium;M58051;X
235050;Chief of Staff;Isogai Ryozhi;1943;1964;1999;NS;School of Psychology;Medium;M58052;X
235051;Chief of Staff;Igor Chernokoff;1945;1964;1999;PA;School of Defence;Very Low;M58053;X
235052;Chief of Staff;Chao Chiu-hang;1946;1964;1999;PA;School of Mass Combat;Very High;M58054;X
235053;Chief of Army;Hsing Shi-lien;1937;1964;1999;FA;Elastic Defence Doctrine;Medium;M58049;X
235054;Chief of Army;Kawashima Yoshiko;1938;1964;1999;FA;Guns and Butter Doctrine;Medium;M58006;X
235055;Chief of Army;Nakajima Kesago;1941;1964;1999;NS;Elastic Defence Doctrine;Medium;M58051;X
235056;Chief of Army;Isogai Ryozhi;1943;1964;1999;NS;Guns and Butter Doctrine;Medium;M58052;X
235057;Chief of Army;Manfred von Tscherwelen;1945;1964;1999;PA;Armoured Spearhead Doctrine;Very Low;M58059;X
235058;Chief of Army;Pu-Yi;1946;1964;1999;PA;Guns and Butter Doctrine;Very High;2829;X
235059;Chief of Navy;Jizu Hosonoya;1937;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M58061;X
