VEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
180001;Head of State;Eleazar Contreras;1933;1964;1999;PA;Barking Buffoon;High;M38001;X
180002;Head of Government;Eleazar Contreras;1933;1964;1999;PA;Happy Amateur;High;M38001;X
180003;Foreign Minister;Esteban Gíl Borges;1933;1964;1999;PA;Great Compromiser;Medium;M38003;X
180004;Minister of Armament;Pedro Beauperthuy Urich;1933;1964;1999;SC;Military Entrepreneur;Low;M38004;X
180005;Minister of Security;Santiago Key Ayala;1933;1964;1999;PA;Silent Lawyer;Medium;M38005;X
180006;Head of Military Intelligence;Floriavaldo de Vasquez Linhares;1933;1964;1999;PA;Political Specialist;Medium;M38006;X
180007;Chief of Staff;Isaias Medina Angarita;1933;1964;1999;SC;School of Defence;Low;M38007;X
180008;Chief of Army;Isaias Medina Angarita;1933;1964;1999;SC;Static Defence Doctrine;Low;M38007;X
180009;Chief of Navy;Humberto Santabria Villa;1933;1964;1999;PA;Base Control Doctrine;Medium;M38009;X
180010;Chief of Air Force;David Lopez Henriques;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M38010;X
180011;Head of State;Isaias Medina Angarita;1941;1964;1999;SC;Resigned Generalissimo;High;M38007;X
180012;Head of State;Romulo Betancourt;1945;1964;1999;SD;Autocratic Charmer;High;L270001;X
180013;Head of Government;Isaias Medina Angarita;1941;1964;1999;SC;Old General;High;M38007;X
180014;Head of Government;Romulo Betancourt;1945;1964;1999;SD;Flamboyant Tough Guy;High;L270001;X
180015;Foreign Minister;Carracciola Parra Peréz;1941;1964;1999;SC;Apologetic Clerk;Medium;M38035;X
180016;Foreign Minister;Gustavo Herrera Grau;1945;1964;1999;ML;Iron Fisted Brute;Medium;M38036;X
180017;Foreign Minister;Carlos Morales Acorzia;1945;1964;1999;SD;Iron Fisted Brute;Medium;M38037;X
180018;Foreign Minister;Gonzalo Barrios;1947;1964;1999;ML;General Staffer;Medium;M38038;X
180019;Minister of Armament;Don Pedro Grases;1938;1964;1999;PA;laissez-faire capitalist;Medium;M38039;X
180020;Minister of Armament;Carlos Ramos Díaz;1941;1964;1999;SC;Submarine Proponent;Low;M38040;X
180021;Minister of Armament;Miguel Díaz Fraile;1942;1964;1999;SC;Strategic Air Proponent;Low;M38041;X
180022;Minister of Armament;Carlos Molina Talavayo;1942;1964;1999;ML;Battle Fleet Proponent;Low;M38042;X
180023;Minister of Armament;Eloy Lares Martinez;1943;1964;1999;ML;laissez-faire capitalist;Medium;M38043;X
180024;Minister of Armament;Julio Garcia Jarpa;1945;1964;1999;ML;Military Entrepreneur;Medium;M38044;X
180025;Minister of Armament;Jose Vicente Rangel;1946;1964;1999;SD;Resource Industrialist;Medium;M38045;X
180026;Minister of Security;Jose Aguerre Vere;1933;1964;1999;SC;Efficient Sociopath;Medium;M38046;X
180027;Minister of Security;Antonio Jose Villegas;1938;1964;1999;SC;Silent Lawyer;Medium;M38047;X
180028;Minister of Security;Cesar Zumeta;1939;1964;1999;PA;Compassionate Gentleman;Medium;M38048;X
180029;Minister of Security;Alejandro Armas;1941;1964;1999;SC;Prince of Terror;Medium;M38049;X
180030;Minister of Security;Antonio J. Diaz Martinez;1943;1964;1999;ML;Crime Fighter;Medium;M38050;X
180031;Minister of Security;Romulo Gallegos Freire;1945;1964;1999;SD;Man of The People;Medium;M38051;X
180032;Minister of Security;José Sanguino Cárdenas;1946;1964;1999;LWR;Compassionate Gentleman;Medium;M38052;X
180033;Minister of Security;Concepcion Quijada Gonzalez;1946;1964;1999;SD;Silent Lawyer;Medium;M38053;X
180034;Minister of Security;Adolfo Gonzalez Aquilar;1947;1964;1999;LWR;Efficient Sociopath;Medium;M38054;X
180035;Minister of Security;Isidoro Ruiz Tuerro;1947;1964;1999;ML;Prince of Terror;Medium;M38011;X
180036;Head of Military Intelligence;Diogenes Escalante;1933;1964;1999;PA;Industrial Specialist;Medium;M38056;X
180037;Head of Military Intelligence;Antonio Casas Gonzalez;1939;1964;1999;SC;Naval Intelligence Specialist;Medium;M38057;X
180038;Head of Military Intelligence;Pedro Alcántara Laya;1941;1964;1999;SC;Industrial Specialist;Medium;M38058;X
180039;Head of Military Intelligence;Pedro P. Azpurua;1942;1964;1999;ML;Technical Specialist;Medium;M38059;X
180040;Head of Military Intelligence;Luis Monsalvo Mareno;1945;1964;1999;SD;Logistics Specialist;Medium;M38060;X
180041;Head of Military Intelligence;Robert Letts Sanchez;1946;1964;1999;ML;Technical Specialist;Medium;M38061;X
180042;Head of Military Intelligence;Jovito Villalba;1947;1964;1999;LWR;Political Specialist;Medium;M38021;X
180043;Chief of Staff;Antonio Casas Gonzalez;1938;1964;1999;SC;School of Psychology;Medium;M38057;X
180044;Chief of Staff;Carlos Garcia Mendoza;1941;1964;1999;SC;School of Mass Combat;Medium;M38064;X
180045;Chief of Staff;Gustavo Gonzalez Lopez;1943;1964;1999;ML;School of Manoeuvre;Medium;M38065;X
180046;Chief of Staff;Raúl Leoni Otero;1945;1964;1999;SD;School of Psychology;Medium;M38027;X
180047;Chief of Army;Victor Sanchez Croes;1940;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M38028;X
180048;Chief of Army;Tomas Contreras Villalobos;1941;1964;1999;SC;Decisive Battle Doctrine;Low;M38019;X
180049;Chief of Army;Carlos Delgado Chalbaud;1945;1964;1999;ML;Guns and Butter Doctrine;Medium;L270004;X
180050;Chief of Army;Nelson Verde Graterol;1947;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M38070;X
180051;Chief of Navy;Pedro Beauperthuy Urich;1939;1964;1999;SC;Power Projection Doctrine;Medium;M38004;X
180052;Chief of Navy;Carlos Molina Talavayo;1941;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M38042;X
180053;Chief of Navy;Luis Alvárez Santiago;1942;1964;1999;ML;Open Seas Doctrine;Medium;M38073;X
180054;Chief of Navy;Carlos Ramos Díaz;1945;1964;1999;ML;Indirect Approach Doctrine;Medium;M38040;X
180055;Chief of Navy;Antonio Casas Gonzalez;1947;1964;1999;SD;Base Control Doctrine;Medium;M38057;X
180056;Chief of Air Force;Roberto de Luca Varesano;1939;1964;1999;PA;Air Superiority Doctrine;Medium;M38020;X
180057;Chief of Air Force;Guillermo Griffiths Escardo;1941;1964;1999;SC;Army Aviation Doctrine;Medium;M38077;X
180058;Chief of Air Force;Miguel Díaz Fraile;1945;1964;1999;ML;Carpet Bombing Doctrine;Medium;M38041;X
