BEL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
70001;Head of State;Leopold III;1933;1964;1999;ML;Benevolent Gentleman;Medium;M15001;X
70002;Head of Government;Paul Van Zeeland;1933;1964;1999;ML;Silent Workhorse;Medium;M15002;X
70003;Foreign Minister;Paul Van Zeeland;1933;1964;1999;ML;Biased Intellectual;Very High;M15002;X
70004;Minister of Armament;Albert Devèze;1933;1964;1999;ML;Laissez-Faire Capitalist;Very High;M15004;X
70005;Minister of Security;Eugène Soudan;1933;1964;1999;SL;Silent Lawyer;Very High;M15005;X
70006;Head of Military Intelligence;Albert Devèze;1933;1964;1999;ML;Political Specialist;Very High;M15004;X
70007;Chief of Staff;Adolphe Cumont;1933;1964;1999;SC;School of Defence;Very High;121;X
70008;Chief of Army;Victor van Strydonck de Burkel;1933;1964;1999;SC;Static Defence Doctrine;Very High;M15008;X
70009;Chief of Navy;Georges Timmermans;1933;1964;1999;SC;Indirect Approach Doctrine;Very High;M15009;X
70010;Chief of Air Force;L.F.E. Wouters;1933;1964;1999;SC;Vertical Envelopment Doctrine;Very High;M15010;X
70011;Head of State;Leopold III;1933;1964;1999;NS;Benevolent Gentleman;Medium;M15001;X
70012;Head of State;Karel;1944;1964;1999;ML;Benevolent Gentleman;Medium;M15031;X
70013;Head of State;Julien Lahaut;1945;1964;1999;ST;Ruthless Powermonger;Medium;M15024;X
70014;Head of Government;Paul-Henri Spaak;1933;1964;1999;SD;Ambitious Union Boss;Medium;M15034;X
70015;Head of Government;Leon Degrelle;1933;1964;1999;NS;Old General;Medium;M15013;X
70016;Head of Government;Paul-Emile Janson;1937;1964;1999;ML;Silent Workhorse;Medium;M15036;X
70017;Head of Government;Hubert Pierlot;1938;1964;1999;SC;Naive Optimist;Medium;M15037;X
70018;Head of Government;Camille Huysmans;1939;1964;1999;SD;Happy Amateur;Medium;M15038;X
70019;Head of Government;Joseph Jacquemotte;1944;1964;1999;LE;Political Protege;Medium;M15020;X
70020;Head of Government;Achille Van Acker;1939;1964;1999;SD;Corporate Suit;Medium;M15041;X
70021;Head of Government;Gaston Eyskens;1945;1964;1999;SC;Corporate Suit;Medium;M15042;X
70022;Head of Government;Julien Lahaut;1945;1964;1999;ST;Backroom Backstabber;Medium;M15024;X
70023;Foreign Minister;Paul-Henri Spaak;1933;1964;1999;SL;Great Compromiser;Very High;M15034;X
70024;Foreign Minister;Leon Degrelle;1933;1964;1999;NS;Iron Fisted Brute;Very High;M15013;X
70025;Foreign Minister;Louis de Brouckère;1937;1964;1999;SD;Ideological Crusader;Very High;M15047;X
70026;Foreign Minister;Eugène Soudan;1938;1964;1999;SL;Ideological Crusader;Very High;M15005;X
70027;Foreign Minister;Hubert Pierlot;1939;1964;1999;SC;Great Compromiser;Very High;M15037;X
70028;Foreign Minister;Jules Pire;1941;1964;1999;SD;General Staffer;Very High;M15051;X
