FLA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
650001;Head of State;Staf de Clercq;1933;1964;1999;NS;Powerhungry Demagogue;NA;M15033;X
650002;Head of Government;Staf de Clercq;1933;1964;1999;NS;Flamboyant Tough Guy;NA;M15033;X
650003;Foreign Minister;Staf de Clercq;1933;1964;1999;NS;Biased Intellectual;Very High;M15033;X
650004;Minister of Armament;Hendrik de Man;1933;1964;1999;PA;Administrative Genius;Very High;M15056;X
650005;Minister of Security;Jan Timmermans;1933;1964;1999;NS;Man of the People;Very High;M15117;X
650006;Head of Military Intelligence;Reimond Tollenaere;1933;1964;1999;NS;Dismal Enigma;Very High;M15082;X
650007;Chief of Staff;Jef Francois;1933;1964;1999;NS;School of Mass Combat;Very High;M15015;X
650008;Chief of Army;Jef Francois;1933;1964;1999;NS;Decisive Battle Doctrine;Very High;M15015;X
650009;Chief of Navy;Ernst Junkermann;1933;1964;1999;NS;Open Seas Doctrine;Very High;M510009;X
650010;Chief of Air Force;Ottfried Sattler;1933;1964;1999;NS;Air Superiority Doctrine;Very High;M510010;X
650011;Chief of Air Force;Egert Reeder;1940;1964;1999;NS;Vertical Envelopment Doctrine;Very High;M510061;X
650012;Chief of Air Force;Konrad Schellong;1942;1964;1999;NS;Army Aviation Doctrine;Very High;L510007;X
650013;Chief of Army;Egert Reeder;1940;1964;1999;NS;Elastic Defence Doctrine;Very High;M510061;X
650014;Chief of Army;G.H. von Craushaar;1940;1964;1999;NS;Guns and Butter Doctrine;Very High;M510084;X
650015;Chief of Army;Gottlob Berger;1940;1964;1999;NS;Guns and Butter Doctrine;Very High;M510027;X
650016;Chief of Army;Hans-Albert von Lettow-Vorbeck;1940;1964;1999;NS;Decisive Battle Doctrine;Very High;M510088;X
650017;Chief of Army;Konrad Schellong;1942;1964;1999;NS;Armoured Spearhead Doctrine;Very High;L510007;X
650018;Chief of Army;Lucien Rijckeboer;1941;1964;1999;NS;Static Defence Doctrine;Very High;M510065;X
650019;Chief of Army;Raf Van Hulse;1942;1964;1999;NS;Guns and Butter Doctrine;Very High;M510078;X
650020;Chief of Army;Réné Lagrou;1933;1964;1999;NS;Decisive Battle Doctrine;Very High;M15017;X
650021;Chief of Navy;Egert Reeder;1940;1964;1999;NS;Base Control Doctrine;Very High;M510061;X
650022;Chief of Staff;Egert Reeder;1940;1964;1999;NS;School of Manoeuvre;Very High;M510061;X
650023;Chief of Staff;G.H. von Craushaar;1940;1964;1999;NS;School of Fire Support;Very High;M510084;X
650024;Chief of Staff;Gottlob Berger;1940;1964;1999;NS;School of Psychology;Very High;M510027;X
650025;Chief of Staff;Lucien Rijckeboer;1941;1964;1999;NS;School of Defence;Very High;M510065;X
650026;Chief of Staff;Raf Van Hulse;1942;1964;1999;NS;School of Manoeuvre;Very High;M510078;X
650027;Chief of Staff;Robert Verbelen;1940;1964;1999;NS;School of Psychology;Very High;M510081;X
650028;Chief of Staff;Seraf Trio;1940;1964;1999;NS;School of Fire Support;Very High;M510073;X
