POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
60001;Head of State;Ignacy Moscicki;1926;1964;1999;PA;Stern Imperialist;High;M13001;X
60002;Head of Government;Marian Zyndram-Koscialkowski;1933;1964;1999;PA;Flamboyant Tough Guy;High;M13002;X
60003;Foreign Minister;Józef Beck;1933;1964;1999;PA;General Staffer;High;M13003;X
60004;Minister of Armament;Tadeusz Kasprzycki;1933;1964;1999;PA;Military Entrepreneur;Medium;M13004;X
60005;Minister of Security;Wladyslaw Raczkiewicz;1933;1964;1999;PA;Crime Fighter;Medium;M13005;X
60006;Head of Military Intelligence;T. Pelczynski-Grzegorz;1933;1964;1999;PA;Logistics Specialist;High;M13006;X
60007;Chief of Staff;Edward Rydz-Smigly;1933;1942;1942;PA;School of Defence;High;M13007;X
60008;Chief of Army;Edward Rydz-Smigly;1933;1942;1942;PA;Decisive battle doctrine;High;M13007;X
60009;Chief of Navy;Jerzy Swirski;1918;1964;1999;PA;Open Seas Doctrine;Medium;M13009;X
60010;Chief of Air Force;Józef Zajac;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M13010;X
60011;Head of State;Kazimierz Sosnkowski;1939;1964;1999;SC;Resigned Generalissimo;High;M13032;X
60012;Head of State;Boleslaw Bierut;1945;1964;1999;LWR;Stern Imperialist;High;M13033;X
60013;Head of State;Boleslaw Bierut;1947;1964;1999;ST;Barking Buffoon;High;M13033;X
60014;Head of State;Boleslaw Wieniawa-Dlugoszowski;1939;1964;1999;SL;Benevolent Gentleman;High;M13035;X
60015;Head of State;Ignacy Jan Paderewski;1933;1964;1999;SC;Weary Stiffneck;High;M13036;X
60016;Head of State;Wladyslaw Raczkiewicz;1939;1964;1999;ML;Insignificant Layman;High;M13005;X
60017;Head of State;Wanda Wasilewska;1937;1964;1999;LWR;Die-hard Reformer;High;M13038;X
60018;Head of State;Wladyslaw Gomulka;1942;1964;1999;LWR;Popular Figurehead;High;M13039;X
60019;Head of State;Walery Slawek;1933;1964;1999;PA;Insignificant Layman;High;M13040;X
60020;Head of Government;Felicjan Slawoj-Skladkowski;1933;1964;1999;PA;Naive Optimist;High;M13041;X
60021;Head of Government;Wojciech Korfanty;1933;1964;1999;SL;Happy Amateur;High;M13042;X
60022;Head of Government;Wladyslaw Sikorski;1922;1944;1957;SC;Old General;High;M13043;X
60023;Head of Government;Stanislas A. Neyman;1939;1964;1999;SD;Smiling Oilman;High;M13044;X
60024;Head of Government;Mieczyslaw Michalowicz;1942;1964;1999;SD;Ambitious Union Boss;High;M13045;X
60025;Head of Government;Stanislaw Mikolajczyk;1943;1964;1999;ML;Corporate Suit;High;M13046;X
60026;Head of Government;Tomasz Arciszewski;1944;1964;1999;SL;Political Protege;High;M13047;X
60027;Head of Government;Edward Osobka-Morawski;1945;1964;1999;LWR;Political Protege;High;M13022;X
60028;Head of Government;Jozef Cyrenkiewicz;1947;1964;1999;ST;Silent Workhorse;High;M13049;X
60029;Head of Government;Roman Dmowski;1933;1964;1999;FA;Backroom Backstabber;High;M13050;X
60030;Head of Government;Tadeusz Bielecki;1933;1964;1999;NS;Happy Amateur;High;M13051;X
60031;Head of Government;Eugeniusz Kwiatkowski;1937;1964;1999;SL;Naive Optimist;High;M13052;X
60032;Head of Government;Marceli Nowotko;1941;1964;1999;ST;Political Protege;High;M13053;X
60033;Head of Government;Jan Kwapinski;1944;1964;1999;SC;Corporate Suit;High;M13054;X
60034;Head of Government;Stanislaw Osiecki;1933;1964;1999;SD;Happy Amateur;High;M13055;X
60035;Head of Government;Boleslaw Drobner;1943;1964;1999;LWR;Naive Optimist;High;M13056;X
60036;Foreign Minister;August Zaleski;1939;1964;1999;SC;Ideological Crusader;High;M13012;X
60037;Foreign Minister;Edward Raczynski;1941;1964;1999;SC;Biased Intellectual;Medium;M13059;X
60038;Foreign Minister;Tadeusz Romer;1943;1964;1999;ML;Apologetic Clerk;Medium;M13060;X
60039;Foreign Minister;Adam Tarnowski;1944;1964;1999;SL;Iron Fisted Brute;High;M13061;X
60040;Foreign Minister;Edward Osobka-Morawski;1945;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;M13022;X
60041;Foreign Minister;Wincenty Rzymowski;1945;1964;1999;SD;Great Compromiser;High;M13063;X
