POR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
20001;Head of State;António de Fragosa Carmona;1933;1964;1999;PA;Stern Imperialist;High;7378;X
20002;Head of Government;A. Oliveira Salazar;1932;1964;1999;PA;Backroom Backstabber;High;7379;X
20003;Foreign Minister;A. Oliveira Salazar;1933;1964;1999;PA;Ideological Crusader;Very High;7379;X
20004;Minister of Armament;Raul Brandao;1933;1964;1999;PA;Resource Industrialist;Medium;M9004;X
20005;Minister of Security;Mario Pais Sousa;1933;1964;1999;PA;Crooked Kleptocrat;High;M9005;X
20006;Head of Military Intelligence;Pedro Teotónio Pereira;1933;1964;1999;PA;Dismal Enigma;High;M9006;X
20007;Chief of Staff;Tasso Miranda Cabral;1933;1964;1999;PA;School of Fire Support;Very High;7380;X
20008;Chief of Army;J.A. Lobato Guerra;1933;1964;1999;PA;Guns and Butter Doctrine;High;M9008;X
20009;Chief of Navy;Jaime Afreixo;1933;1964;1999;PA;Base Control Doctrine;Very High;M9009;X
20010;Chief of Air Force;Manuel Gouveia;1933;1964;1999;PA;Vertical Envelopment Doctrine;High;M9010;X
20011;Foreign Minister;Affonso Costa;1937;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M9041;X
20012;Foreign Minister;Luis Almeida Braga;1938;1964;1999;SC;Iron Fisted Brute;Low;M9042;X
20013;Foreign Minister;D.Fezas Vital;1941;1964;1999;SC;General Staffer;Medium;M9022;X
20014;Foreign Minister;Rui Ulrich;1942;1964;1999;SL;Great Compromiser;Medium;M9023;X
20015;Foreign Minister;Xavier Cordeiro;1943;1964;1999;PA;Biased Intellectual;Medium;M9045;X
20016;Foreign Minister;Francisco Cunha Leal;1945;1964;1999;SL;The Cloak N Dagger Schemer;Low;M9013;X
20017;Foreign Minister;Alfredo Pimenta;1945;1964;1999;PA;Ideological Crusader;High;M9026;X
20018;Foreign Minister;José Caeiro da Mata;1947;1964;1999;PA;Great Compromiser;High;M9048;X
20019;Minister of Armament;José H. Vaz Raposo;1933;1964;1999;SC;Infantry Proponent;Medium;M9049;X
20020;Minister of Armament;H.M. Paiva Couceiro;1937;1964;1999;SC;Submarine Proponent;Medium;M9028;X
20021;Minister of Armament;Joaõ Chagas;1937;1964;1999;SC;Military Entrepreneur;Medium;M9051;X
20022;Minister of Armament;Vasco Carvalho;1937;1964;1999;SC;Theoretical Scientist;Medium;M9052;X
20023;Minister of Armament;Joao Nunes Costa;1938;1964;1999;PA;Air to Ground Proponent;High;M9053;X
20024;Minister of Armament;Antonio Sardinho;1938;1964;1999;PA;Administrative Genius;High;M9024;X
20025;Minister of Armament;Alberto Monsaraz;1939;1964;1999;FA;laissez-faire capitalist;Medium;M9055;X
20026;Minister of Armament;Antonio M. B. Ferreira;1939;1964;1999;SC;Tank Proponent;Medium;M9056;X
20027;Minister of Armament;Jaime Cortesão;1940;1964;1999;SD;Tank Proponent;Very Low;M9012;X
20028;Minister of Armament;Armindo Monteiro;1944;1964;1999;PA;Battle Fleet Proponent;Very High;M9058;X
20029;Minister of Armament;F.Salgado Zenha;1946;1964;1999;LE;Military Entrepreneur;Low;M9034;X
20030;Minister of Security;Afonso Lucas;1933;1964;1999;SC;Silent Lawyer;High;M9025;X
20031;Minister of Security;M. Nobre Melo;1933;1964;1999;PA;Efficient Sociopath;Very High;M9061;X
20032;Minister of Security;Aquilino Ribeiro;1937;1964;1999;SC;Crime Fighter;High;M9062;X
20033;Minister of Security;J.Costa Leite;1941;1964;1999;PA;Back Stabber;High;M9063;X
20034;Minister of Security;Alfredo Pimenta;1943;1964;1999;PA;Prince of Terror;Very High;M9026;X
20035;Minister of Security;J.Botelho Moniz;1944;1964;1999;FA;Compassionate Gentleman;High;M9065;X
20036;Minister of Security;Henrique Galvao;1945;1964;1999;PA;Man of the People;Medium;M9066;X
20037;Head of Military Intelligence;Julio Dantas;1938;1964;1999;PA;Industrial Specialist;High;M9067;X
20038;Head of Military Intelligence;Joao Pereira Bastos;1939;1964;1999;PA;Logistics Specialist;High;M9016;X
20039;Head of Military Intelligence;Augusto Vasconcellos;1942;1964;1999;PA;Technical Specialist;High;M9069;X
20040;Chief of Staff;J.A. Silva Bastos;1938;1964;1999;PA;School of Mass Combat;High;M9027;X
20041;Chief of Staff;Eduardo A. Marques;1942;1964;1999;PA;School of Fire Support;High;M9071;X
20042;Chief of Army;J.M. Norton Matos;1933;1964;1999;SL;Static Defence Doctrine;Very Low;M9072;X
20043;Chief of Army;Rolao Pretea;1942;1964;1999;FA;Armoured Spearhead Doctrine;Very High;M9073;X
20044;Chief of Army;J.Barros Rodrigues;1944;1964;1999;FA;Elastic Defence Doctrine;Very High;M9074;X
20045;Chief of Navy;Quintão Meireles;1939;1964;1999;PA;Open Seas Doctrine;Very High;M9029;X
20046;Chief of Navy;Americo Deus Tomas;1944;1964;1999;PA;Open Seas Doctrine;High;M9076;X
20047;Chief of Air Force;Ortins Bettencourt;1937;1964;1999;PA;Naval Aviation Doctrine;High;M9077;X
20048;Chief of Air Force;J.M. Sarmento Beires;1943;1964;1999;SC;Carpet Bombing Doctrine;Low;M9020;X
20049;Chief of Air Force;Humberto Delgado;1947;1964;1999;SL;Air Superiority Doctrine;Medium;M9079;X
20050;Head of State;Raul Brandao;1933;1964;1999;SL;Insignificant Layman;High;M9004;X
20051;Head of Government;Jaime Cortesão;1933;1964;1999;SD;Smiling Oilman;High;M9012;X
20052;Minister of Security;Raul Proenca;1933;1964;1999;SD;Back Stabber;Low;M9015;X
20053;Chief of Staff;Raul Brandao;1933;1964;1999;SL;School of Defence;Medium;M9004;X
20054;Chief of Army;Humberto Carmona;1933;1964;1999;SL;Static Defence Doctrine;Low;M9018;X
20055;Chief of Navy;José Sarmento Pimentel;1933;1964;1999;SD;Base Control Doctrine;High;M9019;X
20056;Chief of Air Force;J.M.Sarmento Beires;1933;1964;1999;SD;Naval Aviation Doctrine;High;M9020;X
20057;Head of State;Bento Gonçalves;1933;1964;1999;LE;Weary Stiffneck;High;M9031;X
20058;Head of Government;Bento Gonçalves;1933;1964;1999;LE;Happy Amateur;High;M9031;X
20059;Foreign Minister;H. Barrilao Ruas;1933;1964;1999;LWR;Ideological Crusader;Very Low;M9033;X
20060;Minister of Security;Álvaro Cunhal;1933;1964;1999;LE;Man of the People;High;M9035;X
20061;Head of Military Intelligence;Antonio Sergo;1933;1964;1999;LWR;Industrial Specialist;Medium;M9036;X
20062;Chief of Staff;Jose A.P. Rebelo;1933;1964;1999;LE;School of Psychology;Very High;M9037;X
20063;Chief of Army;Jose A.P. Rebelo;1933;1964;1999;LWR;Guns and Butter Doctrine;Very High;M9037;X
20064;Chief of Navy;Bento Gonçalves;1933;1964;1999;LE;Power Projection Doctrine;Very High;M9031;X
20065;Chief of Air Force;Antonio Sergo;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M9036;X
20066;Head of State;Francisco Craveiro Lopes;1951;1964;1999;PA;Resigned Generalissimo;High;M9080;X
20067;Foreign Minister;Paulo Cunha;1950;1964;1999;PA;Apologetic Clerk;Very High;M9081;X
20068;Chief of Army;João Martins de Carvalho;1914;1933;1999;ML;Decisive Battle Doctrine;Medium;2952;X
20069;Chief of Army;João José Sinel de Cordes;1914;1933;1999;PA;elastic defence doctrine;Medium;1025;X
20070;Chief of Army;António Rodrigues Ribeiro;1916;1933;1999;ML;Decisive Battle Doctrine;Medium;2954;X
20071;Chief of Army;Tomás Garcia Rosado;1917;1933;1999;ML;elastic defence doctrine;Medium;2955;X
20072;Chief of Army;João Pereira Bastos;1924;1933;1999;ML;Guns and Butter Doctrine;Medium;2956;X
20073;Chief of Navy;Vitor Hugo de Azevedo Coutinho;1914;1933;1999;SD;Decisive Naval Battle Doctrine;Medium;1040;X
20074;Chief of Navy;José Carlos de Maia;1915;1933;1999;PA;Decisive Naval Battle Doctrine;Medium;1032;X
20075;Chief of Navy;Joao do Canto e Castro;1918;1933;1999;PA;Base Control Doctrine;Medium;2959;X
20076;Chief of Staff;João Martins de Carvalho;1914;1933;1999;ML;School of Fire Support;Medium;2952;X
20077;Chief of Staff;João José Sinel de Cordes;1914;1933;1999;PA;School of Defence;Medium;1025;X
20078;Chief of Staff;Gomes da Costa;1915;1933;1999;ML;School of Defence;Medium;2960;X
20079;Chief of Staff;António Rodrigues Ribeiro;1916;1933;1999;ML;school of manoeuvre;Medium;2954;X
