U54;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1085001;Head of State;Edward VIII;1933;1964;1999;FA;Autocratic Charmer;High;M1011;X
1085002;Head of Government;Rudolf Hess;1933;1978;1978;NS;Silent Workhorse;High;2635;X
1085003;Foreign Minister;Lord Arthur Wellesley;1939;1964;1999;FA;Great Compromiser;Low;3822;X
1085004;Minister of Armament;Albert Speer;1942;1964;1964;NS;Genius organizer;Medium;2645;X
1085005;Minister of Security;Heinrich Himmler;1938;1964;1986;NS;SS Reichsfuhrer;Very High;M108;X
1085006;Head of Military Intelligence;Konrad Patzig;1932;1964;1964;FA;naval intelligence specialist;High;2462;x
1085007;Chief of Air Force;Lord Williams Sempill;1939;1964;1999;FA;Carpet Bombing Doctrine;High;M1152;X
1085008;Chief of Staff;J.F.C. Fuller;1933;1964;1999;NS;School of Manoeuvre;Medium;3816;X
1085009;Chief of Army;J.F.C. Fuller;1933;1964;1999;NS;Armoured Spearhead Doctrine;Medium;3816;X
1085010;Chief of Navy;Barry E. Domvile;1933;1964;1999;FA;Power Projection Doctrine;High;3817;X
1085011;Head of Government;Oswald Mosley;1931;1964;1999;FA;Flamboyant Tough Guy;High;M1012;X
1085012;Foreign Minister;William Joyce;1933;1964;1999;FA;General Staffer;Low;M1013;X
1085013;Minister of Armament;Oswald Mosley;1933;1964;1999;FA;Planned economy proponent;Undying;M1012;X
1085014;Minister of Security;Arnold Spencer-Leese;1933;1964;1999;FA;Prince of Terror;Low;M1015;X
1085015;Head of Military Intelligence;S.P. James;1933;1964;1999;FA;Industrial Specialist;High;M1016;X
1085016;Chief of Staff;J.F.C. Fuller;1933;1964;1999;NS;School of Manoeuvre;Medium;3816;X
1085017;Chief of Army;J.F.C. Fuller;1933;1964;1999;NS;Armoured Spearhead Doctrine;Medium;3816;X
1085018;Chief of Navy;Barry E. Domvile;1933;1964;1999;FA;Power Projection Doctrine;High;3817;X
1085019;Chief of Air Force;John Chamier;1933;1964;1999;FA;Vertical Envelopment Doctrine;High;M1020;X
