SCH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
80001;Head of State;Albert Meyer;1933;1964;1999;ML;Ruthless Powermonger;High;M17001;X
80002;Head of Government;Albert Meyer;1933;1964;1999;ML;Silent Workhorse;High;M17001;X
80003;Foreign Minister;Giuseppe Motta;1933;1964;1999;SL;Apologetic Clerk;Very High;M17003;X
80004;Minister of Armament;Albert Meyer;1933;1964;1999;ML;Laissez-Faire Capitalist;Very High;M17001;X
80005;Minister of Security;Johannes Baumann;1933;1964;1999;ML;Compassionate Gentleman;Very High;M17005;X
80006;Head of Military Intelligence;Roger Masson;1933;1964;1999;SL;Industrial Specialist;Very High;M17006;X
80007;Chief of Staff;Jakob I. Huber;1933;1964;1999;SL;School of Fire Support;Very High;M17007;X
80008;Chief of Army;Johann August Sutter;1933;1964;1999;ML;Static Defence Doctrine;Very High;M17008;X
80009;Chief of Navy;Rene von Graffenried;1933;1964;1999;ML;Base Control Doctrine;Very High;M17009;X
80010;Chief of Air Force;Oskar Bider;1933;1964;1999;ML;Air Superiority Doctrine;Very High;M17010;X
80011;Head of State;Giuseppe Motta;1937;1964;1999;SL;Stern Imperialist;High;M17003;X
80012;Head of State;Johannes Baumann;1938;1964;1999;ML;Resigned Generalissimo;High;M17005;X
80013;Head of State;Philipp Etter;1939;1964;1999;SL;Autocratic Charmer;High;M17033;X
80014;Head of State;Marcel Pilet-Golaz;1940;1964;1999;SD;Popular Figurehead;High;M17034;X
80015;Head of State;Ernst Wetter;1941;1964;1999;ML;Powerhungry Demagogue;High;M17035;X
80016;Head of State;Enrico Celio;1943;1964;1999;SD;Die-hard Reformer;High;M17037;X
80017;Head of State;Walter Stampfli;1944;1964;1999;ML;Barking Buffoon;High;M17038;X
80018;Head of State;Eduard von Steiger;1945;1964;1999;SC;Benevolent Gentleman;High;M17039;X
80019;Head of State;Karl Kobelt;1946;1964;1999;ML;Pig-headed Isolationist;High;M17040;X
80020;Head of Government;Giuseppe Motta;1937;1964;1999;SL;Silent Workhorse;High;M17003;X
80021;Head of Government;Johannes Baumann;1938;1964;1999;ML;Ambitious Union Boss;High;M17005;X
80022;Head of Government;Philipp Etter;1939;1964;1999;SL;Flamboyant Tough Guy;High;M17033;X
80023;Head of Government;Marcel Pilet-Golaz;1940;1964;1999;SD;Political Protege;High;M17034;X
80024;Head of Government;Ernst Wetter;1941;1964;1999;ML;Backroom Backstabber;High;M17035;X
80025;Head of Government;Enrico Celio;1943;1964;1999;SD;Corporate Suit;High;M17037;X
80026;Head of Government;Walter Stampfli;1944;1964;1999;ML;Naive Optimist;High;M17038;X
80027;Head of Government;Eduard von Steiger;1945;1964;1999;SL;Smiling Oilman;High;M17039;X
80028;Head of Government;Karl Kobelt;1946;1964;1999;ML;Happy Amateur;High;M17040;X
80029;Foreign Minister;Marcel Pilet-Golaz;1940;1964;1999;ML;Great Compromiser;Medium;M17034;X
80030;Foreign Minister;Max Petitpierre;1945;1964;1999;SL;Iron Fisted Brute;Very High;M17054;X
80031;Foreign Minister;Rudolf Gelpke;1933;1964;1999;LE;Ideological Crusader;Medium;M17055;X
