U74;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1185100;Head of State;Hongxian;1885;1916;1932;PA;Yuan Shikai_1;High;9466;X
1185101;Minister of Security;Lu Zhengxiang;1893;1922;1922;PA;Silent Lawyer;Medium;9477;X
1185102;Foreign Minister;Lu Zhengxiang;1893;1922;1922;PA;Biased Intellectual;High;9477;X
1185103;Minister of Armament;Zhou Xeuxi;1916;1933;1947;PA;Corrupt Kleptocrat;Very High;9476;X
1185104;Minister of Security;Zhu Qiqian;1909;1933;1957;PA;Prince of Terror;Medium;9470;X
1185105;Head of Military Intelligence;Zhang Zongxiang;1914;1933;1962;PA;Political Specialist;High;9474;X
1185106;Chief of Staff;Wang Shizhen;1894;1930;1930;PA;School of Defence;Medium;9478;X
1185107;Chief of Army;Wang Shizhen;1894;1930;1930;PA;Static Defence Doctrine;High;9478;X
1185108;Chief of Navy;Liu Guangxiong;1894;1927;1927;PA;Open Seas Doctrine;Medium;9472;X
1185109;Chief of Air Force;Wang Shizhen;1894;1930;1930;PA;Army Aviation Doctrine;Medium;9478;X
1185110;Head of Military Intelligence;Zhou Ziqi;1896;1923;1923;PA;Technical Specialist;Medium;9469;X
1185111;Minister of Armament;Zhou Ziqi;1896;1923;1923;PA;Infantry Proponent;Very High;9469;X
1185112;Head of Government;Liang Shiyi;1902;1931;1931;PA;Naive Optimist;High;9481;X
1185113;Minister of Armament;Liang Shiyi;1902;1931;1931;PA;Resource Industrialist;Medium;9481;X
1185114;Chief of Staff;Duan Zhigui;1912;1920;1925;PA;School of Manoeuvre;High;9482;X
1185115;Chief of Army;Duan Zhigui;1912;1920;1925;PA;Decisive Battle Doctrine;Medium;9482;X
1185116;Minister of Security;Zhang Zongxiang;1914;1933;1962;PA;Crime Fighter;Low;9474;X
1185117;Head of Government;Hongxian;1885;1916;1932;PA;Yuan Shikai_2;Medium;9466;X
1185118;Minister of Security;Tianwen Lie;1885;1922;1922;PA;Silent Lawyer;Medium;9505;X
1185119;Chief of Staff;Jin Yunpeng;1902;1921;1921;PA;School of Mass Combat;Medium;9502;X
1185120;Chief of Army;Jin Yunpeng;1902;1921;1921;PA;Decisive Battle Doctrine;Medium;9502;X
1185122;Chief of Army;Duan Qirui;1898;1926;1936;PA;Decisive Battle Doctrine;Low;9471;X
1185123;Chief of Staff;Duan Qirui;1898;1926;1936;PA;School of Mass Combat;Low;9471;X
1185124;Head of State;Duan Qirui;1898;1926;1936;PA;Ruthless Powermonger;Low;9471;X
1185001;Head of State;Yin Rugeng;1913;1947;1947;FA;Local tyrant2;Very High;9593;X
1185002;Head of Government;Yin Rugeng;1913;1947;1947;FA;Local tyrant;Very High;9593;X
1185003;Foreign Minister;Doihara Kenji;1927;1948;1948;FA;ideological crusader;Very High;M5193;X
1185004;Minister of Armament;Doihara Kenji;1927;1948;1948;FA;infantry proponent;Very High;M5193;X
1185005;Minister of Security;Doihara Kenji;1927;1948;1948;FA;prince of terror;Very High;M5193;X
1185006;Head of Military Intelligence;Mitsuru Toyama;1881;1944;1944;NS;political specialist;Very High;9592;X
1185007;Chief of Staff;Song Zheyuan;1917;1940;1940;PA;school of psychology;Very High;9594;X
1185008;Chief of Army;Song Zheyuan;1917;1940;1940;PA;decisive battle doctrine;Very High;9594;X
1185009;Chief of Navy;Song Zheyuan;1917;1940;1940;PA;decisive naval battle doctrine;Very High;9594;X
1185010;Chief of Air Force;Song Zheyuan;1917;1940;1940;PA;army aviation doctrine;Very High;9594;X
